,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
1,선독점 무신연의 : 여포가 효도를 잘함,"퓨전, 대체역사",별꽃라떼,2024.05.08 11:55,2024.06.20 18:00,66 회,"2,861,678","114,129","601,798","26,599"
2,선독점 1588 샤인머스캣으로 귀농 왔더니 신대륙,"대체역사, 퓨전",간다왼쪽,2024.05.08 16:32,2024.06.21 09:00,63 회,"1,806,170","84,471","452,831","17,087"
3,선독점 방구석 저격수.,"현대판타지, 퓨전",캡슐호텔,2024.04.19 23:20,2024.06.20 22:12,68 회,"2,604,401","61,994","499,807","23,638"
4,선독점 용사의 발라드,판타지,도동파,2024.03.21 20:54,2024.06.21 10:00,96 회,"3,031,702","142,211","730,391","32,298"
5,선독점 세상에 나쁜 영애는 없다,"판타지, 로맨스",코리타,2024.03.21 21:26,2024.06.20 22:00,66 회,"1,452,791","61,101","588,863","17,153"
6,선독점 탑스타의 남동생이 되었다,"현대판타지, 퓨전",운좋은놈,2024.04.10 00:28,2024.06.20 21:57,66 회,"1,407,684","34,122","395,767","10,958"
7,선독점 미혼부 AI로 세상을 지배하다,"현대판타지, 퓨전",소보로설,2024.03.17 15:22,2024.06.21 12:00,105 회,"2,271,820","48,039","574,083","12,751"
8,선독점 회사원이 너무 강함,"현대판타지, 스포츠",블루티풀,2024.03.15 00:29,2024.06.20 19:20,104 회,"1,776,569","42,454","608,954","11,650"
9,선독점 은퇴한 전설의 특수요원이 반로환동하여 사는 법.,"판타지, 현대판타지",강바기,2024.04.22 19:27,2024.06.21 00:10,57 회,"1,035,224","25,735","356,486","7,228"
10,선독점 내 수익률 무한!,"현대판타지, 판타지",혁이.,2024.04.07 16:05,2024.06.20 18:00,74 회,"712,334","19,799","405,744","4,894"
11,선독점 신입사원의 부업이 재벌 3세 친구다,"현대판타지, 판타지",꿈가득남,2024.04.12 09:51,2024.06.20 19:00,74 회,"1,335,232","30,226","410,110","9,304"
12,선독점 EX급 창고를 얻었다,"판타지, 게임",한손검,2024.03.03 07:29,2024.06.20 19:01,112 회,"2,493,382","56,812","940,461","14,914"
13,선독점 북부 전선의 고인물,"판타지, 전쟁·밀리터리",데거스,2024.05.08 13:33,2024.06.21 11:20,62 회,"1,583,773","36,457","384,734","11,395"
14,선독점 메디치 가문의 사생아가 너무 유능함,"대체역사, 현대판타지",르클레르,2024.04.02 21:58,2024.06.20 23:59,95 회,"823,176","24,945","530,327","5,937"
15,선독점 돌팔이 의사 자크 지라르,"판타지, 퓨전",담하이데,2024.03.27 16:27,2024.06.20 22:30,75 회,"597,017","24,421","539,055","5,168"
16,선독점 절대독공으로 SSS급 헌터,"현대판타지, 퓨전",차성,2024.03.12 19:20,2024.06.20 20:59,94 회,"1,662,792","36,724","598,546","8,768"
17,선독점 하남자 헌터의 셀프육성법,"퓨전, 판타지",데프프픗,2024.05.08 10:02,2024.06.20 19:00,63 회,"871,659","29,417","342,785","6,868"
18,선독점 회귀한 재벌은 미국을 사기로했다,"판타지, 현대판타지",연태량,2024.03.18 01:15,2024.06.20 20:20,114 회,"766,193","19,539","636,828","4,560"
19,선독점 피지컬 괴물 수비수가 EX급 시야를 얻음,스포츠,천달,2024.04.25 19:19,2024.06.20 23:00,54 회,"803,233","15,891","303,321","5,832"
20,선독점 오빠가 천재였다.,"현대판타지, 드라마",시하,2024.03.31 05:30,2024.06.21 14:05,72 회,"1,753,795","38,625","502,359","10,913"
21,선독점 카이스트 천재는 재벌이 된다,"현대판타지, 퓨전",지지지비,2024.03.21 00:00,2024.06.20 18:48,79 회,"1,036,253","20,341","441,315","6,196"
22,선독점 착각계 소드마스터,"판타지, 퓨전",기뮨,2024.03.26 12:37,2024.06.21 00:36,67 회,"1,060,786","25,772","454,994","7,393"
23,선독점 탈조선 후 대박 스트라이커,스포츠,오수정,2024.03.26 02:56,2024.06.21 00:09,60 회,"1,106,363","17,901","344,399","5,281"
24,선독점 풍요의 여신과 천재 망나니 사도님,"판타지, 퓨전",곰산타,2024.03.18 21:11,2024.06.20 17:11,99 회,"725,556","24,116","649,349","4,681"
25,선독점 시장통 맛침명의 재벌처가 씹어먹다,"판타지, 현대판타지",가프,2024.03.21 20:52,2024.06.21 11:19,114 회,"1,984,192","56,370","678,764","10,425"
26,선독점 각성이 멈추질 않는다,"현대판타지, 퓨전",길마,2024.03.12 19:13,2024.06.20 17:55,86 회,"1,763,080","38,818","561,080","9,476"
27,선독점 돌아온 삼촌이 마왕이라는데요?,"현대판타지, 퓨전",김판,2024.05.08 10:31,2024.06.20 17:00,50 회,"910,595","20,350","290,771","6,078"
28,선독점 억만장자가 된 미전실의 사냥개,"현대판타지, 드라마",홈스탠바이,2024.03.26 18:01,2024.06.20 18:00,91 회,"1,004,282","19,620","702,270","4,985"
