,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
1,선독점 하남자의 탑 공략법,"현대판타지, 퓨전",꾸찌꾸찌,2024.02.12 11:12,2024.06.21 12:00,122 회,"5,286,682","176,629","835,910","36,316"
2,선독점 무신연의 : 여포가 효도를 잘함,"퓨전, 대체역사",별꽃라떼,2024.05.08 11:55,2024.06.20 18:00,66 회,"2,861,588","114,126","601,798","26,599"
3,선독점 용사의 발라드,판타지,도동파,2024.03.21 20:54,2024.06.21 10:00,96 회,"3,031,632","142,208","730,391","32,299"
4,선독점 방구석 저격수.,"현대판타지, 퓨전",캡슐호텔,2024.04.19 23:20,2024.06.20 22:12,68 회,"2,604,309","61,990","499,807","23,638"
5,선독점 탑 매니지먼트,현대판타지,장우산,2015.12.07 21:20,2024.06.19 18:00,296 회,"19,235,694","569,826","1,808,691","37,155"
6,선독점 회귀수선전(回歸修仙傳),"무협, 퓨전",엄청난,2023.01.18 16:39,2024.06.20 19:00,509 회,"12,769,142","531,441","4,448,215","42,848"
7,선독점 범상한 변호사의 아공간,현대판타지,서칸더브이,2024.01.04 14:53,2024.06.21 09:00,176 회,"3,388,683","117,554","993,789","19,726"
8,선독점 회귀한 전생자의 유유자적 재난 라이프,현대판타지,전혁,2023.07.18 14:22,2024.05.03 17:00,192 회,"3,323,900","74,390","1,138,568","14,874"
9,선독점 차라리 빌런으로 살겠다,"현대판타지, 드라마",서인하,2024.03.02 12:19,2024.06.21 08:00,122 회,"2,281,114","85,646","832,022","17,435"
10,선독점 미혼부 AI로 세상을 지배하다,"현대판타지, 퓨전",소보로설,2024.03.17 15:22,2024.06.21 12:00,105 회,"2,271,779","48,037","574,083","12,752"
11,선독점 호콴의 도서관,"판타지, 퓨전",쿠우울,2023.09.09 18:43,2024.06.21 06:00,383 회,"2,375,167","103,033","2,404,387","10,227"
12,선독점 제약회사 회장님은 절대독마,현대판타지,꾸찌꾸찌,2023.01.05 21:04,2023.10.06 17:55,225 회,"5,064,873","161,485","1,480,365","19,331"
13,선독점 이상적 연출생활백서,"현대판타지, 드라마",자경(蔗境),2024.03.12 21:59,2024.06.20 11:20,96 회,"1,655,129","51,740","649,633","11,844"
14,선독점 약먹는 천재마법사,"현대판타지, 판타지",글근육,2020.08.27 17:57,2024.06.20 20:00,"1,141 회","22,360,502","888,219","8,700,289","47,854"
15,선독점 재벌 3세의 홀로서기,"현대판타지, 대체역사",새가람,2023.01.01 10:20,2023.07.31 11:00,264 회,"3,837,995","79,013","1,418,850","12,390"
16,선독점 북부 대공의 미친 데릴사위,"판타지, 퓨전",곰돌이는,2023.12.04 18:00,2024.06.20 18:00,177 회,"3,964,219","157,018","1,361,683","30,315"
17,선독점 천재 축구감독의 2회차,"스포츠, 현대판타지",주주총회,2023.06.20 12:20,2024.04.30 19:05,221 회,"1,898,015","49,522","1,167,809","7,669"
18,선독점 블랙기업조선,"대체역사, 퓨전",국뽕,2019.12.04 17:00,2024.06.20 17:00,"1,206 회","33,232,974","901,914","6,655,823","41,382"
19,선독점 주인공이 힘을 숨김,"현대판타지, 게임",로드워리어,2016.06.11 12:32,2017.04.29 14:04,350 회,"6,405,985","204,427","2,207,270","19,866"
20,선독점 아포칼립스에 집을 숨김,"현대판타지, 퓨전",로드워리어,2022.12.13 11:42,2024.06.20 21:20,464 회,"6,773,418","377,605","3,195,119","33,283"
21,선독점 화약고 제국의 천재 대공,"대체역사, 판타지",시작의바다,2023.05.10 19:30,2024.06.20 19:30,323 회,"4,750,427","169,535","2,192,438","15,920"
22,선독점 세상에 나쁜 영애는 없다,"판타지, 로맨스",코리타,2024.03.21 21:26,2024.06.20 22:00,66 회,"1,452,769","61,100","588,863","17,153"
23,선독점 글러먹은 빙의,"퓨전, 판타지",목마,2023.02.22 13:22,2024.06.21 12:00,348 회,"5,404,875","224,176","2,808,520","25,882"
24,선독점 탑스타의 남동생이 되었다,"현대판타지, 퓨전",운좋은놈,2024.04.10 00:28,2024.06.20 21:57,66 회,"1,407,663","34,121","395,767","10,958"
25,선독점 시간을 달리는 소설가,"현대판타지, 판타지",피아조아,2023.04.03 02:25,2024.06.19 18:00,272 회,"6,609,344","353,039","1,911,724","35,246"
26,선독점 낭만재벌 김민식,"현대판타지, 판타지",오정,2023.12.16 15:32,2024.06.20 19:00,136 회,"1,490,617","43,581","792,548","7,127"
27,선독점 아케인펑크의 공간술사,"퓨전, SF",다원.,2023.10.23 18:00,2024.05.11 23:14,203 회,"1,244,675","38,635","1,150,647","6,500"
28,"선독점 로큰롤, 발 없는 새가 되다","현대판타지, 판타지",경우勁雨,2024.02.23 02:28,2024.06.21 12:00,244 회,"1,147,038","44,672","1,308,026","5,499"
29,선독점 웰컴 투 NBA,"스포츠, 현대판타지",필리포스,2023.05.10 10:01,2024.06.20 12:00,323 회,"2,951,508","95,988","2,162,472","9,577"
30,선독점 화학천재의 비밀 투자 공식,"현대판타지, 판타지",율려(律呂),2023.12.31 14:44,2024.06.21 14:00,156 회,"2,919,382","80,601","919,171","14,980"
31,선독점 공물 바치고 대마법사,"판타지, 퓨전",낭선,2023.10.13 19:41,2024.06.20 18:00,277 회,"3,010,459","137,252","1,959,104","15,984"
