,제목,장르,작가,평점
1,멍문세가를 호령하는 아기 고양이입니다,로맨스 판타지,아울킴,9.8
2,달빛조각사: 아빠는 전설이다,판타지,남희성,9.5
3,청성마검,무협,묵공,8.9
4,흑백무제,무협,현임,9.8
5,변경백 서자는 황제였다,판타지,기준석,10.0
6,역대급 올마스터의 회귀,판타지,연이요,9.4
7,BJ악역영애,로맨스 판타지,한이림,9.9
8,"영웅은 됐어요, 은퇴라면 몰라도",로맨스 판타지,MON쉘,9.8
9,천재 궁수의 스트리밍,판타지,멍멍킴,9.9
10,시한부를 즐겼을 뿐이었는데,로맨스 판타지,다나,9.9
11,19금,19금,19금,0.0
12,이제 울어도 될까요?,로맨스 판타지,유이란,9.9
13,마법학교 마법사로 살아가는 법,판타지,글쓰는기계,9.9
14,황제와 비밀 연애 중인데 나는 그걸 몰라,로맨스 판타지,베킷,9.7
15,일코하는 황녀님,로맨스 판타지,양과람,9.8
16,빙의자를 위한 특혜,로맨스 판타지,이린비,10.0
17,무림최강 남궁세가 막내딸입니다,로맨스 판타지,공라희,9.8
18,"의원, 다시 살다",무협,태선,9.9
19,버림받느니 버리겠습니다,로맨스 판타지,엘루앙,8.7
20,19금,19금,19금,0.0
21,고인물이 공략을 알려줌,판타지,꿀나무,9.7
22,악녀인데 하트 받아버렸다,로맨스 판타지,주해온,8.8
23,데뷔 못 하면 죽는 병 걸림,현대 판타지,백덕수,10.0
24,일타강사 정해 세자빈 되다,로맨스,이인혜,9.7
25,회귀자의 보법이 너무 강함,판타지,붉닭E,8.8
26,마법학교 앞점멸 천재가 되었다,판타지,은밀히,9.8
27,남주들의 집착보다 내 탈영이 빠르겠다,로맨스 판타지,아듀,9.9
28,무한 회귀자인데 썰 푼다,판타지,신노아,9.6
29,초월자의 채널을 구독했다,판타지,두파치타파,8.9
30,병아리반 헌터는 효도 중!,로맨스 판타지,밀차,9.9
31,몰락 세가의 시한부 영약,로맨스 판타지,프리드리히,10.0
32,천하제일 무공교관,무협,신가,9.7
33,2레벨로 회귀한 무신,판타지,염비,9.4
34,눈먼 공작과 약혼했다,로맨스 판타지,콩작,9.9
35,블랙기업조선,판타지,국뽕,9.6
36,1년차 만렙 매니저,현대 판타지,현신,9.7
37,충신은 버림받은 황자비,로맨스 판타지,보엠1800,9.6
38,템빨,판타지,박새날,9.6
39,세 번 사는 악녀의 소소한 복수 플랜,로맨스 판타지,달슬,9.8
40,회귀한 혈기사의 공략법,판타지,윤도진,9.3
41,19금,19금,19금,0.0
42,돈지랄 네크로맨서,판타지,키보드만세,9.7
43,환생한 암살자는 검술 천재,판타지,글개미,9.8
44,백작가의 망나니가 되었다,판타지,유려한,10.0
45,19금,19금,19금,0.0
46,구천구검,무협,조진행,6.5
47,닥터 최태수,현대 판타지,조석호,9.9
48,꼬마 며느리가 다 살림!,로맨스 판타지,윤하월,9.8
49,은해상단 막내아들,무협,향란,9.6
50,랭커를 위한 바른 생활 안내서,로맨스 판타지,톄제,9.9
51,19금,19금,19금,0.0
52,이번 생은 우주대스타,현대 판타지,손윤,10.0
53,이 집안을 일으켜세우겠습니다!,현대 판타지,글로노동자,9.5
54,무림세가 천대받는 손녀 딸이 되었다,로맨스 판타지,마루별,9.9
55,제암진천경,무협,유과,9.9
56,능력 있는 한의사가 다 고침,현대 판타지,노룽지,9.9
57,닥터 최대호,현대 판타지,조석호,9.7
58,이세계 지구의 마기 포식자,판타지,실렝,9.3
59,나쁜 시녀들,로맨스 판타지,자야,10.0
60,야수무쌍,무협,양비,9.4
61,남궁세가 손녀딸의 귀환,로맨스 판타지,The eun,9.9
62,마론 후작,로맨스 판타지,자야,10.0
63,죽지 않는 천재 창잡이,판타지,신율,9.5
64,내 딸은 무공 천재,무협,유니아빠,9.7
65,신마대제,무협,은검,9.6
66,네크로맨서 학교의 소환천재,판타지,일제사격,9.7
67,천재 대장장이의 게임,판타지,박민규,9.3
68,로그인 무림,무협,제로빅,9.2
69,멸망한 세계의 4급 인간,판타지,외투,9.8
70,미국 씹어먹는 야구 천재,현대 판타지,글생글사,9.2
71,19금,19금,19금,0.0
72,19금,19금,19금,0.0
73,괴존강림,무협,해경,9.4
74,마존현세강림기,현대 판타지,월백,9.3
75,나 혼자만 레벨업 : 라그나로크,판타지,다울,9.7
76,회귀 경찰의 리셋 라이프,현대 판타지,한길,9.6
77,전생검신,무협,구로수번,9.4
78,검신급 공무원의 회귀,판타지,자리,9.5
79,학사신공,무협,왕위,9.3
80,검술명가 막내아들,판타지,황제펭귄,9.7
81,바람에 흩날리는 꽃비처럼,로맨스,황지원,9.7
82,엑스트라가 너무 강함,판타지,김재한,9.8
83,갓 오브 블랙필드 : 데드라인,현대 판타지,무장,9.9
84,구룡전기,무협,사류라,9.5
85,약먹는 천재마법사,판타지,글근육,9.8
86,무한의 마법사,판타지,김치우,9.8
87,해적들의 사랑받는 공주님,로맨스 판타지,달공방,9.8
88,19금,19금,19금,0.0
89,외과 의사가 된 화타,현대 판타지,박동신,9.7
90,여주가 세계를 구함,로맨스 판타지,김로아,9.9
91,이번 생은 가주가 되겠습니다,로맨스 판타지,김로아,10.0
92,달빛조각사,판타지,남희성,9.6
93,무신의 막내제자가 되었다,판타지,낙하산,9.8
94,나 혼자만 레벨업,판타지,추공,9.9
95,19금,19금,19금,0.0
96,사천당가 막내딸은 천재 명의랍니다,로맨스 판타지,천지수,9.5
97,독식하는 재벌 3세,현대 판타지,서오,9.3
98,초심 잃은 아이돌을 위한 회귀 백서,현대 판타지,리벨,10.0
99,경영은 됐고 돈만 쓰고 싶습니다,현대 판타지,김태형,9.7
100,진화 특성으로 최강 네크로맨서,판타지,짜빈동귀신,9.4
101,열일하는 과금 기사,판타지,박건,9.8
102,화산천마,무협,사야객,9.3
103,진짜 성녀님을 찾습니다,로맨스 판타지,리르엔,9.5
104,다크 판타지의 망캐가 되었다,판타지,서홍,9.9
105,악녀 부활 24시,로맨스 판타지,리사벨,9.8
106,이혼 전략,로맨스 판타지,하로제,9.8
107,멸망급 무신의 귀환,판타지,꼬마돌,9.2
108,일월무신,무협,인재,9.5
109,19금,19금,19금,0.0
110,0살부터 슈퍼스타,현대 판타지,북그곰,9.9
111,기연독식,무협,류진,9.5
