	제목	장르	작가	장르1	장르2
1	아카식 경제학	현대판타지, 퓨전	드림보트	현대판타지	퓨전
2	거물들이 찾는 천재배우	현대판타지, 드라마	나일함	현대판타지	드라마
3	무제한의 세균술사	현대판타지, 판타지	잔영JY	현대판타지	판타지
4	무신연의 : 여포가 효도를 잘함	퓨전, 대체역사	별꽃라떼	퓨전	대체역사
5	종말의 뱀이 되었다	판타지, 퓨전	비도™	판타지	퓨전
6	나의 유럽 원정기	현대판타지	동쪽사람	현대판타지	
7	탑스타 여배우와 잠자리를 가졌다	현대판타지, 판타지	高미나	현대판타지	판타지
8	북부 전선의 고인물	판타지, 전쟁·밀리터리	데거스	판타지	전쟁·밀리터리
9	전 여친 덕에 로또 1등 당첨돼서 귀농합니다.	현대판타지, 판타지	한태민	현대판타지	판타지
10	1588 샤인머스캣으로 귀농 왔더니 신대륙	대체역사, 퓨전	간다왼쪽	대체역사	퓨전
11	황실의 망나니 스승이 되었다	판타지, 퓨전	papapa.	판타지	퓨전
12	내 장롱에 우주전함이 있다.	현대판타지, SF	[동주]	현대판타지	SF
13	A급 헌터가 살아가는 법	현대판타지, 판타지	검미성	현대판타지	판타지
14	방구석 전생작가	현대판타지, 판타지	다이드	현대판타지	판타지
15	IMF 박살내는 검은 머리 초재벌.	현대판타지	종이노트	현대판타지	
16	아포칼립스의 루팅능력자	현대판타지, 퓨전	소는음메	현대판타지	퓨전
17	놀고먹고 싶은 회장님	현대판타지, 퓨전	현우001	현대판타지	퓨전
18	천재 아이돌이 작곡을 잘함	현대판타지, 판타지	원즈이	현대판타지	판타지
19	전직 목사가 광신도 코스를 잘함	판타지, 퓨전	맘모스XM	판타지	퓨전
20	SSS급 방구석 대장장이	현대판타지, 퓨전	수리부엉이™	현대판타지	퓨전
21	검은머리 재벌 프로그래머	현대판타지, 판타지	입달린손	현대판타지	판타지
22	탑 에이전시	현대판타지, 드라마	민수珉洙	현대판타지	드라마
23	우주선 고치는 무림인	무협, SF	안형찬	무협	SF
24	조선 석유왕 (석유로 국가를 팸)	대체역사, 전쟁·밀리터리	북콜랙터	대체역사	전쟁·밀리터리
25	입주자들이 너무 강함	퓨전, 현대판타지	[도비]	퓨전	현대판타지
26	천재 농장재벌이 천조국을 삼킴	현대판타지, 퓨전	코알라	현대판타지	퓨전
27	AI문종-200톤 괴물전차 만들기	대체역사, 퓨전	트럭운전사	대체역사	퓨전
28	천재 아기는 전생을 다 기억함	현대판타지, 판타지	정곡	현대판타지	판타지
29	외계에서 온 재능	현대판타지,스포츠	아이시루스	현대판타지	스포츠
30	재벌이 반도체 전쟁을 기다림	현대판타지,대체역사	유유천천	현대판타지	대체역사
31	경제왕 연산군	대체역사	라구.B.P	대체역사	
32	퇴사 후 차린 민박집에 거물들이 쏟아져!	현대판타지,드라마	인기영	현대판타지	드라마
33	돌아온 삼촌이 마왕이라는데요?	현대판타지,퓨전	김판	현대판타지	퓨전
34	아포칼립스의 방구석 마법사	현대판타지,퓨전	MOS™	현대판타지	퓨전
35	파혼 당한뒤 EX급 무한성장 특성을 각성해버렸다	현대판타지,판타지	대왕풍선	현대판타지	판타지
36	초월급 염동력자의 회귀	판타지,현대판타지	빌론	판타지	현대판타지
37	공격력 10만배로 초월급 헌터	현대판타지,판타지	비루리	현대판타지	판타지
