,제목,장르,작가,장르1,장르2
1,종말의 뱀이 되었다,"판타지, 퓨전",비도™,판타지,퓨전
2,황실의 망나니 스승이 되었다,"판타지, 퓨전",papapa.,판타지,퓨전
3,탑스타 여배우와 하룻밤을 보냈다,"현대판타지, 판타지",高미나,현대판타지,판타지
4,무제한의 세균술사,"현대판타지, 판타지",잔영JY,현대판타지,판타지
5,나의 유럽 원정기,현대판타지,동쪽사람,현대판타지,
6,1588 샤인머스캣으로 귀농 왔더니 신대륙,"대체역사, 퓨전",간다왼쪽,대체역사,퓨전
7,거물들이 찾는 천재배우,"현대판타지, 드라마",나일함,현대판타지,드라마
8,전 여친 덕에 로또 1등 당첨돼서 귀농합니다.,"현대판타지, 판타지",한태민,현대판타지,판타지
9,북부 전선의 고인물,"판타지, 전쟁·밀리터리",데거스,판타지,전쟁·밀리터리
10,아카식 경제학,"현대판타지, 퓨전",드림보트,현대판타지,퓨전
11,전직 목사가 광신도 코스를 잘함,"판타지, 퓨전",맘모스XM,판타지,퓨전
12,내 장롱에 우주전함이 있다.,"현대판타지, SF",[동주],현대판타지,SF
13,아포칼립스의 루팅능력자,"현대판타지, 퓨전",소는음메,현대판타지,퓨전
14,놀고먹고 싶은 회장님,"현대판타지, 퓨전",현우001,현대판타지,퓨전
15,입주자들이 너무 강함,"퓨전, 현대판타지",[도비],퓨전,현대판타지
16,아포칼립스의 방구석 마법사,"현대판타지, 퓨전",MOS™,현대판타지,퓨전
17,천재 아이돌이 작곡을 잘함,"현대판타지, 판타지",원즈이,현대판타지,판타지
18,SSS급 방구석 대장장이,"현대판타지, 퓨전",수리부엉이™,현대판타지,퓨전
19,탑 에이전시,"현대판타지, 드라마",민수珉洙,현대판타지,드라마
20,재벌이 반도체 전쟁을 기다림,"현대판타지, 대체역사",유유천천,현대판타지,대체역사
21,퇴사 후 차린 민박집에 거물들이 쏟아져!,"현대판타지, 드라마",인기영,현대판타지,드라마
22,경제왕 연산군,대체역사,라구.B.P,대체역사,
23,초월급 염동력자의 회귀,"판타지, 현대판타지",빌론,판타지,현대판타지
24,오파츠가 내 몸에 깃들었다,"현대판타지, 퓨전",새둥이,현대판타지,퓨전
25,이세계 마법사가 농사를 잘 지음,"판타지, 퓨전",이디즈,판타지,퓨전
26,거물 연예인들이 집착하는 괴물 신입 매니저,"판타지, 현대판타지",흠박,판타지,현대판타지
27,폴란드 여왕 키우기,"대체역사, 퓨전",마늘맛스낵,대체역사,퓨전
28,투수가 싸움을 잘함,"스포츠, 판타지",묘엽,스포츠,판타지
29,A급 헌터가 살아가는 법,"현대판타지,판타지",검미성,현대판타지,판타지
30,돌아온 삼촌이 마왕이라는데요?,"현대판타지,퓨전",김판,현대판타지,퓨전
31,쌀국은 이제 제겁니다,"현대판타지,퓨전",코알라,현대판타지,퓨전
32,IMF 박살내는 검은 머리 초재벌.,현대판타지,종이노트,현대판타지,
33,신화급 창고를 얻었다!,"판타지,현대판타지",앤비즈,판타지,현대판타지
34,우주선 고치는 무림인,"무협,SF",안형찬,무협,SF
35,유랑기사와 움직이는 성,"판타지,퓨전",구소재,판타지,퓨전
36,출근 첫날 천재배우로 각성했다,현대판타지,액시언,현대판타지,
37,검술과 궁술에 미친 자작가 이공자가 돈도 잘 범,"판타지,퓨전",오렌,판타지,퓨전
38,경험치 100억배 먹는 헌터,"현대판타지,퓨전",두신,현대판타지,퓨전
39,재벌 3세가 슈트 입고 날아다님,"현대판타지,퓨전",크레도,현대판타지,퓨전
40,악업 쌓고 레벨업,판타지,무영자,판타지,
41,중세 기사가 힘을 안 숨김,"판타지,퓨전",포더엠,판타지,퓨전
42,검은머리 바이킹이 되었다,"판타지,퓨전",미래소년,판타지,퓨전
43,망한 세상의 칼잡이,"판타지,퓨전",콜라탄산,판타지,퓨전
44,시골 검성이 힘을 안 숨김,"무협,판타지",사초™,무협,판타지
45,고아출신 포수가 매의 눈을 가짐,"스포츠,현대판타지",키친캐비닛,스포츠,현대판타지
46,농구천재는 회귀가 하고 싶다,"스포츠,현대판타지",미에크,스포츠,현대판타지
47,천재작가는 작품의 미래를 본다,"현대판타지,퓨전",주딩크,현대판타지,퓨전
48,천마삼촌의 지구 인맥이 심상치않음,"현대판타지,퓨전",버스트다운,현대판타지,퓨전
49,평행 조선의 공자님이 매혹을 날림,"퓨전,무협",나쵸칩,퓨전,무협
50,회장님 등에 업고 복수합니다,"현대판타지,드라마",어썸.,현대판타지,드라마
51,역대급 뱀직구로 슈퍼에이스!,"스포츠,현대판타지",율운,스포츠,현대판타지
52,"무역재벌, 조선의 개혁군주가 되었다.","대체역사,퓨전",다물랑,대체역사,퓨전
53,이혼 후 160km를 던지게 되었다,"스포츠,퓨전",로웰크란,스포츠,퓨전
54,파혼 당한뒤 EX급 무한성장 특성을 각성해버렸다,"현대판타지,판타지",대왕풍선,현대판타지,판타지
55,뼈 교체로 무한성장,현대판타지,킴호놀,현대판타지,
56,하남자의 국가권력급 에이전트 되기,"현대판타지,판타지",영완(映完),현대판타지,판타지
57,이혼 후 우주선을 줍다,"현대판타지,퓨전",침략자,현대판타지,퓨전
58,조선화력공단,대체역사,영협,대체역사,
59,어쩌다 만능 채집꾼으로 각성함?,현대판타지,현연,현대판타지,
60,국가권력급 헌터가 미국으로 이민감,"현대판타지,판타지",재즈소울,현대판타지,판타지
61,천조국 건스미스가 되었다,"대체역사,전쟁·밀리터리",[서평],대체역사,전쟁·밀리터리
62,검은머리 재벌 프로그래머,"현대판타지,판타지",입달린손,현대판타지,판타지
63,내 영지에 혁명은 필요없다,"판타지,퓨전",남극여우야,판타지,퓨전
64,주인공이 외계인을 숨김,"현대판타지,SF",후회는없어,현대판타지,SF
65,조선 석유왕 (석유로 국가를 팸),"대체역사,전쟁·밀리터리",북콜랙터,대체역사,전쟁·밀리터리
66,문화대통령이 인생 8회차를 숨김,"현대판타지,드라마",정곡,현대판타지,드라마
67,선수 능력이 다 보임,"스포츠,현대판타지",탈주병,스포츠,현대판타지
68,부커상 천재 삼촌 고딩 됐다.,현대판타지,기회,현대판타지,
69,다시 사는 재벌집 망나니,"현대판타지,판타지",피리홍,현대판타지,판타지
70,머신건 전봉준 총통,"대체역사,전쟁·밀리터리",물연필,대체역사,전쟁·밀리터리
71,신화급 아이템을 뽑았다,"판타지,퓨전",백야필담,판타지,퓨전
72,EX급 귀농 라이프,"현대판타지,무협",캡틴베어,현대판타지,무협
73,염라귀환,"무협,판타지",십사센,무협,판타지
74,"삼국지, 천하제일미인을 마누라로 둔 남자 (원희전)","대체역사,판타지",신유(愼惟),대체역사,판타지
75,나만 살기 좋은 아포칼립스,"판타지,현대판타지",AKARU,판타지,현대판타지
76,방구석 전생작가,"현대판타지,판타지",다이드,현대판타지,판타지
77,환생도마,"무협,판타지",조가치,무협,판타지
78,내 천직은 검은머리 CIA 국장,"대체역사,현대판타지",치타리아,대체역사,현대판타지
79,집구석 딸깍 힐러,현대판타지,광별,현대판타지,
80,흙수저가 야구를 잘함,스포츠,완콥,스포츠,
81,아포칼립스의 쉘터 사냥꾼,"퓨전,현대판타지",삼동,퓨전,현대판타지
82,100레벨이 만렙이었을 텐데 999레벨로 각성했다,"현대판타지,퓨전",l채병일l,현대판타지,퓨전
83,신의 능력을 얻었다,"현대판타지,판타지",의향도,현대판타지,판타지
84,AI문종-200톤 괴물전차 만들기,"대체역사,퓨전",트럭운전사,대체역사,퓨전
85,방구석 타워 소환사,"판타지,현대판타지",숙성연어,판타지,현대판타지
86,투수가 강속구를 아낌,"스포츠,현대판타지",온필수,스포츠,현대판타지
87,아빠가 갑자기 축구를 잘함,"스포츠,현대판타지",스또리,스포츠,현대판타지
88,알프스 산맥의 제왕,"판타지,대체역사",삼둘,판타지,대체역사
89,1971 독재자 박통이 되었다,"대체역사,현대판타지",Zeta.,대체역사,현대판타지
90,안전제일주의 공간능력자,"현대판타지,게임",기계처럼,현대판타지,게임
91,이것이 야구혁명이다,"스포츠,현대판타지",한유림,스포츠,현대판타지
92,하남자의 재벌 성공기,"현대판타지,대체역사",테드K,현대판타지,대체역사
93,무한내공으로 시작하는 강호 정복기,"무협,퓨전",고요섬,무협,퓨전
94,"행운 1,500으로 선협 세계 빙의","무협,퓨전",아위로,무협,퓨전
95,회귀? 개꿈? 젠장. 회귀였다.,판타지,한번봐줘,판타지,
96,수비형 유격수가 홈런을 잘 침,"스포츠,현대판타지",콘푸레이크,스포츠,현대판타지
97,DMZ 만능 취사병이 되었다,"현대판타지,판타지",95스피릿,현대판타지,판타지
98,UFO를 빼앗았다,"SF,판타지",구상만,SF,판타지
99,시한부 검사가 상태창을 숨김,현대판타지,기신,현대판타지,
100,우주선으로 세상을 바꾸다,"SF,현대판타지",다큐인생,SF,현대판타지
101,나혼자 각성,"현대판타지,판타지",귀농재벌,현대판타지,판타지
102,폐교에서 다시 시작하는 신혼생활,"현대판타지,라이트노벨",페이소,현대판타지,라이트노벨
103,F급 영지의 EX급 소드마스터,"현대판타지,게임",물먹은의자,현대판타지,게임
104,천재미드필더 삼촌의 미친패스가 지렸다,"스포츠,현대판타지",늬파랑,스포츠,현대판타지
105,MLB 우승하려고 회귀한 투수,스포츠,이고난,스포츠,
106,귀농 후 재벌이 된 청년,"현대판타지,판타지",악중선,현대판타지,판타지
107,100억 들고 역대급 갓겜 메이커,"현대판타지,판타지",일그램,현대판타지,판타지
108,역대급 천재 애니 감독이 되었다,"현대판타지,대체역사",드림판다,현대판타지,대체역사
