	제목	장르	작가	지수	현대판타지	판타지	무협	대체역사	퓨전	스포츠	드라마	로맨스	게임	전쟁·밀리터리	일반소설
1	하남자의 탑 공략법	현대판타지, 퓨전	꾸찌꾸찌	6267610	True	False	False	False	True	False	False	False	False	False	False
2	용사의 발라드	판타지	도동파	3599900	False	True	False	False	False	False	False	False	False	False	False
3	회귀수선전(回歸修仙傳)	무협, 퓨전	엄청난	2858620	False	False	True	False	True	False	False	False	False	False	False
4	범상한 변호사의 아공간	현대판타지	서칸더브이	2628730	True	False	False	False	False	False	False	False	False	False	False
5	방구석 저격수.	현대판타지, 퓨전	캡슐호텔	2422670	True	False	False	False	True	False	False	False	False	False	False
6	미혼부 AI로 세상을 지배하다	현대판타지, 퓨전	소보로설	2389070	True	False	False	False	True	False	False	False	False	False	False
7	탑 매니지먼트	현대판타지	장우산	2241940	True	False	False	False	False	False	False	False	False	False	False
8	로큰롤, 발 없는 새가 되다	현대판타지, 판타지	경우勁雨	2074720	True	True	False	False	False	False	False	False	False	False	False
9	차라리 빌런으로 살겠다	현대판타지, 드라마	서인하	2033270	True	False	False	False	False	False	True	False	False	False	False
10	이상적 연출생활백서	현대판타지, 드라마	자경(蔗境)	1867230	True	False	False	False	False	False	True	False	False	False	False
11	약먹는 천재마법사	현대판타지, 판타지	글근육	1801070	True	True	False	False	False	False	False	False	False	False	False
12	북부 대공의 미친 데릴사위	판타지, 퓨전	곰돌이는	1496870	False	True	False	False	True	False	False	False	False	False	False
13	세상에 나쁜 영애는 없다	판타지, 로맨스	코리타	1454270	False	True	False	False	False	False	False	True	False	False	False
14	화약고 제국의 천재 대공	대체역사, 판타지	시작의바다	1418110	False	True	False	True	False	False	False	False	False	False	False
15	시간을 달리는 소설가	현대판타지, 판타지	피아조아	1417520	True	True	False	False	False	False	False	False	False	False	False
16	아포칼립스에 집을 숨김	현대판타지, 퓨전	로드워리어	1299650	True	False	False	False	True	False	False	False	False	False	False
17	회사원이 너무 강함	현대판타지, 스포츠	블루티풀	1246390	True	False	False	False	False	True	False	False	False	False	False
