,제목,장르,작가,평점,무협,로판,현판,판타지,로맨스
1,화산귀환 [독점],무협,비가,9.2,True,False,False,False,False
2,임신한 척했는데 남편이 돌아왔다 [독점],로판,별별토,9.8,False,True,False,False,False
3,대기업 말단이 일을 잘함 [독점],현판,동면거북이,9.7,False,False,True,False,False
4,북부 대공의 미친 데릴사위,판타지,곰돌이는,9.7,False,False,False,True,False
5,하남자의 탑 공략법,판타지,꾸찌꾸찌,9.2,False,False,False,True,False
6,완벽한 청혼 [독점],로맨스,송민선,9.2,False,False,False,False,True
7,마교 교주의 부군이 되었다 [독점],무협,쥬레이,9.4,True,False,False,False,False
8,오늘만 사는 기사 [독점],판타지,소울풍,9.8,False,False,False,True,False
9,2레벨로 회귀한 무신,판타지,염비,9.4,False,False,False,True,False
10,재벌집 만렙 아들,현판,오소록,9.6,False,False,True,False,False
11,절대회귀 [독점],무협,장영훈,9.8,True,False,False,False,False
12,괴력 난신(怪力 亂神),무협,한중월야,9.7,True,False,False,False,False
13,버려진 황자로 편하게 사는 법 [독점],판타지,오프신,9.6,False,False,False,True,False
14,게임 속 바바리안으로 살아남기 [독점],판타지,정윤강,9.4,False,False,False,True,False
15,전지적 독자 시점,현판,싱숑,9.9,False,False,True,False,False
16,미쉐린 백작 영애의 파란 공단 리본 [선공개],로판,미녜,9.4,False,True,False,False,False
17,버린 쓰레기는 다시 줍지 않는다,로판,배고픈밤,9.6,False,True,False,False,False
18,아포칼립스에 집을 숨김,현판,로드워리어,9.5,False,False,True,False,False
19,천마신교 최강 막내제자 [독점],무협,리진,8.5,True,False,False,False,False
20,회귀수선전(回歸修仙傳),무협,엄청난,9.6,True,False,False,False,False
21,나 혼자 탑에서 농사,현판,sdcknight,9.8,False,False,True,False,False
22,날 닮은 아이 [독점],로맨스,플아다,9.9,False,False,False,False,True
23,못 잡아먹어서 안달 [독점],로맨스,플아다,9.9,False,False,False,False,True
24,하녀와의 계약결혼 [독점],로판,달새울,9.9,False,True,False,False,False
25,나의 다정한 무뢰한에게 [독점],로판,만다라,9.7,False,True,False,False,False
26,김 대리는 아이돌이 싫어 [독점],현판,퇴사연습생,9.9,False,False,True,False,False
27,1500억을 받았다,현판,먼지운,7.8,False,False,True,False,False
28,카오스 [선공개],로맨스,홍지우,9.5,False,False,False,False,True
29,나쁜 착각 [독점],로맨스,벚꽃그리고,9.7,False,False,False,False,True
30,본능의 대가 [독점],로맨스,설우희,9.6,False,False,False,False,True
31,엄마 친구 아들 관찰기 [독점],로맨스,주해나,9.4,False,False,False,False,True
32,천재 무림 트레이너 [독점],무협,크루크루,9.2,True,False,False,False,False
33,마도전생기 [독점],무협,codezero,9.2,True,False,False,False,False
34,디펜스 게임의 폭군이 되었다 [독점],판타지,류은가람,9.8,False,False,False,True,False
35,마교전선 비룡십삼대 [독점],무협,겨울반디,8.3,True,False,False,False,False
36,짙게 각인된 밤 [독점],로맨스,임여리,9.6,False,False,False,False,True
37,"첫 번째, 베르하티의 마녀를 갖는 자 [독점]",로판,해뮨,8.8,False,True,False,False,False
38,뺏긴 자리에 미련 없습니다 [독점],로판,최아리,8.6,False,True,False,False,False
39,기획재정부 [독점],현판,현우,9.5,False,False,True,False,False
40,환생천마,무협,장영훈,9.6,True,False,False,False,False
41,레벨업 하는 로그,판타지,글쟁이라떼,9.6,False,False,False,True,False
42,"교수님, 그 결혼 저랑 해요 [독점]",로맨스,루위,9.9,False,False,False,False,True
43,광마회귀 [독점],무협,유진성,9.9,True,False,False,False,False
44,살아남은 왕녀의 웃음 뒤에는 [선공개],로판,아미드,9.9,False,True,False,False,False
45,칼라디아의 늑대 [독점],판타지,시연우,8.9,False,False,False,True,False
46,회귀한 재벌은 미국을 사기로했다,현판,연태량,9.3,False,False,True,False,False
47,프로듀서 김해성 [독점],현판,일월비,8.5,False,False,True,False,False
48,기프티드 (GIFTED),현판,도서관식객,9.5,False,False,True,False,False
49,블랙기업조선,판타지,국뽕,9.6,False,False,False,True,False
50,이섭의 연애 [독점],로맨스,김언희,9.9,False,False,False,False,True
51,황금 귀의 프로듀서,현판,무적푸딩,10.0,False,False,True,False,False
52,절대 검감(絶對 劍感) [외전포함],무협,한중월야,9.4,True,False,False,False,False
53,사천당가의 검신급 소가주가 되었다,무협,화계火鷄,7.6,True,False,False,False,False
54,일타강사 백사부 [독점],무협,간짜장,9.8,True,False,False,False,False
55,낱장의 여름 [독점],로맨스,박영,9.5,False,False,False,False,True
