,제목,장르,작가,평점,무협,판타지,현판,로맨스,로판
1,화산귀환 [독점],무협,비가,9.2,True,False,False,False,False
2,절대회귀 [독점],무협,장영훈,9.8,True,False,False,False,False
3,오늘만 사는 기사 [독점],판타지,소울풍,9.8,False,True,False,False,False
4,괴력 난신(怪力 亂神),무협,한중월야,9.7,True,False,False,False,False
5,회귀수선전(回歸修仙傳),무협,엄청난,9.6,True,False,False,False,False
6,전지적 독자 시점,현판,싱숑,9.9,False,False,True,False,False
7,북부 대공의 미친 데릴사위,판타지,곰돌이는,9.7,False,True,False,False,False
8,재벌집 만렙 아들,현판,오소록,9.6,False,False,True,False,False
9,전직용병 재벌서자 [독점],현판,꾼밤,9.1,False,False,True,False,False
10,날 닮은 아이 [독점],로맨스,플아다,9.9,False,False,False,True,False
11,나 혼자 탑에서 농사,현판,sdcknight,9.8,False,False,True,False,False
12,화학천재의 비밀 투자 공식,현판,율려(律呂),9.5,False,False,True,False,False
13,환생천마,무협,장영훈,9.6,True,False,False,False,False
14,게임 속 바바리안으로 살아남기 [독점],판타지,정윤강,9.4,False,True,False,False,False
15,사랑하는 나의 억압자 [독점],로판,서사희,9.9,False,False,False,False,True
16,천재 무림 트레이너 [독점],무협,크루크루,9.2,True,False,False,False,False
17,가짜인데 왜 이러세요? [선공개],로판,사장님,9.5,False,False,False,False,True
18,비틀린 나무에도 꽃은 핀다 [독점],로맨스,성하,9.7,False,False,False,True,False
19,어떤 바람은 사람을 미치게 한다 [선공개],로판,온밤톨,9.5,False,False,False,False,True
20,내 장례식에서 부활했다,로판,햇콩,8.4,False,False,False,False,True
21,김 대리는 아이돌이 싫어 [독점],현판,퇴사연습생,9.9,False,False,True,False,False
22,병약한 대공비의 남편은 기억 상실 [선공개],로판,천혜랑,8.0,False,False,False,False,True
23,귀농했더니 국가급 거물 후배들이 몰려든다,판타지,아길론,9.5,False,True,False,False,False
24,운명을 보는 회사원,현판,영완(映完),9.8,False,False,True,False,False
25,먹방으로 성공하는 ‘전’ 공작부인 [독점],로판,S모씨,7.3,False,False,False,False,True
26,낱장의 여름 [독점],로맨스,박영,9.5,False,False,False,True,False
27,당신의 마지막은 나여야만 한다 [선공개],로판,조일구,9.6,False,False,False,False,True
28,광마회귀 [독점],무협,유진성,9.9,True,False,False,False,False
29,제국 경비대의 망나니 소드마스터,판타지,사탕꽃,9.2,False,True,False,False,False
30,당신의 구원을 바라지 않는다,로판,우제,9.7,False,False,False,False,True
31,이번 생엔 내가 죽을게 [선공개],로판,진혜이,9.4,False,False,False,False,True
32,일타강사 백사부 [독점],무협,간짜장,9.8,True,False,False,False,False
33,실종된 성녀가 바로 나였다 [선공개],로판,라르메,8.4,False,False,False,False,True
34,재해급 암살자가 해방됐다 [독점],판타지,이등별,9.2,False,True,False,False,False
35,별을 품은 소드마스터,판타지,Q10,9.8,False,True,False,False,False
36,당문출사 [독점],무협,기혁,8.5,True,False,False,False,False
37,당문전,무협,제이허빈,9.4,True,False,False,False,False
38,왜 이제 와서 이래 [독점],로판,랑퀸,8.5,False,False,False,False,True
39,디펜스 게임의 폭군이 되었다 [독점],판타지,류은가람,9.8,False,True,False,False,False
40,짜장 한 그릇에 제갈세가 데릴사위,무협,에르훗,9.6,True,False,False,False,False
41,마교 교주의 부군이 되었다 [독점],무협,쥬레이,9.4,True,False,False,False,False
42,겨우 강해졌는데 회귀해버림,현판,수국칼,8.6,False,False,True,False,False
