,제목,장르,작가,평점,현판,로맨스,무협,판타지,로판
1,기프티드 (GIFTED),현판,도서관식객,9.5,True,False,False,False,False
2,추억은 다르게 적힌다 [단행본],로맨스,서진성,9.7,False,True,False,False,False
3,절대회귀 [독점],무협,장영훈,9.8,False,False,True,False,False
4,화산귀환 [독점],무협,비가,9.2,False,False,True,False,False
5,저승식당 [단행본],현판,형상준,9.1,True,False,False,False,False
6,절대 실패하지 않는 아이돌의 기술 [단행본],현판,동울,9.6,True,False,False,False,False
7,백상의 워렌버핏,현판,남운,10.0,True,False,False,False,False
8,휘영검전 [단행본],무협,도필,9.6,False,False,True,False,False
9,선역 [단행본],무협,이근,7.7,False,False,True,False,False
10,"치명적인 남자, 어게인 라이프! [단행본]",현판,울프21,8.5,True,False,False,False,False
11,시장통 맛침명의 재벌처가 씹어먹다,현판,가프,8.9,True,False,False,False,False
12,그 모델의 사생활[단행본],로맨스,이지혜,9.4,False,True,False,False,False
13,게임 속 바바리안으로 살아남기 [독점],판타지,정윤강,9.4,False,False,False,True,False
14,대기업 말단이 일을 잘함 [독점],현판,동면거북이,9.7,True,False,False,False,False
15,경영의원,무협,신현재,0.0,False,False,True,False,False
16,1980 독식하는 재벌!,현판,독성,0.0,True,False,False,False,False
17,치킨집부터 시작하는 연금술 라이프 [독점],현판,바르네트,8.9,True,False,False,False,False
18,EX급 창고를 얻었다,판타지,한손검,7.2,False,False,False,True,False
19,차라리 빌런으로 살겠다,현판,서인하,9.9,True,False,False,False,False
20,나쁜 사정 [독점],로맨스,박연필,9.3,False,True,False,False,False
21,하남자의 탑 공략법,판타지,꾸찌꾸찌,9.3,False,False,False,True,False
22,버린 쓰레기는 다시 줍지 않는다,로판,배고픈밤,9.7,False,False,False,False,True
23,원수의 아기를 가졌다 [독점],로판,미니바라기,9.0,False,False,False,False,True
24,나 혼자 탑에서 농사,현판,sdcknight,9.8,True,False,False,False,False
25,미래에서 온 검은머리 감독님,현판,임성실,9.9,True,False,False,False,False
26,천마신교 최강 막내제자 [독점],무협,리진,8.6,False,False,True,False,False
27,미쉐린 백작 영애의 파란 공단 리본 [선공개],로판,미녜,9.4,False,False,False,False,True
28,알고 보니 창술최강,판타지,데프프픗,7.9,False,False,False,True,False
29,내가 제일 잘나가는 재벌이다 [독점],현판,봉황송,9.2,True,False,False,False,False
30,국세청 망나니 [독점],현판,동면거북이,9.6,True,False,False,False,False
31,회귀자 생활백서(回歸者 生活白書),무협,넉울히,9.2,False,False,True,False,False
32,회귀한 재벌은 미국을 사기로했다,현판,연태량,9.3,True,False,False,False,False
33,2레벨로 회귀한 무신,판타지,염비,9.4,False,False,False,True,False
34,재벌의 품격 [독점],현판,서인하,9.5,True,False,False,False,False
35,재벌을 넘어 귀족으로,현판,푸달,8.9,True,False,False,False,False
36,나의 조선에 유교는 필요없다,판타지,정동갑제,9.1,False,False,False,True,False
37,천재 무림 트레이너 [독점],무협,크루크루,9.2,False,False,True,False,False
38,재벌집 만렙 아들,현판,오소록,9.6,True,False,False,False,False
39,마도쟁패 (개정판) [단행본],무협,장영훈,9.3,False,False,True,False,False
40,가짜 연애 [독점],로맨스,임여리,8.5,False,True,False,False,False
41,마교전선 비룡십삼대 [독점],무협,겨울반디,8.1,False,False,True,False,False
42,왕따 그만두고 천재합니다,현판,자론상이,9.4,True,False,False,False,False
43,달아나지 않도록 더 세게 [독점],로판,도토리,9.7,False,False,False,False,True
44,무명 식객 [독점],무협,무도쟁이,8.6,False,False,True,False,False
45,오늘만 사는 기사 [독점],판타지,소울풍,9.8,False,False,False,True,False
46,발칙한 요녀를 원하신다면 [독점],로판,백묘,9.9,False,False,False,False,True
47,축구부 방출 후 천재 투수가 되었다,현판,유선강,8.2,True,False,False,False,False
48,정복자 [단행본],판타지,고샅,6.8,False,False,False,True,False
49,천마비고 영약 창고의 천재 수학자,무협,신조,9.0,False,False,True,False,False
50,흥겜의 딜러,현판,행운요정,9.5,True,False,False,False,False
51,전직용병 재벌서자 [독점],현판,꾼밤,9.1,True,False,False,False,False
52,마교교주가 정체를 숨김,무협,굴강적소비토,8.7,False,False,True,False,False
53,빙하기 아포칼립스의 회사원,현판,희나리T,7.9,True,False,False,False,False
54,전지적 독자 시점,현판,싱숑,9.9,True,False,False,False,False
55,일타매칭 최강 결정사,현판,서인하,9.5,True,False,False,False,False
56,못 잡아먹어서 안달 [독점],로맨스,플아다,9.9,False,True,False,False,False
57,북부 대공의 미친 데릴사위,판타지,곰돌이는,9.7,False,False,False,True,False
58,시스템으로 마법천재,판타지,수국칼,8.2,False,False,False,True,False
59,범재의 그라운드,현판,페이지원,8.5,True,False,False,False,False
60,방구석 음악 천재,현판,시하,9.4,True,False,False,False,False
61,천하제일 상단주 [독점],무협,지인,9.3,False,False,True,False,False
62,범상한 변호사의 아공간,현판,서칸더브이,9.7,True,False,False,False,False
63,무당파 천재 막내제자 [독점],무협,신랑,9.0,False,False,True,False,False
64,투신귀환 [무료연재],무협,북창,8.3,False,False,True,False,False
