,제목,장르,작가,평점,무협,현판,판타지,로맨스,로판
1,화산귀환 [독점],무협,비가,9.2,True,False,False,False,False
2,대기업 말단이 일을 잘함 [독점],현판,동면거북이,9.7,False,True,False,False,False
3,2레벨로 회귀한 무신,판타지,염비,9.4,False,False,True,False,False
4,오늘만 사는 기사 [독점],판타지,소울풍,9.8,False,False,True,False,False
5,사천당가의 검신급 소가주가 되었다,무협,화계火鷄,7.6,True,False,False,False,False
6,엄마 친구 아들 관찰기 [독점],로맨스,주해나,9.4,False,False,False,True,False
7,마교 교주의 부군이 되었다 [독점],무협,쥬레이,9.4,True,False,False,False,False
8,절대회귀 [독점],무협,장영훈,9.8,True,False,False,False,False
9,재벌집 만렙 아들,현판,오소록,9.6,False,True,False,False,False
10,응급 연애 동의서 [선공개],로맨스,배사비,9.2,False,False,False,True,False
11,설익은 재회 [선공개],로맨스,핼쯰,9.7,False,False,False,True,False
12,괴력 난신(怪力 亂神),무협,한중월야,9.7,True,False,False,False,False
13,카오스 [선공개],로맨스,홍지우,9.5,False,False,False,True,False
14,전지적 독자 시점,현판,싱숑,9.9,False,True,False,False,False
15,게임 속 바바리안으로 살아남기 [독점],판타지,정윤강,9.4,False,False,True,False,False
16,해피엔딩은 없어 [독점],로맨스,이다홍,9.2,False,False,False,True,False
17,회귀자 생활백서(回歸者 生活白書),무협,넉울히,9.2,True,False,False,False,False
18,블레인필드의 상속자 [선공개],로판,파도저,8.9,False,False,False,False,True
19,아포칼립스에 집을 숨김,현판,로드워리어,9.5,False,True,False,False,False
20,당신을 배신한 나를 구원해 줄래요 [선공개],로판,바애,8.8,False,False,False,False,True
21,나 혼자 탑에서 농사,현판,sdcknight,9.8,False,True,False,False,False
22,회귀수선전(回歸修仙傳),무협,엄청난,9.6,True,False,False,False,False
23,날 닮은 아이 [독점],로맨스,플아다,9.9,False,False,False,True,False
24,"폐하, 연모하니 죽음을 주세요",로판,김시모,9.5,False,False,False,False,True
25,하녀와의 계약결혼 [독점],로판,달새울,9.9,False,False,False,False,True
26,하남자의 탑 공략법,판타지,꾸찌꾸찌,9.2,False,False,True,False,False
27,북부 대공의 미친 데릴사위,판타지,곰돌이는,9.7,False,False,True,False,False
28,현질무신 [독점],무협,시저디,9.0,True,False,False,False,False
29,살아남은 왕녀의 웃음 뒤에는 [선공개],로판,아미드,9.9,False,False,False,False,True
30,레벨 999 흑막 공녀가 되었다,로판,산소비,9.6,False,False,False,False,True
31,천재 무림 트레이너 [독점],무협,크루크루,9.2,True,False,False,False,False
32,1500억을 받았다,현판,먼지운,7.8,False,True,False,False,False
33,감히 눈을 마주치지 말 것 [독점],로판,유세라,9.5,False,False,False,False,True
34,김 대리는 아이돌이 싫어 [독점],현판,퇴사연습생,9.9,False,True,False,False,False
35,마도전생기 [독점],무협,codezero,9.2,True,False,False,False,False
36,"교수님, 그 결혼 저랑 해요 [독점]",로맨스,루위,9.9,False,False,False,True,False
37,겨우 강해졌는데 회귀해버림,현판,수국칼,8.6,False,True,False,False,False
38,"6,421번 빙의하고 귀환했다 [독점]",현판,B군,8.7,False,True,False,False,False
39,남주의 아는 누나만 되려 했는데 [선공개],로판,해꽃,8.7,False,False,False,False,True
40,환생천마,무협,장영훈,9.6,True,False,False,False,False
41,레벨업 하는 로그,판타지,글쟁이라떼,9.6,False,False,True,False,False
42,디펜스 게임의 폭군이 되었다 [독점],판타지,류은가람,9.8,False,False,True,False,False
43,빌런의 순정[독점],로맨스,로즈빈,9.9,False,False,False,True,False
44,칼라디아의 늑대 [독점],판타지,시연우,8.9,False,False,True,False,False
45,일타강사 백사부 [독점],무협,간짜장,9.8,True,False,False,False,False
46,도피처에서 만난 태양 [선공개],로맨스,유수랑,9.8,False,False,False,True,False
47,우리 개는 안 물어요 [선공개],로맨스,채유주,9.3,False,False,False,True,False
48,광마회귀 [독점],무협,유진성,9.9,True,False,False,False,False
49,수비천재가 3점을 폭격함,현판,코다,9.4,False,True,False,False,False
50,할배무사와 지존 손녀 [독점],무협,일향(一向),9.7,True,False,False,False,False
51,제국 경비대의 망나니 소드마스터,판타지,사탕꽃,9.2,False,False,True,False,False
52,화학천재의 비밀 투자 공식,현판,율려(律呂),9.5,False,True,False,False,False
53,귀향한 먼치킨의 여행방송,현판,배고픈신발,9.4,False,True,False,False,False
