,제목,장르,작가,평점,무협,현판,로판,로맨스,판타지
1,화산귀환 [독점],무협,비가,9.2,True,False,False,False,False
2,농어촌 에이스 [독점],현판,이블라인,9.6,False,True,False,False,False
3,뒤바뀐 신부,로판,사라유,7.7,False,False,True,False,False
4,임신한 척했는데 남편이 돌아왔다 [독점],로판,별별토,9.7,False,False,True,False,False
5,적국의 황태자에게 납치당한 성녀입니다,로판,그고자자,9.0,False,False,True,False,False
6,"고양이인데, 늑대 가문에 입양당했다? [독점]",로판,윤달(YounDal),9.5,False,False,True,False,False
7,대기업 말단이 일을 잘함 [독점],현판,동면거북이,9.7,False,True,False,False,False
8,환생천마,무협,장영훈,9.6,True,False,False,False,False
9,차가운 재회 [선공개],로맨스,은세리,8.1,False,False,False,True,False
10,날 닮은 아이 [독점],로맨스,플아다,9.9,False,False,False,True,False
11,노 네임 러브,로맨스,스모어,9.9,False,False,False,True,False
12,게임 속 바바리안으로 살아남기 [독점],판타지,정윤강,9.4,False,False,False,False,True
13,던전을 그리는 화가 [독점],현판,취미글주의,9.9,False,True,False,False,False
14,오늘만 사는 기사 [독점],판타지,소울풍,9.8,False,False,False,False,True
15,하녀와의 계약결혼 [독점],로판,달새울,9.9,False,False,True,False,False
16,절대회귀 [독점],무협,장영훈,9.8,True,False,False,False,False
17,하남자의 탑 공략법,판타지,꾸찌꾸찌,9.3,False,False,False,False,True
18,2레벨로 회귀한 무신,판타지,염비,9.4,False,False,False,False,True
19,차라리 빌런으로 살겠다,현판,서인하,9.6,False,True,False,False,False
20,사이코 [독점],로맨스,문정민,9.8,False,False,False,True,False
21,전지적 독자 시점,현판,싱숑,9.9,False,True,False,False,False
22,영업 천재가 되었다,현판,댄킴,9.9,False,True,False,False,False
23,북부 대공의 미친 데릴사위,판타지,곰돌이는,9.7,False,False,False,False,True
24,"교수님, 그 결혼 저랑 해요 [독점]",로맨스,루위,9.9,False,False,False,True,False
25,회귀자 생활백서(回歸者 生活白書),무협,넉울히,9.2,True,False,False,False,False
26,괴력 난신(怪力 亂神),무협,한중월야,9.7,True,False,False,False,False
27,재벌집 만렙 아들,현판,오소록,9.6,False,True,False,False,False
28,회귀한 공작가의 막내도련님은 암살자 [개정판],판타지,커피라임,9.3,False,False,False,False,True
29,광룡이계전생 [독점],판타지,시준,8.8,False,False,False,False,True
30,북부 대공,로판,투머치텐션,9.7,False,False,True,False,False
31,독종의 연애 [독점],로맨스,플라비,9.4,False,False,False,True,False
