,제목,장르,작가,평점,무협,현판,판타지,로판,로맨스
1,화산귀환 [독점],무협,비가,9.2,True,False,False,False,False
2,대기업 말단이 일을 잘함 [독점],현판,동면거북이,9.7,False,True,False,False,False
3,광룡이계전생 [독점],판타지,시준,8.8,False,False,True,False,False
4,하남자의 탑 공략법,판타지,꾸찌꾸찌,9.3,False,False,True,False,False
5,임신한 척했는데 남편이 돌아왔다 [독점],로판,별별토,9.7,False,False,False,True,False
6,뒤바뀐 신부,로판,사라유,7.7,False,False,False,True,False
7,적국의 황태자에게 납치당한 성녀입니다,로판,그고자자,9.0,False,False,False,True,False
8,"고양이인데, 늑대 가문에 입양당했다? [독점]",로판,윤달(YounDal),9.5,False,False,False,True,False
9,오늘만 사는 기사 [독점],판타지,소울풍,9.8,False,False,True,False,False
10,게임 속 바바리안으로 살아남기 [독점],판타지,정윤강,9.4,False,False,True,False,False
11,2레벨로 회귀한 무신,판타지,염비,9.4,False,False,True,False,False
12,절대회귀 [독점],무협,장영훈,9.8,True,False,False,False,False
13,재벌집 만렙 아들,현판,오소록,9.6,False,True,False,False,False
14,북부 대공의 미친 데릴사위,판타지,곰돌이는,9.7,False,False,True,False,False
15,완벽한 청혼 [독점],로맨스,송민선,9.4,False,False,False,False,True
16,버린 쓰레기는 다시 줍지 않는다,로판,배고픈밤,9.7,False,False,False,True,False
17,차가운 재회 [선공개],로맨스,은세리,8.1,False,False,False,False,True
18,그 남자를 주웠다 [선공개],로맨스,하빕티,9.9,False,False,False,False,True
19,전지적 독자 시점,현판,싱숑,9.9,False,True,False,False,False
20,노 네임 러브,로맨스,스모어,9.9,False,False,False,False,True
21,괴력 난신(怪力 亂神),무협,한중월야,9.7,True,False,False,False,False
22,차라리 빌런으로 살겠다,현판,서인하,9.6,False,True,False,False,False
23,"교수님, 그 결혼 저랑 해요 [독점]",로맨스,루위,9.9,False,False,False,False,True
24,독종의 연애 [독점],로맨스,플라비,9.4,False,False,False,False,True
25,북부 대공,로판,투머치텐션,9.7,False,False,False,True,False
26,이상한 나라의 흰 토끼,로판,명윤,9.8,False,False,False,True,False
27,회귀자 생활백서(回歸者 生活白書),무협,넉울히,9.2,True,False,False,False,False
28,환생천마,무협,장영훈,9.6,True,False,False,False,False
29,하녀와의 계약결혼 [독점],로판,달새울,9.9,False,False,False,True,False
30,농어촌 에이스 [독점],현판,이블라인,9.6,False,True,False,False,False
31,버려진 황자로 편하게 사는 법 [독점],판타지,오프신,9.5,False,False,True,False,False
32,미쉐린 백작 영애의 파란 공단 리본 [선공개],로판,미녜,9.4,False,False,False,True,False
33,황제의 포로가 되었습니다 [선공개],로판,귀찮은 홍시,9.6,False,False,False,True,False
34,마교 교주의 부군이 되었다 [독점],무협,쥬레이,9.4,True,False,False,False,False
35,날 닮은 아이 [독점],로맨스,플아다,9.9,False,False,False,False,True
36,아포칼립스에 집을 숨김,현판,로드워리어,9.5,False,True,False,False,False
37,파티에서 추방된 영웅이 너무 뛰어남 [독점],현판,블루클리프,8.7,False,True,False,False,False
38,회귀수선전(回歸修仙傳),무협,엄청난,9.6,True,False,False,False,False
39,나 혼자 탑에서 농사,현판,sdcknight,9.8,False,True,False,False,False
40,응급 연애 동의서 [선공개],로맨스,배사비,8.9,False,False,False,False,True
41,설익은 재회 [선공개],로맨스,핼쯰,9.7,False,False,False,False,True
42,천마신교 최강 막내제자 [독점],무협,리진,8.5,True,False,False,False,False
43,카오스 [선공개],로맨스,홍지우,9.6,False,False,False,False,True
44,나의 다정한 무뢰한에게 [독점],로판,만다라,9.7,False,False,False,True,False
45,김 대리는 아이돌이 싫어 [독점],현판,퇴사연습생,9.9,False,True,False,False,False
46,귀농했는데 아포칼립스 터졌다,판타지,버머랜드,8.4,False,False,True,False,False
47,뺏긴 자리에 미련 없습니다 [독점],로판,최아리,8.7,False,False,False,True,False
48,시장통 맛침명의 재벌처가 씹어먹다,현판,가프,9.1,False,True,False,False,False
49,역대급 라이프 스타일,현판,에쮸드,8.3,False,True,False,False,False
50,1500억을 받았다,현판,먼지운,7.8,False,True,False,False,False
51,마도전생기 [독점],무협,codezero,9.2,True,False,False,False,False
52,영업 천재가 되었다,현판,댄킴,9.9,False,True,False,False,False
53,EX급 창고를 얻었다,판타지,한손검,7.2,False,False,True,False,False
54,천재 무림 트레이너 [독점],무협,크루크루,9.2,True,False,False,False,False
