,제목,장르,작가,조회수,댓글,연재수,연재 시작일,최신 연재일,평점
0,마법을 품다,판타지,양강,3112000,1100,131,2005-06-24,2026-06-24,9.6
1,천재 궁수의 스트리밍,판타지,멍멍킴,200000000,152000,979,2009-02-21,2026-06-24,9.9
2,변경백 서자는 황제였다,판타지,기준석,93916000,105000,812,2017-11-21,2026-06-24,10.0
3,마법학교 마법사로 살아가는 법,판타지,글쓰는기계,180000000,167000,1075,2017-08-21,2026-06-24,9.9
4,달빛조각사: 아빠는 전설이다,판타지,남희성,9565000,6723,125,2007-12-23,2025-06-24,9.5
5,환생한 암살자는 검술 천재,판타지,글개미,280000000,134000,948,2029-09-21,2026-06-24,9.8
6,템빨,판타지,박새날,1180000000,638000,2060,2008-12-14,2026-04-24,9.6
7,역대급 올마스터의 회귀,판타지,연이요,14210000,4020,147,2022-04-24,2026-06-24,9.4
8,2레벨로 회귀한 무신,판타지,염비,170000000,62000,721,2022-06-21,2010-05-24,9.4
9,각성 전부터 네크로맨서,판타지,봉인해제,916000,361,300,2005-02-24,2022-05-24,9.7
10,블랙기업조선,판타지,국뽕,57140000,42000,1207,2026-05-20,2026-06-24,9.6
11,나 혼자만 레벨업 : 라그나로크,판타지,다울,58889000,28000,238,2010-04-23,2026-06-24,9.7
12,일인 군단이 된 천재 신궁,판타지,신율,967000,254,320,2014-05-24,2014-05-24,9.5
13,다크 판타지의 망캐가 되었다,판타지,서홍,36919000,41000,636,2008-11-21,2026-06-24,9.9
14,네크로맨서 학교의 소환천재,판타지,일제사격,170000000,144000,1225,2020-08-20,2026-06-24,9.7
15,마법학교 앞점멸 천재가 되었다,판타지,은밀히,24671000,26000,552,2022-02-21,2026-06-23,9.7
16,돈지랄 네크로맨서,판타지,키보드만세,13683000,7346,199,2029-02-24,2026-06-24,9.7
17,멸망한 세계의 4급 인간,판타지,외투,17681000,20000,249,2029-11-23,2026-06-24,9.8
18,판타지 세계 속 바바리안으로 살아가기,판타지,파란영,5865000,5132,204,2005-04-24,2026-06-24,9.6
19,천재 대장장이의 게임,판타지,박민규,35026000,16000,391,2030-10-23,2026-06-24,9.3
20,초월자의 채널을 구독했다,판타지,두파치타파,13718000,8475,379,2021-02-23,2019-09-23,8.9
21,검술명가 막내아들,판타지,황제펭귄,430000000,216000,1147,2022-02-19,2021-02-24,9.7
22,나 혼자만 레벨업,판타지,추공,460000000,166000,271,2017-02-17,2013-03-18,9.9
23,검신급 공무원의 회귀,판타지,자리,12619000,3348,338,2010-10-23,2026-06-24,9.4
24,백작가의 망나니가 되었다,판타지,유려한,170000000,308000,1112,2015-10-18,2026-06-24,10.0
25,회귀 후 마법 천재가 되었다,판타지,뉴노멀,11149000,3927,253,2031-05-23,2026-06-24,9.3
26,무한 회귀자인데 썰 푼다,판타지,신노아,10345000,12000,166,2029-04-24,2025-06-24,9.6
27,엑스트라가 너무 강함,판타지,김재한,63753000,58000,1271,2016-03-20,2026-06-24,9.8
28,달빛조각사,판타지,남희성,440000000,206000,1450,2030-08-13,2003-07-19,9.6
29,전설급 영웅은 아카데미 우등생,판타지,예로나,42429000,32000,730,2011-02-22,2026-06-24,9.7
30,회귀한 혈기사의 공략법,판타지,윤도진,3165000,1113,135,2016-05-24,2026-06-24,9.4
31,죽지 않는 천재 창잡이,판타지,신율,5910000,1922,193,2022-04-24,2026-06-24,9.5
32,룬의 아이들,판타지,전민희,41687000,98000,794,2019-05-18,2022-02-24,9.9
33,멸망급 데스나이트가 회귀함,판타지,오렌지망고,12842000,5882,271,2022-11-23,2026-06-24,9.4
34,불탄 사막의 모래술사,판타지,우각,12712000,4963,416,2016-11-23,2026-06-24,9.1
35,아카데미의 마피아가 되었다,판타지,씨즐,15746000,17000,709,2016-08-22,2026-06-24,9.9
36,공작가에는 미친개가 산다,판타지,판미손,9250000,5133,342,2006-09-23,2026-06-24,9.8
37,던전 안 푸드 트럭 사장님,판타지,설하,7058000,11000,312,2024-02-22,2026-06-24,9.6
38,열일하는 과금 기사,판타지,박건,35684000,74000,564,2023-12-20,2026-06-24,9.8
39,"내 아공간 속 던전 147,916,482,938개",판타지,lv121,4310000,1749,233,2008-01-24,2026-06-24,8.9
40,이 싸움을 끝내러 왔다,판타지,레드리프,20774000,18000,486,2022-08-22,2026-06-24,9.3
41,약먹는 천재마법사,판타지,글근육,31370000,43000,1144,2011-12-20,2024-06-24,9.8
42,"신의 천적, 회귀하다",판타지,애쉬레인,1685000,639,309,2005-01-24,2026-06-24,9.5
43,무한의 마법사,판타지,김치우,270000000,157000,1316,2025-02-16,2020-02-23,9.8
44,무신의 막내제자가 되었다,판타지,낙하산,24437000,17000,423,2021-02-23,2018-06-24,9.8
45,나 혼자만 무한 강화사,판타지,광어,2557000,1369,139,2010-05-24,2026-06-24,9.1
46,로그아웃이 너무 어렵다,판타지,이형석,3245000,2364,228,2006-02-24,2026-06-24,9.3
47,아카데미의 무기복제자,판타지,서쪽,15952000,18000,608,2024-02-22,2026-06-24,9.8
48,아카데미 악당으로 살아남는 법,판타지,서광(徐光),1082000,1071,122,2013-05-24,2026-06-24,8.8
49,삼국지 생존왕,판타지,조경래,7992000,9475,528,2020-07-22,2027-06-24,9.8
50,SSS급 죽어야 사는 헌터,판타지,신노아,120000000,97000,400,2009-05-19,2007-05-20,9.9
51,회귀한 천재 플레이어의 신화급 무기창조,판타지,홍아진,32084000,15000,586,2009-06-22,2026-06-24,9.6
52,신과 함께 레벨업,판타지,흑아인,140000000,60000,635,2024-10-19,2015-06-22,9.8
53,삼국지 맹달전,판타지,pioren,1369000,1380,291,2030-11-23,2026-06-24,9.0
54,고인물이 공략을 알려줌,판타지,꿀나무,1018000,765,122,2015-05-24,2026-06-24,9.5
55,신화급 네크로맨서가 되었다,판타지,웹중,140000,70,138,2028-05-24,2027-06-24,7.1
56,재앙급 영웅님이 귀환하셨다,판타지,산지직송,86453000,69000,509,2013-08-19,2005-02-22,9.9
57,크툴루 게임 속 천재 마법사가 되었다,판타지,귀한자식,12809000,18000,587,2029-12-22,2026-06-24,9.9
58,회귀자 사용설명서,판타지,흙수저,98140000,195000,1834,2001-12-17,2025-06-24,9.8
59,얼어붙은 플레이어의 귀환,판타지,제리엠,210000000,124000,642,2030-07-19,2024-12-21,9.9
60,진화 특성으로 최강 네크로맨서,판타지,짜빈동귀신,8627000,3602,415,2001-04-23,2001-04-23,9.4
