,제목,장르,작가,조회수,댓글,연재수,연재 시작일,최신 연재일,평점
1,마법을 품다,판타지,양강,311.2만,"전체 1,100",전체 131,24.06.05,24.06.26,9.6
2,천재 궁수의 스트리밍,판타지,멍멍킴,2억,전체 15.2만,전체 979,21.02.09,24.06.26,9.9
3,변경백 서자는 황제였다,판타지,기준석,"9,391.6만",전체 10.5만,전체 812,21.11.17,24.06.26,10.0
4,마법학교 마법사로 살아가는 법,판타지,글쓰는기계,1.8억,전체 16.7만,"전체 1,075",21.08.17,24.06.26,9.9
5,달빛조각사: 아빠는 전설이다,판타지,남희성,956.5만,"전체 6,723",전체 125,23.12.07,24.06.25,9.5
6,환생한 암살자는 검술 천재,판타지,글개미,2.8억,전체 13.4만,전체 948,21.09.29,24.06.26,9.8
7,템빨,판타지,박새날,11.8억,전체 63.8만,"전체 2,060",14.12.08,24.04.26,9.6
8,역대급 올마스터의 회귀,판타지,연이요,"1,421만","전체 4,020",전체 147,24.04.22,24.06.26,9.4
9,2레벨로 회귀한 무신,판타지,염비,1.7억,전체 6.2만,전체 721,21.06.22,24.05.10,9.4
10,각성 전부터 네크로맨서,판타지,봉인해제,91.6만,전체 361,전체 300,24.02.05,24.05.22,9.7
11,블랙기업조선,판타지,국뽕,"5,714만",전체 4.2만,"전체 1,207",20.05.26,24.06.26,9.6
12,나 혼자만 레벨업 : 라그나로크,판타지,다울,"5,888.9만",전체 2.8만,전체 238,23.04.10,24.06.26,9.7
13,일인 군단이 된 천재 신궁,판타지,신율,96.7만,전체 254,전체 320,24.05.14,24.05.14,9.5
14,다크 판타지의 망캐가 되었다,판타지,서홍,"3,691.9만",전체 4.1만,전체 636,21.11.08,24.06.26,9.9
15,네크로맨서 학교의 소환천재,판타지,일제사격,1.7억,전체 14.4만,"전체 1,225",20.08.20,24.06.26,9.7
16,마법학교 앞점멸 천재가 되었다,판타지,은밀히,"2,467.1만",전체 2.6만,전체 552,21.02.22,23.06.26,9.7
17,돈지랄 네크로맨서,판타지,키보드만세,"1,368.3만","전체 7,346",전체 199,24.02.29,24.06.26,9.7
18,멸망한 세계의 4급 인간,판타지,외투,"1,768.1만",전체 2만,전체 249,23.11.29,24.06.26,9.8
19,판타지 세계 속 바바리안으로 살아가기,판타지,파란영,586.5만,"전체 5,132",전체 204,24.04.05,24.06.26,9.6
20,천재 대장장이의 게임,판타지,박민규,"3,502.6만",전체 1.6만,전체 391,23.10.30,24.06.26,9.3
21,초월자의 채널을 구독했다,판타지,두파치타파,"1,371.8만","전체 8,475",전체 379,23.02.21,23.09.19,8.9
