,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수,판타지,현대판타지,무협,로맨스판타지
0, 무신연의 : 여포가 효도를 잘함,판타지,별꽃라떼,2024-05-08,2024-06-20,66,2861528,114124,601798,26601,True,False,False,False
1, 하남자의 탑 공략법,현대판타지,꾸찌꾸찌,2024-02-12,2024-06-21,122,5286589,176625,835910,36316,False,True,False,False
2, 1588 샤인머스캣으로 귀농 왔더니 신대륙,판타지,간다왼쪽,2024-05-08,2024-06-21,63,1806006,84460,452831,17087,True,False,False,False
3, 방구석 저격수.,현대판타지,캡슐호텔,2024-04-19,2024-06-20,68,2604267,61989,499807,23638,False,True,False,False
4, 회귀수선전(回歸修仙傳),무협,엄청난,2023-01-18,2024-06-20,509,12769116,531441,4448215,42848,False,False,True,False
5, 용사의 발라드,판타지,도동파,2024-03-21,2024-06-21,96,3031593,142207,730391,32299,True,False,False,False
6, 범상한 변호사의 아공간,현대판타지,서칸더브이,2024-01-04,2024-06-21,176,3388657,117554,993789,19726,False,True,False,False
7, 화약고 제국의 천재 대공,판타지,시작의바다,2023-05-10,2024-06-20,323,4750408,169534,2192438,15920,True,False,False,False
8, 차라리 빌런으로 살겠다,현대판타지,서인하,2024-03-02,2024-06-21,122,2281090,85646,832022,17435,False,True,False,False
9, 세상에 나쁜 영애는 없다,로맨스판타지,코리타,2024-03-21,2024-06-20,66,1452755,61100,588863,17154,False,False,False,True
10, 약먹는 천재마법사,현대판타지,글근육,2020-08-27,2024-06-20,1141,22360475,888219,8700289,47854,False,True,False,False
11, 탑스타의 남동생이 되었다,현대판타지,운좋은놈,2024-04-10,2024-06-20,66,1407655,34121,395767,10960,False,True,False,False
12, 북부 대공의 미친 데릴사위,판타지,곰돌이는,2023-12-04,2024-06-20,177,3964210,157018,1361683,30315,True,False,False,False
13, 블랙기업조선,판타지,국뽕,2019-12-04,2024-06-20,1206,33232947,901914,6655823,41382,True,False,False,False
14, 미혼부 AI로 세상을 지배하다,현대판타지,소보로설,2024-03-17,2024-06-21,105,2271759,48037,574083,12752,False,True,False,False
15, 탐관오리가 상태창을 숨김,판타지,코락스,2023-07-03,2024-06-20,284,3122905,164400,2531925,14730,True,False,False,False
16, 회귀했는데 세상이 안 망함,현대판타지,선우(仙宇),2023-11-09,2024-06-20,182,4213640,112607,1136297,23451,False,True,False,False
17, 전능의 혀를 얻었다,현대판타지,몽쉐르,2023-11-27,2024-06-20,200,2571913,84855,1245374,12016,False,True,False,False
18, 슈팅 궤적이 다 보임,현대판타지,닥터암,2023-06-26,2024-06-20,300,5074300,146964,1898758,21218,False,True,False,False
19, 회사원이 너무 강함,현대판타지,블루티풀,2024-03-15,2024-06-20,104,1776542,42450,608954,11651,False,True,False,False
20, 무한전생-아서 허트,판타지,광악,2023-10-04,2024-06-20,198,2436499,103182,1104931,15415,True,False,False,False
21, 글러먹은 빙의,판타지,목마,2023-02-22,2024-06-21,348,5404852,224175,2808520,25882,True,False,False,False
22, 121세기에서 살아남기,판타지,컵라면.,2024-02-14,2024-06-20,99,1627210,74640,779458,16552,True,False,False,False
23, 알바생이 요리를 너무 잘함,현대판타지,윤재.,2023-11-22,2024-06-20,187,2633403,83410,1080133,14062,False,True,False,False
24, 충무공의 아들이 되었다,판타지,보헤미아.,2023-11-06,2024-06-20,167,1546228,58865,891891,7873,True,False,False,False
25, 공물 바치고 대마법사,판타지,낭선,2023-10-13,2024-06-20,277,3010454,137252,1959104,15984,True,False,False,False
26, 은퇴한 전설의 특수요원이 반로환동하여 사는 법.,판타지,강바기,2024-04-22,2024-06-21,57,1035208,25731,356486,7228,True,False,False,False
27, 동로마 황녀가 내 아이를 임신하셨다,판타지,열이틀,2024-02-14,2024-06-20,129,1100472,54856,933994,8785,True,False,False,False
28, 내 조선에 세종은 없다,판타지,핏콩,2022-10-03,2024-06-20,463,4378695,180306,2556987,13195,True,False,False,False
29, 호콴의 도서관,판타지,쿠우울,2023-09-09,2024-06-21,383,2375154,103033,2404387,10227,True,False,False,False
30, 천재 미드필더의 패스는 특별하다,현대판타지,역작s,2023-12-18,2024-06-20,140,2505130,49669,781035,12595,False,True,False,False
31, 내 수익률 무한!,현대판타지,혁이.,2024-04-07,2024-06-20,74,712317,19799,405744,4893,False,True,False,False
