,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
1,선독점 하남자의 탑 공략법,"현대판타지, 퓨전",꾸찌꾸찌,2024.02.12 11:12,2024.06.21 12:00,122 회,"5,286,779","176,633","835,910","36,318"
2,선독점 용사의 발라드,판타지,도동파,2024.03.21 20:54,2024.06.21 10:00,96 회,"3,031,669","142,211","730,391","32,299"
3,선독점 방구석 저격수.,"현대판타지, 퓨전",캡슐호텔,2024.04.19 23:20,2024.06.20 22:12,68 회,"2,604,369","61,992","499,807","23,638"
4,선독점 회귀수선전(回歸修仙傳),"무협, 퓨전",엄청난,2023.01.18 16:39,2024.06.20 19:00,509 회,"12,769,179","531,441","4,448,215","42,848"
5,선독점 범상한 변호사의 아공간,현대판타지,서칸더브이,2024.01.04 14:53,2024.06.21 09:00,176 회,"3,388,699","117,557","993,789","19,726"
6,선독점 탑 매니지먼트,현대판타지,장우산,2015.12.07 21:20,2024.06.19 18:00,296 회,"19,235,737","569,826","1,808,691","37,155"
7,선독점 미혼부 AI로 세상을 지배하다,"현대판타지, 퓨전",소보로설,2024.03.17 15:22,2024.06.21 12:00,105 회,"2,271,802","48,037","574,083","12,751"
8,선독점 차라리 빌런으로 살겠다,"현대판타지, 드라마",서인하,2024.03.02 12:19,2024.06.21 08:00,122 회,"2,281,138","85,646","832,022","17,435"
9,선독점 이상적 연출생활백서,"현대판타지, 드라마",자경(蔗境),2024.03.12 21:59,2024.06.20 11:20,96 회,"1,655,141","51,740","649,633","11,844"
10,선독점 약먹는 천재마법사,"현대판타지, 판타지",글근육,2020.08.27 17:57,2024.06.20 20:00,"1,141 회","22,360,530","888,221","8,700,289","47,854"
11,"선독점 로큰롤, 발 없는 새가 되다","현대판타지, 판타지",경우勁雨,2024.02.23 02:28,2024.06.21 12:00,244 회,"1,147,054","44,672","1,308,026","5,499"
12,선독점 북부 대공의 미친 데릴사위,"판타지, 퓨전",곰돌이는,2023.12.04 18:00,2024.06.20 18:00,177 회,"3,964,234","157,020","1,361,683","30,315"
13,선독점 화약고 제국의 천재 대공,"대체역사, 판타지",시작의바다,2023.05.10 19:30,2024.06.20 19:30,323 회,"4,750,439","169,535","2,192,438","15,920"
14,선독점 세상에 나쁜 영애는 없다,"판타지, 로맨스",코리타,2024.03.21 21:26,2024.06.20 22:00,66 회,"1,452,781","61,101","588,863","17,153"
15,선독점 아포칼립스에 집을 숨김,"현대판타지, 퓨전",로드워리어,2022.12.13 11:42,2024.06.20 21:20,464 회,"6,773,433","377,605","3,195,119","33,283"
16,선독점 호콴의 도서관,"판타지, 퓨전",쿠우울,2023.09.09 18:43,2024.06.21 06:00,383 회,"2,375,187","103,034","2,404,387","10,227"
17,선독점 EX급 절대반지를 얻었다,"퓨전, 현대판타지",김현준™,2024.04.05 10:28,2024.06.21 15:00,83 회,"1,688,673","36,997","607,384","9,860"
18,선독점 시간을 달리는 소설가,"현대판타지, 판타지",피아조아,2023.04.03 02:25,2024.06.19 18:00,272 회,"6,609,366","353,039","1,911,724","35,246"
19,선독점 블랙기업조선,"대체역사, 퓨전",국뽕,2019.12.04 17:00,2024.06.20 17:00,"1,206 회","33,232,996","901,914","6,655,823","41,382"
20,선독점 글러먹은 빙의,"퓨전, 판타지",목마,2023.02.22 13:22,2024.06.21 12:00,348 회,"5,404,895","224,179","2,808,520","25,882"
21,선독점 회사원이 너무 강함,"현대판타지, 스포츠",블루티풀,2024.03.15 00:29,2024.06.20 19:20,104 회,"1,776,562","42,453","608,954","11,650"
22,선독점 화학천재의 비밀 투자 공식,"현대판타지, 판타지",율려(律呂),2023.12.31 14:44,2024.06.21 14:00,156 회,"2,919,404","80,602","919,171","14,981"
23,선독점 웰컴 투 NBA,"스포츠, 현대판타지",필리포스,2023.05.10 10:01,2024.06.20 12:00,323 회,"2,951,516","95,989","2,162,472","9,577"
24,선독점 삼국지 : 내가 영웅의 그릇인가.,"대체역사, 퓨전",엠보돌,2023.12.04 17:00,2024.06.21 09:45,169 회,"1,289,639","46,045","981,979","6,838"
25,선독점 공물 바치고 대마법사,"판타지, 퓨전",낭선,2023.10.13 19:41,2024.06.20 18:00,277 회,"3,010,466","137,251","1,959,104","15,984"
26,선독점 탐관오리가 상태창을 숨김,"대체역사, 퓨전",코락스,2023.07.03 18:00,2024.06.20 18:00,284 회,"3,122,935","164,402","2,531,925","14,730"
27,선독점 슈팅 궤적이 다 보임,"스포츠, 현대판타지",닥터암,2023.06.26 17:20,2024.06.20 17:20,300 회,"5,074,304","146,964","1,898,758","21,218"
28,선독점 EX급 창고를 얻었다,"판타지, 게임",한손검,2024.03.03 07:29,2024.06.20 19:01,112 회,"2,493,374","56,812","940,461","14,915"
29,선독점 러스트 [ RUST ],"현대판타지, 판타지",글라딘,2021.07.26 22:15,2024.06.20 20:13,"1,059 회","11,718,808","497,973","6,409,768","30,552"
30,선독점 내 조선에 세종은 없다,"대체역사, 퓨전",핏콩,2022.10.03 08:00,2024.06.20 20:00,463 회,"4,378,714","180,308","2,556,987","13,195"
31,선독점 회귀했는데 세상이 안 망함,"현대판타지, 판타지",선우(仙宇),2023.11.09 12:50,2024.06.20 18:00,182 회,"4,213,651","112,607","1,136,297","23,450"
32,선독점 방출당한 투수가 금강불괴로 돌아옴,"스포츠, 현대판타지",단팥빵소년,2024.03.10 20:07,2024.06.21 11:00,142 회,"1,674,770","38,358","910,333","7,560"
