,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
1,선독점 무신연의 : 여포가 효도를 잘함,"퓨전, 대체역사",별꽃라떼,2024.05.08 11:55,2024.06.20 18:00,66 회,"2,861,528","114,124","601,798","26,601"
2,선독점 하남자의 탑 공략법,"현대판타지, 퓨전",꾸찌꾸찌,2024.02.12 11:12,2024.06.21 12:00,122 회,"5,286,589","176,625","835,910","36,316"
3,선독점 1588 샤인머스캣으로 귀농 왔더니 신대륙,"대체역사, 퓨전",간다왼쪽,2024.05.08 16:32,2024.06.21 09:00,63 회,"1,806,006","84,460","452,831","17,087"
4,선독점 방구석 저격수.,"현대판타지, 퓨전",캡슐호텔,2024.04.19 23:20,2024.06.20 22:12,68 회,"2,604,267","61,989","499,807","23,638"
5,선독점 회귀수선전(回歸修仙傳),"무협, 퓨전",엄청난,2023.01.18 16:39,2024.06.20 19:00,509 회,"12,769,116","531,441","4,448,215","42,848"
6,선독점 용사의 발라드,판타지,도동파,2024.03.21 20:54,2024.06.21 10:00,96 회,"3,031,593","142,207","730,391","32,299"
7,선독점 범상한 변호사의 아공간,현대판타지,서칸더브이,2024.01.04 14:53,2024.06.21 09:00,176 회,"3,388,657","117,554","993,789","19,726"
8,선독점 화약고 제국의 천재 대공,"대체역사, 판타지",시작의바다,2023.05.10 19:30,2024.06.20 19:30,323 회,"4,750,408","169,534","2,192,438","15,920"
9,선독점 차라리 빌런으로 살겠다,"현대판타지, 드라마",서인하,2024.03.02 12:19,2024.06.21 08:00,122 회,"2,281,090","85,646","832,022","17,435"
10,선독점 세상에 나쁜 영애는 없다,"판타지, 로맨스",코리타,2024.03.21 21:26,2024.06.20 22:00,66 회,"1,452,755","61,100","588,863","17,154"
11,선독점 약먹는 천재마법사,"현대판타지, 판타지",글근육,2020.08.27 17:57,2024.06.20 20:00,"1,141 회","22,360,475","888,219","8,700,289","47,854"
12,선독점 탑스타의 남동생이 되었다,"현대판타지, 퓨전",운좋은놈,2024.04.10 00:28,2024.06.20 21:57,66 회,"1,407,655","34,121","395,767","10,960"
13,선독점 북부 대공의 미친 데릴사위,"판타지, 퓨전",곰돌이는,2023.12.04 18:00,2024.06.20 18:00,177 회,"3,964,210","157,018","1,361,683","30,315"
14,선독점 블랙기업조선,"대체역사, 퓨전",국뽕,2019.12.04 17:00,2024.06.20 17:00,"1,206 회","33,232,947","901,914","6,655,823","41,382"
15,선독점 미혼부 AI로 세상을 지배하다,"현대판타지, 퓨전",소보로설,2024.03.17 15:22,2024.06.21 12:00,105 회,"2,271,759","48,037","574,083","12,752"
16,선독점 탐관오리가 상태창을 숨김,"대체역사, 퓨전",코락스,2023.07.03 18:00,2024.06.20 18:00,284 회,"3,122,905","164,400","2,531,925","14,730"
17,선독점 회귀했는데 세상이 안 망함,"현대판타지, 판타지",선우(仙宇),2023.11.09 12:50,2024.06.20 18:00,182 회,"4,213,640","112,607","1,136,297","23,451"
18,선독점 전능의 혀를 얻었다,"현대판타지, 판타지",몽쉐르,2023.11.27 11:13,2024.06.20 19:00,200 회,"2,571,913","84,855","1,245,374","12,016"
19,선독점 슈팅 궤적이 다 보임,"스포츠, 현대판타지",닥터암,2023.06.26 17:20,2024.06.20 17:20,300 회,"5,074,300","146,964","1,898,758","21,218"
20,선독점 회사원이 너무 강함,"현대판타지, 스포츠",블루티풀,2024.03.15 00:29,2024.06.20 19:20,104 회,"1,776,542","42,450","608,954","11,651"
21,선독점 무한전생-아서 허트,"판타지, 퓨전",광악,2023.10.04 08:26,2024.06.20 18:00,198 회,"2,436,499","103,182","1,104,931","15,415"
22,선독점 글러먹은 빙의,"퓨전, 판타지",목마,2023.02.22 13:22,2024.06.21 12:00,348 회,"5,404,852","224,175","2,808,520","25,882"
