,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
1,선독점 용사의 발라드,판타지,도동파,2024.03.21 20:54,2024.06.25 10:00,100 회,"3,097,553","146,055","763,845","32,418"
2,선독점 황실의 망나니 스승이 되었다,"판타지, 퓨전",papapa.,2024.05.14 17:59,2024.06.24 20:00,51 회,"2,156,641","61,054","332,755","23,973"
3,선독점 약먹는 천재마법사,"현대판타지, 판타지",글근육,2020.08.27 17:57,2024.06.24 20:00,"1,144 회","22,411,477","889,639","8,726,797","47,858"
4,선독점 이세계 영주가 밥을 잘 먹임,"판타지, 퓨전",이디즈,2023.05.10 12:40,2024.05.10 19:00,333 회,"3,421,747","123,064","1,822,787","13,286"
5,선독점 호콴의 도서관,"판타지, 퓨전",쿠우울,2023.09.09 18:43,2024.06.25 06:00,387 회,"2,394,482","104,059","2,426,287","10,233"
6,선독점 종말의 뱀이 되었다,"판타지, 퓨전",비도™,2024.05.08 10:05,2024.06.24 18:00,53 회,"2,913,867","109,940","336,251","32,834"
7,선독점 북부 대공의 미친 데릴사위,"판타지, 퓨전",곰돌이는,2023.12.04 18:00,2024.06.24 18:00,180 회,"3,988,628","158,122","1,384,111","30,269"
8,선독점 화학천재의 비밀 투자 공식,"현대판타지, 판타지",율려(律呂),2023.12.31 14:44,2024.06.25 14:00,159 회,"2,940,269","81,275","937,520","14,955"
9,선독점 화약고 제국의 천재 대공,"대체역사, 판타지",시작의바다,2023.05.10 19:30,2024.06.24 19:30,325 회,"4,775,273","170,476","2,206,824","15,932"
10,선독점 세상에 나쁜 영애는 없다,"판타지, 로맨스",코리타,2024.03.21 21:26,2024.06.24 21:58,68 회,"1,471,816","62,134","606,988","17,142"
11,선독점 글러먹은 빙의,"퓨전, 판타지",목마,2023.02.22 13:22,2024.06.25 12:00,352 회,"5,430,918","225,364","2,841,247","25,886"
12,선독점 시간을 달리는 소설가,"현대판타지, 판타지",피아조아,2023.04.03 02:25,2024.06.24 18:00,274 회,"6,639,291","355,085","1,926,428","35,273"
13,"선독점 로큰롤, 발 없는 새가 되다","현대판타지, 판타지",경우勁雨,2024.02.23 02:28,2024.06.25 12:00,248 회,"1,167,258","45,222","1,329,573","5,522"
14,선독점 북부 전선의 고인물,"판타지, 전쟁·밀리터리",데거스,2024.05.08 13:33,2024.06.25 12:20,66 회,"1,605,530","37,179","413,035","10,639"
15,선독점 공물 바치고 대마법사,"판타지, 퓨전",낭선,2023.10.13 19:41,2024.06.24 18:00,281 회,"3,028,074","138,101","1,984,432","15,976"
16,선독점 하남자 헌터의 셀프육성법,"퓨전, 판타지",데프프픗,2024.05.08 10:02,2024.06.24 19:00,67 회,"897,356","30,784","365,013","6,922"
17,선독점 회귀했는데 세상이 안 망함,"현대판타지, 판타지",선우(仙宇),2023.11.09 12:50,2024.06.24 18:00,184 회,"4,228,281","113,116","1,147,699","23,425"
18,선독점 러스트 [ RUST ],"현대판타지, 판타지",글라딘,2021.07.26 22:15,2024.06.24 20:03,"1,063 회","11,734,794","498,838","6,435,627","30,530"
