,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
1,선독점 무신연의 : 여포가 효도를 잘함,"퓨전, 대체역사",별꽃라떼,2024.05.08 11:55,2024.06.24 18:00,71 회,"2,972,555","119,822","644,663","26,508"
2,선독점 하남자의 탑 공략법,"현대판타지, 퓨전",꾸찌꾸찌,2024.02.12 11:12,2024.06.25 12:00,124 회,"5,362,821","179,332","850,420","36,361"
3,선독점 방구석 저격수.,"현대판타지, 퓨전",캡슐호텔,2024.04.19 23:20,2024.06.24 22:00,72 회,"2,660,876","63,800","530,115","23,617"
4,선독점 1588 샤인머스캣으로 귀농 왔더니 신대륙,"대체역사, 퓨전",간다왼쪽,2024.05.08 16:32,2024.06.24 19:00,68 회,"1,875,452","89,088","485,727","16,914"
5,선독점 황실의 망나니 스승이 되었다,"판타지, 퓨전",papapa.,2024.05.14 17:59,2024.06.24 20:00,51 회,"2,156,675","61,056","332,755","23,972"
6,선독점 회귀수선전(回歸修仙傳),"무협, 퓨전",엄청난,2023.01.18 16:39,2024.06.24 19:00,513 회,"12,822,686","533,450","4,473,049","42,883"
7,선독점 미혼부 AI로 세상을 지배하다,"현대판타지, 퓨전",소보로설,2024.03.17 15:22,2024.06.25 12:00,109 회,"2,306,738","48,780","596,170","12,776"
8,선독점 막내피디가 천재작가였다,"현대판타지, 퓨전",글맛,2023.03.06 20:33,2024.04.30 20:56,340 회,"5,906,981","183,776","2,686,075","23,095"
9,선독점 이세계 영주가 밥을 잘 먹임,"판타지, 퓨전",이디즈,2023.05.10 12:40,2024.05.10 19:00,333 회,"3,421,788","123,066","1,822,787","13,286"
10,선독점 호콴의 도서관,"판타지, 퓨전",쿠우울,2023.09.09 18:43,2024.06.25 06:00,387 회,"2,394,487","104,059","2,426,287","10,233"
11,선독점 종말의 뱀이 되었다,"판타지, 퓨전",비도™,2024.05.08 10:05,2024.06.24 18:00,53 회,"2,913,963","109,945","336,251","32,835"
12,선독점 북부 대공의 미친 데릴사위,"판타지, 퓨전",곰돌이는,2023.12.04 18:00,2024.06.24 18:00,180 회,"3,988,641","158,123","1,384,111","30,269"
13,선독점 글러먹은 빙의,"퓨전, 판타지",목마,2023.02.22 13:22,2024.06.25 12:00,352 회,"5,430,941","225,364","2,841,247","25,886"
14,선독점 블랙기업조선,"대체역사, 퓨전",국뽕,2019.12.04 17:00,2024.06.24 17:00,"1,207 회","33,266,270","902,274","6,661,192","41,390"
15,선독점 탑스타의 남동생이 되었다,"현대판타지, 퓨전",운좋은놈,2024.04.10 00:28,2024.06.24 22:11,69 회,"1,428,336","34,997","414,635","10,910"
16,선독점 아포칼립스에 집을 숨김,"현대판타지, 퓨전",로드워리어,2022.12.13 11:42,2024.06.24 21:20,466 회,"6,790,743","378,210","3,209,420","33,287"
17,선독점 은퇴한 초인의 슬로우라이프,"현대판타지, 퓨전",ROHRAN노란,2023.08.12 09:39,2024.05.14 16:00,225 회,"3,046,431","82,896","1,307,627","16,763"
18,선독점 공물 바치고 대마법사,"판타지, 퓨전",낭선,2023.10.13 19:41,2024.06.24 18:00,281 회,"3,028,081","138,101","1,984,432","15,976"
19,선독점 하남자 헌터의 셀프육성법,"퓨전, 판타지",데프프픗,2024.05.08 10:02,2024.06.24 19:00,67 회,"897,366","30,784","365,013","6,922"
20,선독점 탐관오리가 상태창을 숨김,"대체역사, 퓨전",코락스,2023.07.03 18:00,2024.06.24 18:00,286 회,"3,141,856","165,249","2,549,701","14,714"
21,선독점 도사 아니고 매니전데요?,"현대판타지, 퓨전",글꾸니,2022.11.01 00:06,2023.09.06 12:00,240 회,"3,907,012","114,344","1,328,379","15,943"
22,선독점 턴제의 마법사,"판타지, 퓨전",정따블,2024.01.21 15:05,2024.06.24 08:20,137 회,"1,920,061","93,695","886,328","17,403"
23,선독점 무한전생-아서 허트,"판타지, 퓨전",광악,2023.10.04 08:26,2024.06.24 18:00,200 회,"2,446,864","103,908","1,116,100","15,398"
24,선독점 고귀한 헌터로 착각당했다,"퓨전, 현대판타지",글포터,2024.02.20 18:25,2024.06.25 12:30,124 회,"2,702,134","68,337","666,048","15,484"
25,선독점 풍요의 여신과 천재 망나니 사도님,"판타지, 퓨전",곰산타,2024.03.18 21:11,2024.06.25 17:35,104 회,"737,330","24,613","680,329","4,712"
26,선독점 망겜의 성기사,"현대판타지, 퓨전",검미성,2018.11.01 23:56,2019.07.17 23:57,206 회,"4,244,127","175,300","1,378,686","19,446"
27,선독점 EX급 절대반지를 얻었다,"퓨전, 현대판타지",김현준™,2024.04.05 10:28,2024.06.25 15:00,85 회,"1,699,697","37,364","623,894","9,779"
28,선독점 삼국지 : 내가 영웅의 그릇인가.,"대체역사, 퓨전",엠보돌,2023.12.04 17:00,2024.06.25 09:45,171 회,"1,302,324","46,380","993,321","6,840"
29,선독점 조선왕자가 미국갔다 안 돌아옴,"대체역사, 퓨전",누텔라.,2022.05.21 22:19,2024.06.24 19:05,547 회,"3,339,573","126,773","3,568,189","10,089"
30,선독점 절대독공으로 SSS급 헌터,"현대판타지, 퓨전",차성,2024.03.12 19:20,2024.06.23 23:31,97 회,"1,674,106","37,048","616,463","8,719"
31,선독점 내 조선에 세종은 없다,"대체역사, 퓨전",핏콩,2022.10.03 08:00,2024.06.24 20:00,465 회,"4,390,346","180,921","2,567,976","13,183"
32,선독점 천만년만에 귀환한 무신님,"퓨전, 현대판타지",맛깔란,2024.02.20 18:55,2024.06.25 17:01,140 회,"2,162,817","47,908","881,151","10,265"
33,선독점 돌팔이 의사 자크 지라르,"판타지, 퓨전",담하이데,2024.03.27 16:27,2024.06.24 22:30,77 회,"608,576","25,023","554,536","5,228"
34,선독점 대영제국에서 작가로 살아남기,"대체역사, 퓨전",고스름도치,2023.05.10 18:01,2024.06.24 18:00,313 회,"2,836,928","129,049","1,774,119","12,993"
35,선독점 아케인펑크의 공간술사,"퓨전, SF",다원.,2023.10.23 18:00,2024.05.11 23:14,203 회,"1,248,916","38,834","1,150,647","6,445"
36,선독점 미궁 속 천재공학자,"퓨전, 현대판타지",병장개미,2022.10.19 12:00,2024.06.25 13:32,496 회,"3,053,536","140,852","2,791,807","12,532"
37,선독점 파브르 in 사천당가,"무협, 퓨전",에르훗,2023.09.13 23:59,2024.06.25 11:20,271 회,"3,388,230","112,081","1,675,424","21,681"
38,선독점 진화 특성으로 최강 네크로맨서,"판타지, 퓨전",짜빈동귀신,2021.08.30 22:00,2023.01.19 12:35,415 회,"3,492,737","89,930","2,443,606","13,885"
39,선독점 제국 경비대의 망나니 소드마스터,"판타지, 퓨전",사탕꽃,2024.01.24 08:33,2024.06.24 19:00,137 회,"2,726,737","74,012","945,433","19,434"
40,선독점 카이스트 천재는 재벌이 된다,"현대판타지, 퓨전",지지지비,2024.03.21 00:00,2024.06.24 20:01,82 회,"1,044,678","20,527","458,863","6,160"
41,선독점 증기시대의 야수조련사,"판타지, 퓨전",돌무지,2024.02.29 18:15,2024.06.24 19:00,98 회,"396,372","26,074","693,283","5,252"
42,선독점 겨우 강해졌는데 회귀해버림,"현대판타지, 퓨전",수국칼,2024.02.12 20:26,2024.06.24 23:00,135 회,"2,572,217","58,697","727,190","13,401"
43,선독점 내 땅에 통행료가 들어온다,"퓨전, 판타지",현진현우,2024.03.04 16:20,2024.06.24 18:00,116 회,"663,843","14,963","623,783","3,030"
44,선독점 내 마법인형은 기간트,"판타지, 퓨전",시인단테,2023.05.10 10:08,2023.09.19 14:00,211 회,"1,938,730","56,991","1,329,189","7,733"
45,선독점 아포칼립스 장난감,"현대판타지, 퓨전",눌프,2024.03.16 18:29,2024.06.25 13:30,95 회,"1,779,673","47,265","527,098","10,189"
46,선독점 각성이 멈추질 않는다,"현대판타지, 퓨전",길마,2024.03.12 19:13,2024.06.24 18:00,89 회,"1,771,260","39,168","583,483","9,439"
47,선독점 짜장 한 그릇에 제갈세가 데릴사위,"무협, 퓨전",에르훗,2022.07.13 14:37,2024.06.25 11:20,689 회,"5,755,794","205,587","4,191,290","22,931"
48,선독점 나 혼자 탑에서 농사,"현대판타지, 퓨전",sdcknight,2022.05.11 11:46,2024.06.25 15:00,737 회,"6,543,097","272,600","3,974,631","21,669"
49,선독점 무언의 마법사,"퓨전, 현대판타지",강철민,2023.10.06 14:00,2024.06.21 18:00,205 회,"2,169,828","49,499","1,077,408","9,858"
50,선독점 몽골조선의 천재 데릴사위가 되었다,"대체역사, 퓨전",기신,2023.09.11 16:41,2024.06.24 22:00,158 회,"1,044,798","27,760","1,415,091","5,512"
51,선독점 귀농한 무한서고의 주인이 꿀빠는 법,"판타지, 퓨전",[세인토],2024.03.25 13:32,2024.06.24 18:00,95 회,"644,721","13,784","500,441","3,792"
52,선독점 파혼 후 역대급 투자 천재,"현대판타지, 퓨전",단골손놈,2024.03.19 00:39,2024.06.24 20:00,107 회,"1,397,356","23,994","652,815","6,608"
53,선독점 시한부 천재가 살아남는 법,"무협, 퓨전",청시소,2020.09.28 21:03,2024.06.24 20:00,726 회,"11,260,083","454,974","4,693,253","31,047"
54,선독점 말단 병사가 너무 강함,"판타지, 퓨전",글택,2023.12.03 18:22,2024.06.24 19:20,206 회,"2,216,715","44,133","1,308,539","10,223"
55,선독점 멸망이 예정된 세상에서 산다,"판타지, 퓨전",더블킥,2022.05.20 18:00,2023.01.26 18:00,193 회,"2,548,760","79,090","1,034,457","12,014"
56,선독점 아포칼립스의 유일한 흑마법사가 되었다,"현대판타지, 퓨전",BELF,2022.09.15 13:00,2023.08.27 16:00,239 회,"2,972,882","81,756","1,325,358","13,767"
57,선독점 운명을 보는 회사원,"현대판타지, 퓨전",영완(映完),2019.09.28 15:02,2023.06.26 16:20,317 회,"11,545,462","356,695","1,849,727","25,736"
58,선독점 무림 속 외노자가 되었다,"무협, 퓨전",함초소금,2021.02.15 18:30,2024.06.13 08:10,757 회,"5,592,647","213,542","5,874,674","19,057"
59,선독점 내 마법만 레벨업,"판타지, 퓨전",해무극,2023.06.01 20:05,2024.06.24 18:00,286 회,"2,800,539","85,298","1,782,408","11,605"
60,선독점 아포칼립스 EX급 벙커 라이프,"현대판타지, 퓨전",켈린더,2024.04.11 14:50,2024.06.24 18:30,77 회,"754,223","14,914","491,469","4,641"
61,선독점 현대수선전,"현대판타지, 퓨전",오렌,2023.05.10 11:05,2024.05.20 17:00,300 회,"2,046,036","55,931","1,830,371","6,785"
62,선독점 입주자들이 너무 강함,"퓨전, 현대판타지",[도비],2024.05.08 10:04,2024.06.24 18:05,52 회,"1,335,654","27,940","312,578","10,430"
63,선독점 근력 만렙 중세인,"판타지, 퓨전",련습,2024.02.21 19:56,2024.06.24 23:54,114 회,"1,074,919","32,892","840,359","7,564"
64,선독점 빌런의 경제학,"현대판타지, 퓨전",드림보트,2020.12.29 19:14,2021.09.09 19:00,247 회,"12,035,220","270,488","1,632,350","35,520"
65,선독점 내 회귀에 빌런은 없다,"현대판타지, 퓨전",1인5역,2023.12.27 11:00,2024.06.25 13:00,202 회,"1,819,958","35,265","1,138,059","6,087"
66,선독점 고졸순경이 경찰청장 되기,"현대판타지, 퓨전",해황,2020.05.11 16:44,2024.06.24 18:00,"1,913 회","3,543,016","106,060","12,543,663","4,411"
67,선독점 퓨전펑크의 전생자,"판타지, 퓨전",쫄면에삼겹,2023.01.10 21:50,2024.06.19 20:02,309 회,"5,597,814","214,593","2,332,925","24,823"
68,선독점 서부로 간 검은머리 용병,"대체역사, 퓨전",노오력.,2021.07.26 18:43,2024.01.23 20:10,592 회,"2,508,295","121,981","3,808,458","8,874"
69,선독점 역대급 먼치킨 힐러의 탄생,"현대판타지, 퓨전",꾸찌꾸찌,2018.11.02 12:26,2019.04.24 17:00,142 회,"3,722,885","92,680","820,006","13,247"
70,선독점 돌아온 삼촌이 마왕이라는데요?,"현대판타지, 퓨전",김판,2024.05.08 10:31,2024.06.25 17:00,54 회,"917,057","20,625","313,067","5,400"
71,선독점 유령이라 불리는 저격수,"현대판타지, 퓨전",버저비터,2018.12.31 13:15,2020.03.11 23:55,335 회,"2,357,358","53,639","1,843,334","6,525"
72,선독점 고인물의 스킬이 너무 화려하다,"퓨전, 판타지",광산김가,2024.02.05 10:58,2024.06.24 21:01,117 회,"1,798,310","36,837","757,317","9,040"
73,선독점 F급 헌터가 우주전함을 키움,"현대판타지, 퓨전",이나르™,2024.01.08 18:20,2024.06.24 18:00,145 회,"1,982,093","49,761","905,865","10,972"
74,선독점 백작가의 망나니가 되었다,"판타지, 퓨전",유려한,2018.04.09 11:26,2024.06.24 11:00,"1,111 회","28,400,723","1,243,287","7,336,183","61,681"
75,"선독점 고려, 신대륙에 떨어지다","대체역사, 퓨전",마늘맛스낵,2020.07.05 01:31,2023.04.10 22:00,653 회,"6,330,097","250,324","4,526,305","11,834"
76,선독점 상점 쓰는 이세계 전사,"판타지, 퓨전",Cadilet,2021.09.14 09:58,2022.09.01 18:15,464 회,"3,292,519","99,058","3,555,049","10,921"
77,선독점 맛집 사장님은 빌런 탈곡기,"현대판타지, 퓨전",크엉컹컹,2024.01.14 21:34,2024.06.25 10:00,152 회,"550,735","24,733","1,072,627","2,880"
78,선독점 중세 불꽃의 기사로 살아남기,"판타지, 퓨전",포더엠,2024.03.18 18:42,2024.06.24 20:00,101 회,"1,290,577","34,041","652,294","7,391"
79,선독점 짐꾼이었던 내가 마력이 무한?,"게임, 퓨전",1인5역,2023.03.26 17:00,2023.10.12 13:05,207 회,"2,672,810","58,212","1,107,992","10,588"
80,선독점 서브 남주가 파업하면 생기는 일,"판타지, 퓨전",숙임,2020.05.11 15:53,2024.06.21 21:00,916 회,"5,198,277","342,403","5,641,893","19,295"
81,선독점 영단 먹고 예지를 얻다,"현대판타지, 퓨전",새둥이,2023.05.11 18:08,2024.02.09 18:00,204 회,"1,903,183","43,479","1,207,299","6,186"
82,선독점 황금 귀의 프로듀서,"현대판타지, 퓨전",무적푸딩,2024.02.25 13:05,2024.06.25 12:00,117 회,"1,320,444","29,530","701,449","6,096"
83,선독점 홍등가의 소드마스터,"판타지, 퓨전",망신창이,2021.12.20 18:00,2023.08.30 21:00,451 회,"7,801,075","308,138","2,528,131","30,284"
84,선독점 환생했더니 대공의 셋째 아들,"판타지, 퓨전",BELF,2023.11.20 11:00,2024.06.25 15:00,162 회,"2,256,946","57,164","902,192","11,589"
85,선독점 기계신과 함께,"판타지, 퓨전",도르핀,2023.06.02 17:33,2023.07.20 20:18,264 회,"305,034","5,064","1,367,323","1,288"
86,선독점 전생이 대마법사다,"현대판타지, 퓨전",동구이,2023.10.27 17:24,2024.06.06 21:00,160 회,"2,242,567","55,734","874,209","11,651"
87,선독점 역대급 천재 재벌,"현대판타지, 퓨전",코알라,2019.09.11 11:18,2021.02.28 12:05,267 회,"6,701,270","142,753","1,676,616","18,275"
88,선독점 착각계 소드마스터,"판타지, 퓨전",기뮨,2024.03.26 12:37,2024.06.24 19:23,68 회,"1,065,996","25,967","462,251","7,316"
89,선독점 무신들의 단톡방에 초대되었다,"무협, 퓨전",엉끼,2023.11.21 10:30,2024.06.25 17:00,155 회,"1,675,969","36,991","1,324,543","8,850"
90,선독점 우주에서 날아온 재벌님,"현대판타지, 퓨전",오유,2021.10.27 14:00,2024.06.24 18:00,152 회,"922,558","22,720","833,778","3,578"
91,선독점 귀농한 천재 황족은 혈통을 숨김,"퓨전, 무협",어로달,2024.01.02 13:40,2024.06.24 23:00,151 회,"1,075,699","28,529","771,877","4,671"
92,선독점 게임 속 마법사는 현실에서 보상받는다,"퓨전, 판타지",고서귀™,2023.11.08 10:49,2024.06.24 19:00,222 회,"1,694,301","40,539","1,183,291","8,063"
93,선독점 빙하기 아포칼립스의 회사원,"현대판타지, 퓨전",희나리T,2023.07.22 12:20,2024.06.24 21:00,232 회,"2,244,704","49,799","1,245,116","9,689"
94,선독점 재앙급 귀환자의 현대 생활,"현대판타지, 퓨전",펜리힐드,2023.08.29 21:50,2024.06.24 18:00,227 회,"1,784,014","41,280","1,623,751","8,240"
95,선독점 게임 속 농작물을 현실에서 거래함,"현대판타지, 퓨전",오천자,2024.03.08 13:33,2024.06.24 21:00,94 회,"640,547","20,043","581,201","4,402"
96,선독점 천재 마법사가 폐관을 마침,"판타지, 퓨전",오늘도요,2023.11.16 11:00,2024.06.17 12:47,171 회,"1,300,879","41,498","1,051,448","8,227"
97,선독점 달동네 천재 작가,"현대판타지, 퓨전",웨이트,2023.07.05 23:55,2024.06.23 22:47,302 회,"1,744,051","68,648","1,790,850","8,900"
98,선독점 환생했더니 단종의 보모나인,"대체역사, 퓨전",윤인수,2022.08.31 08:17,2024.05.17 17:53,433 회,"2,798,273","144,871","2,504,782","9,375"
99,선독점 특성 쌓는 김전사,"현대판타지, 퓨전",산호초,2023.05.10 10:04,2024.02.19 08:00,300 회,"4,924,368","183,818","1,974,012","23,600"
100,선독점 SSS급 방구석 대장장이,"현대판타지, 퓨전",수리부엉이™,2024.05.11 17:09,2024.06.24 18:00,54 회,"1,272,239","27,735","296,718","9,019"
101,선독점 0살부터 슈퍼스타,"현대판타지, 퓨전",북그곰,2019.05.20 15:31,2024.04.17 16:00,"1,213 회","9,349,296","307,544","7,312,602","15,515"
102,선독점 은퇴했더니 초월급 정령사가 되었다,"현대판타지, 퓨전",배부른콩,2024.03.17 22:13,2024.06.25 10:20,108 회,"300,148","6,777","569,750","1,683"
103,선독점 박정의의 조카가 되었다,"대체역사, 퓨전",사키만자루,2023.12.01 11:56,2024.06.25 11:41,352 회,"698,456","19,912","1,900,954","2,612"
104,선독점 치트 쓰는 영주님,"판타지, 퓨전",리플래시,2024.03.04 09:37,2024.06.25 12:00,109 회,"712,600","19,923","760,304","3,556"
105,선독점 불꽃의 기사,"판타지, 퓨전",도동파,2020.01.21 11:18,2021.05.13 12:30,428 회,"2,334,509","113,668","3,386,372","9,699"
106,선독점 존버했더니 제국권력급 스승을 얻었다,"현대판타지, 퓨전",05林,2024.03.26 14:57,2024.06.24 22:20,85 회,"1,061,218","20,814","469,336","4,988"
107,선독점 어떤 무인의 초전자포,"무협, 퓨전",신시우,2023.08.15 20:00,2024.06.25 12:00,263 회,"1,607,049","33,946","1,817,658","5,661"
108,선독점 은퇴한 소드마스터는 귀농을 꿈꾼다,"판타지, 퓨전",폭파중,2023.12.25 03:55,2024.06.24 20:50,167 회,"1,094,692","25,256","954,366","4,572"
109,선독점 천마를 삼켰다.,"현대판타지, 퓨전",Stay.,2018.12.17 17:17,2024.06.24 18:00,241 회,"3,901,300","103,793","1,612,311","15,603"
110,선독점 마력은 없지만 아카데미에서 꿀빱니다,"퓨전, 현대판타지",악휘S,2021.10.09 12:15,2022.12.08 17:30,233 회,"2,740,791","61,725","1,360,708","13,695"
111,선독점 SSS급 패시브 들고 귀환했다,"현대판타지, 퓨전",괴물신입,2023.12.30 10:20,2024.06.24 19:00,189 회,"1,576,939","27,019","1,057,335","6,807"
112,선독점 중세 판타지 속 망나니 경비조장,"판타지, 퓨전",곰돌이는,2022.05.11 11:28,2023.03.15 18:00,256 회,"4,388,373","229,933","2,941,672","23,362"
