,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
1,선독점 EX급 창고를 얻었다,"판타지, 게임",한손검,2024.03.03 07:29,2024.06.24 19:03,115 회,"2,504,780","57,255","963,022","14,832"
2,선독점 은퇴한 헌터의 아포칼립스,"현대판타지, 게임",디다트,2023.12.26 13:35,2024.06.25 12:00,162 회,"2,441,419","66,695","1,113,909","15,506"
3,선독점 주인공이 힘을 숨김,"현대판타지, 게임",로드워리어,2016.06.11 12:32,2017.04.29 14:04,350 회,"6,408,806","204,447","2,207,270","19,815"
4,선독점 명문고 EX급 조연의 리플레이,"현대판타지, 게임",기월월,2019.09.02 11:10,2024.06.25 17:00,"1,155 회","8,071,396","439,551","6,447,601","18,960"
5,선독점 짐꾼이었던 내가 마력이 무한?,"게임, 퓨전",1인5역,2023.03.26 17:00,2023.10.12 13:05,207 회,"2,672,813","58,212","1,107,992","10,588"
6,선독점 흥겜의 딜러,"현대판타지, 게임",행운요정,2024.01.03 11:25,2024.06.24 19:22,111 회,"443,180","23,044","771,390","4,525"
7,선독점 70억분의 1의 이레귤러,"게임, 현대판타지",란델,2017.07.04 00:02,2024.06.24 22:00,"1,719 회","14,441,257","436,131","9,760,979","21,709"
8,선독점 검술 천재의 스트리밍,"게임, 현대판타지",개벽S,2023.05.10 10:18,2024.06.05 08:00,200 회,"2,924,749","73,117","1,128,506","12,913"
9,선독점 초월급 재능으로 은퇴함,"게임, 현대판타지",고라밀덕,2024.02.23 13:22,2024.06.19 10:00,130 회,"230,613","5,015","728,813","1,155"
10,선독점 망겜의 시체줍는 천재전사,"판타지, 게임",코라멜.,2022.01.24 20:06,2023.12.22 22:20,310 회,"4,109,595","142,030","1,883,339","21,192"
11,선독점 검신급 재능을 사다,"현대판타지, 게임",고타마™,2021.05.12 18:50,2022.03.24 16:36,283 회,"6,166,822","151,920","1,838,383","24,654"
12,선독점 게임 속 아바타의 재능으로 동화율 돌파,"현대판타지, 게임",꾸찌꾸찌,2022.01.13 15:07,2022.09.26 17:55,204 회,"3,517,556","95,035","1,255,073","15,410"
13,선독점 BJ대마도사,"게임, 퓨전",디다트,2018.10.21 14:59,2022.05.30 12:00,486 회,"17,563,556","572,594","3,433,613","41,806"
14,선독점 아카데미 편의점으로 힐링 할게요,"게임, 판타지",커피는카누,2021.05.12 10:20,2024.06.25 09:21,"1,091 회","4,188,231","172,688","6,509,368","13,780"
15,선독점 피지컬 천재의 게임방송,"현대판타지, 게임",정따블,2023.05.10 14:00,2024.01.26 12:00,251 회,"3,156,894","98,963","1,562,205","12,731"
16,선독점 나노칩으로 게임 최강,"게임, 퓨전",글포터,2021.07.26 11:28,2022.05.11 18:30,248 회,"3,141,101","80,565","1,432,342","12,273"
17,선독점 마운드 위의 절대자,"스포츠, 게임",디다트,2017.05.12 22:00,2017.11.23 10:42,201 회,"9,975,404","303,012","1,466,317","21,566"
18,선독점 강화했더니 다 붙었다,"현대판타지, 게임",열뚜시,2023.12.05 20:05,2024.06.24 20:00,182 회,"1,372,516","28,146","988,132","5,243"
19,선독점 게임4판타지,"게임, 퓨전",검미성,2020.04.07 20:42,2021.02.18 23:00,136 회,"2,285,418","105,134","910,417","14,446"
20,선독점 논검무적,"무협, 게임",요비,2023.09.12 19:00,2024.04.10 17:26,201 회,"376,392","13,109","1,246,171","1,638"
21,선독점 캬! 게임에 취한다!,"게임, 판타지",김하루,2018.04.12 11:22,2018.09.25 00:01,176 회,"1,818,384","45,199","990,284","4,197"
22,선독점 독식전설,"현대판타지, 게임",고두열,2018.10.31 23:40,2019.05.19 12:00,203 회,"3,157,584","93,391","1,141,629","12,346"
23,회귀자의 요리비책,"판타지, 게임",수리부엉이™,2019.10.22 00:02,2020.03.12 06:00,209 회,"91,110","1,995","1,060,125",386
24,"선독점 프로게이머, 그만두고 싶습니다","게임, 스포츠",봉두호,2022.05.21 23:55,2023.06.12 13:00,327 회,"1,728,194","53,066","1,968,417","6,336"
25,선독점 나 혼자 한 클로즈베타,"게임, 현대판타지",basso77,2018.07.30 14:02,2019.10.23 14:09,302 회,"7,652,092","185,284","1,924,025","23,152"
26,템 빨,게임,박새날,2014.11.14 18:09,2023.02.23 16:30,"1,763 회","1,797,136","36,707","10,576,452","3,753"
27,선독점 일인군단(一人軍團),"게임, 현대판타지",성진(成珍),2016.06.01 14:41,2023.06.21 20:00,349 회,"3,945,066","120,806","1,990,700","11,247"
28,선독점 역대급 먼치킨 소환사의 귀환,"게임, 판타지",인드리,2018.03.05 23:55,2019.04.01 18:00,205 회,"934,323","15,710","1,105,956","3,300"
29,선독점 환생으로 독존한다,"퓨전, 게임",오렌,2019.11.25 10:00,2020.07.24 09:00,240 회,"3,274,994","89,098","1,687,795","12,086"
30,선독점 게임 속 성자가 살아가는 법,"판타지, 게임",아보카도칩,2023.08.13 00:16,2024.05.11 11:50,196 회,"758,288","25,918","1,515,933","5,227"
31,선독점 시스템으로 방송천재,"현대판타지, 게임",킴호놀,2021.03.27 14:20,2021.10.17 13:20,212 회,"953,351","18,608","1,149,002","4,269"
32,지니 스카우터,"스포츠, 게임",미스터H,2015.08.24 21:05,2022.11.16 20:58,259 회,"4,379,714","162,561","2,233,543","7,422"
33,선독점 이스포츠 프로게이머,"게임, 스포츠",데코몽쉘,2019.04.13 21:23,2019.12.13 22:00,243 회,"931,098","26,018","1,418,825","2,835"
34,선독점 2회차는 서포터로 캐리합니다,"스포츠, 게임",소수깡,2023.01.04 07:30,2023.09.01 12:30,211 회,"1,459,550","38,374","1,506,516","6,506"
35,선독점 걸그룹 소설 아닌데요?,"게임, 현대판타지",행운요정,2020.12.12 00:26,2021.11.25 04:37,249 회,"2,730,727","101,110","1,699,318","10,983"
36,선독점 게임 투자로 역대급 재벌,"현대판타지, 게임",인랑人狼,2020.04.14 22:10,2021.05.21 21:00,271 회,"2,594,772","52,752","1,592,112","7,880"
37,선독점 AD. 2160년에 깨어났다,"SF, 게임",춘객,2021.03.02 14:00,2022.05.11 15:15,304 회,"2,398,153","58,986","1,928,018","7,837"
38,선독점 세상의 끝에서 클리어를 외치다,"게임, 판타지",첨G,2021.05.12 10:11,2023.09.28 20:41,529 회,"2,268,427","113,966","4,433,204","10,141"
39,선독점 테이밍마스터,"게임, 현대판타지",박태석,2015.12.05 16:55,2017.11.22 17:31,601 회,"7,025,063","230,322","3,476,769","11,882"
40,선독점 자고나니 세상이 게임으로 바뀌었다!,"현대판타지, 게임",basso77,2017.06.26 13:14,2018.05.25 14:06,302 회,"6,464,196","145,834","1,980,623","14,718"
41,마왕의 게임,"현대판타지, 게임",니콜로,2015.05.28 16:34,2017.08.18 18:59,575 회,"11,920,754","340,845","2,888,367","17,419"
42,디자이어(Desire),"퓨전, 게임",목마,2014.08.15 19:50,2017.06.24 04:36,636 회,"1,750,409","64,918","3,652,047","4,585"
43,오크지만 찬양해!,"게임, 현대판타지",이정민.,2017.02.06 18:59,2017.12.27 15:00,237 회,"1,428,903","60,654","1,580,852","4,262"
44,선독점 개혁황제가 멸망을 막아내는 법,"판타지, 게임",.로튼애플.,2023.05.18 20:18,2023.11.27 19:00,201 회,"814,629","22,363","1,093,471","3,751"
45,선독점 아카데미에서 쉴게요,"판타지, 게임",하동댁,2021.02.22 13:20,2021.11.12 17:00,264 회,"2,286,633","53,808","1,853,302","12,631"
46,야안.,"게임, 판타지",안형찬,2014.07.13 20:37,2017.03.19 14:50,385 회,"1,065,930","44,894","2,225,649","1,483"
47,선독점 종족 초월로 게임 최강!,"게임, 판타지",천달,2022.05.11 12:23,2023.01.09 07:00,187 회,"1,069,601","27,886","1,033,945","4,509"
48,선독점 99강 삼재검법,"무협, 게임",말말말,2022.08.27 01:48,2024.05.13 08:18,126 회,"996,069","22,346","693,980","3,772"
49,선독점 재능 최강 프로게이머,"게임, 스포츠",크라운.,2019.07.22 12:05,2020.04.03 18:00,251 회,"1,432,535","28,437","1,344,317","5,148"
50,선독점 시작부터 먼치킨,"게임, 현대판타지",고유성,2017.09.22 06:05,2018.02.13 18:44,120 회,"4,027,134","97,779","606,446","11,872"
51,선독점 신컨의 재림,"현대판타지, 게임",목마,2015.12.12 21:06,2016.11.15 05:56,353 회,"4,329,755","173,632","2,057,662","9,593"
52,선독점 신 테니스 황제,"스포츠, 게임",리켄스,2018.02.28 21:22,2018.08.01 22:10,191 회,"1,767,988","48,592","1,163,778","5,498"
53,선독점 솔플의 제왕,게임,디다트,2015.10.29 17:40,2016.04.28 04:51,193 회,"7,117,523","275,405","1,374,033","20,662"
54,선독점 맵핵으로 미궁 정복,"퓨전, 게임",듀러글,2019.02.03 09:30,2019.09.09 18:00,191 회,"1,797,079","50,521","1,155,972","6,430"
55,선독점 슬기로운 문명생활,"현대판타지, 게임",위래,2020.08.03 19:55,2021.12.25 23:55,333 회,"1,821,268","73,697","1,911,292","8,344"
56,선독점 무관의 제왕,"게임, 스포츠",모던위자드,2021.12.20 08:36,2022.12.22 12:00,269 회,"458,585","12,584","1,520,080","1,474"
57,선독점 회귀해서 게임한다,"게임, 현대판타지",박동수,2016.07.26 20:00,2017.07.17 16:12,246 회,"2,599,478","71,297","1,297,657","6,125"
58,선독점 회귀하여 무과금으로 S급 플레이,"현대판타지, 게임",더블킥,2019.03.04 20:30,2019.11.04 20:00,225 회,"1,976,673","48,582","1,215,301","7,246"
59,선독점 유적 포식자,"현대판타지, 게임",디다트,2015.06.27 17:12,2015.11.03 19:50,206 회,"6,499,644","199,410","1,381,688","18,266"
60,선독점 신전 짓는 뱀파이어,"판타지, 게임",박제후,2023.03.28 19:02,2024.01.02 23:27,200 회,"857,674","32,725","1,301,442","4,629"
61,선독점 내 싱크로율 999%,"게임, 현대판타지",재즈소울,2019.02.11 12:03,2019.07.12 19:06,152 회,"1,290,601","31,516","763,038","4,854"
62,선독점 AOS 소설 아닌데요?,"현대판타지, 게임",행운요정,2019.06.30 10:46,2020.08.26 13:35,173 회,"1,388,914","35,106","1,072,554","5,099"
63,선독점 역천의 발뭉,"게임, 퓨전",산호초,2016.11.01 08:00,2017.05.11 20:00,252 회,"2,682,861","104,328","1,567,296","8,968"
64,선독점 천재의 게임방송,"현대판타지, 게임",하이엔드,2019.04.13 11:37,2020.05.11 10:30,320 회,"11,272,255","311,251","1,929,194","32,756"
65,선독점 폐급 황금고블린으로 월클랭커,"게임, 판타지",취한작가님,2024.02.15 10:01,2024.06.25 00:00,280 회,"17,967",438,"1,568,063",120
66,선독점 내 스킬은 EX급 천공섬이다,"현대판타지, 게임",애모르,2023.02.13 16:16,2023.08.19 17:00,151 회,"611,177","12,331","861,513","3,285"
67,선독점 BJ는 종말에 적응했다,"게임, 판타지",왕모찌,2019.06.12 00:04,2020.03.20 12:00,224 회,"4,498,834","164,348","1,983,366","17,975"
68,선독점 한국인이 게임을 잘함,"게임, 현대판타지",글먹이,2021.01.24 20:00,2021.11.23 18:05,244 회,"2,062,744","48,168","1,337,915","8,656"
69,선독점 회귀자가 게임을 너무 잘함,"현대판타지, 게임",리백,2021.12.20 10:20,2023.01.06 19:00,200 회,"1,430,005","31,123","1,070,164","5,250"
70,"선독점 SSS급 랭커, 회귀하다","현대판타지, 게임",갈드,2017.11.15 18:00,2022.09.07 19:00,501 회,"2,578,641","57,574","2,746,987","7,331"
71,선독점 헬 난이도의 회귀자,"현대판타지, 게임",고호동,2020.02.04 13:58,2020.07.07 20:22,171 회,"1,653,955","32,110","941,944","4,291"
72,선독점 에이스 오브 에이스,"스포츠, 게임",한유림,2016.04.10 15:04,2016.10.25 19:37,248 회,"5,197,170","129,248","1,532,609","11,273"
73,선독점 삼황자가 되었다.,"게임, 판타지",잎새사이,2017.11.01 23:55,2019.06.27 06:00,134 회,"1,661,843","40,406","783,742","5,037"
74,선독점 다시 시작하는 헌터 : 암왕 강림,"현대판타지, 게임",양준석,2017.10.01 21:37,2018.07.20 08:19,111 회,"867,760","19,095","597,977","2,622"
75,선독점 재능복사 미드라이너는 프로게이머,"스포츠, 게임",최골드,2020.01.07 17:03,2020.07.27 18:37,187 회,"763,389","16,802","1,061,844","2,856"
76,선독점 멸망한 세계의 농부,"현대판타지, 게임",멍멍킴,2020.01.29 12:10,2020.08.20 15:18,206 회,"2,571,173","85,186","1,194,724","12,851"
77,선독점 탑신병자 프로게이머 되다.,"게임, 스포츠",러데,2019.07.04 19:04,2020.03.02 08:00,232 회,"3,507,866","72,033","1,610,094","10,719"
78,"선독점 싱글 플레이어, 멀티에서 TOP먹다","게임, 현대판타지",노마(駑馬),2019.02.23 19:04,2020.03.13 22:00,220 회,"1,295,660","29,658","1,248,388","5,122"
79,선독점 나 혼자 경험치 10배,"현대판타지, 게임",호종이,2019.02.26 08:28,2019.09.16 21:53,77 회,"2,025,085","52,208","346,566","7,402"
80,선독점 뭐? 내가 망캐라고?,"게임, 현대판타지",별박이연,2017.02.13 09:00,2017.08.13 23:51,127 회,"2,032,238","55,932","670,211","4,997"
81,선독점 멸망한 세계의 꿀벌,"현대판타지, 게임",신광호,2020.06.15 18:40,2021.02.16 13:25,208 회,"1,095,223","28,864","1,156,157","4,259"
82,"선독점 어나더 월드, 어나더 레벨","게임, 현대판타지",롭헬포드,2022.10.14 10:41,2023.05.17 18:00,200 회,"794,618","19,145","1,132,897","3,157"
83,Spectator,"퓨전, 게임",약먹은인삼,2010.12.07 12:17,2015.07.03 14:39,327 회,"6,920,593","84,286","1,860,517","8,454"
84,선독점 뭐든지 만드는 랭커 플레이어,게임,취력(取力),2019.02.18 21:00,2019.08.07 21:00,169 회,"520,076","9,903","791,492","1,679"
85,선독점 군단의 주인,"게임, 현대판타지",디파일러,2016.06.03 18:49,2016.09.20 01:53,101 회,"1,499,836","38,356","543,278","3,014"
86,선독점 아포칼립스 만능기계,"판타지, 게임",YB는YB해,2020.03.18 11:29,2020.10.16 12:20,256 회,"2,287,067","58,177","1,341,894","8,471"
87,선독점 재벌삼국지: 현질 과금전,"게임, 대체역사",별그림자,2018.01.21 01:14,2018.09.03 20:23,176 회,"1,632,517","43,819","966,545","4,444"
88,선독점 센터포워드,"스포츠, 게임",진문영,2016.01.14 17:30,2017.11.23 18:07,201 회,"1,618,669","37,970","1,230,904","3,110"
89,영혼의 대장장이.,"게임, 퓨전",더페이서,2014.11.13 11:34,2014.12.31 01:10,136 회,"293,958","10,068","760,703",680
90,선독점 해골왕,"퓨전, 게임",규야랑,2016.12.26 19:54,2018.03.07 00:42,251 회,"1,650,710","44,297","1,437,826","3,703"
91,선독점 아이템 흡수로 우주최강!,"판타지, 게임",테리빈스,2022.11.01 00:01,2023.05.16 16:17,175 회,"1,551,538","44,243","915,084","6,500"
92,노르드 월드에서 힐러로 살아가고 있습니다,"판타지, 게임",은차우,2022.01.25 11:29,2022.11.26 06:00,444 회,"38,765","1,267","2,695,730",264
93,레전드 [이형석 작가-판타지 소설],"게임, 판타지",이형석,2022.10.13 13:40,2022.10.18 17:59,228 회,"5,155",11,"1,222,975",28
94,선독점 무한의창조사,"현대판타지, 게임",오렌,2015.06.26 17:59,2015.08.25 13:56,194 회,"483,508","13,494","1,061,343",845
95,SSS급 블러드 헌터!,"판타지, 게임",백범(白帆),2023.12.01 14:44,2023.12.01 16:46,200 회,"5,637",57,"980,318",48
96,선독점 아이템 효과 999배,"현대판타지, 게임",워스티드,2018.10.08 16:24,2019.05.29 15:00,174 회,"1,980,322","44,051","957,149","7,229"
97,선독점 평생운 강화에 쓰다,"게임, 현대판타지",유주,2016.10.03 07:05,2017.04.06 21:24,199 회,"3,051,008","93,204","1,228,574","8,244"
98,선독점 무한 과금으로 역대급 게임방송,"판타지, 게임",소망.,2022.11.01 00:45,2023.07.13 22:00,200 회,"2,058,246","50,409","1,082,288","9,592"
99,영 웅,"판타지, 게임",정용주,2015.11.06 10:27,2016.01.19 08:00,125 회,"36,456",728,"660,796",153
