,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
1,선독점 테니스 코트 위의 절대자,"스포츠, 일반소설",김군0619,2023.07.13 20:26,2024.06.25 12:05,352 회,"1,263,054","52,526","2,802,088","4,894"
2,선독점 회사 잘린 김에 음악천재 합니다,"현대판타지, 일반소설",먹고땡,2024.03.21 15:59,2024.06.25 12:00,86 회,"898,695","19,033","517,930","5,154"
3,바람과 별무리,"일반소설, 퓨전",whitebean,2013.04.28 13:37,2024.06.24 21:24,"2,985 회","2,577,847","225,497","24,109,750","3,913"
4,선독점 ONE GAME,"스포츠, 일반소설",김군0619,2017.03.02 23:50,2019.09.27 06:00,"1,299 회","5,346,613","210,503","13,026,188","4,883"
5,선독점 돈 버는 스케일이 계속 커져!,"현대판타지, 일반소설",서인하,2017.10.30 20:04,2018.05.04 20:29,175 회,"2,053,801","48,311","1,034,790","6,374"
6,선독점 미라클 마이 라이프,"현대판타지, 일반소설",잔영JY,2018.06.30 11:05,2019.02.21 09:00,164 회,"5,111,759","90,739","1,035,055","13,362"
7,선독점 재벌집으로 회귀한 천재 흙수저,"현대판타지, 일반소설",깔록(TLT),2022.12.26 16:56,2023.10.02 17:20,256 회,"1,872,035","33,497","1,375,719","5,337"
8,선독점 화룡 [畵龍],"현대판타지, 일반소설",경우勁雨,2019.02.10 18:33,2019.09.28 12:15,343 회,"3,264,034","101,021","1,921,486","8,957"
9,선독점 천재의 음악방송,"현대판타지, 일반소설",강선우,2019.07.02 09:00,2022.06.16 18:00,"1,070 회","7,245,634","153,319","6,126,447","14,418"
10,선독점 로또 1등 재벌 정벌기,"현대판타지, 일반소설",오정,2019.10.30 17:36,2022.07.26 17:59,212 회,"1,806,508","39,218","1,283,025","7,003"
11,선독점 인당리 퀘스트,일반소설,불량집사,2017.12.30 10:57,2018.07.01 16:32,227 회,"1,104,542","42,304","1,280,108","4,222"
12,선독점 아니요. 떡볶이집 할 건데요,"현대판타지, 일반소설",fides,2023.05.15 17:45,2024.05.04 21:00,325 회,"1,092,869","30,041","1,746,989","3,532"
13,선독점 내 친구 석호.,"현대판타지, 일반소설",김상준.,2015.04.08 02:10,2018.04.07 01:24,395 회,"1,259,556","37,728","2,449,578","2,557"
14,선독점 블랙모닝,"현대판타지, 일반소설",KarlLee,2021.02.20 15:59,2021.10.21 10:00,172 회,"361,826","9,672","1,022,794","1,975"
15,선독점 세컨드 마이 라이프,"현대판타지, 일반소설",마루이든,2017.06.26 12:35,2017.12.13 23:00,178 회,"1,509,360","32,805","1,034,458","4,203"
16,선독점 9이닝 : 야구의 찬가,"스포츠, 일반소설",김군0619,2019.05.15 11:17,2020.10.22 07:00,554 회,"1,152,016","45,448","4,894,175","3,153"
17,전투왕,"전쟁·밀리터리, 일반소설",버저비터,2015.09.19 12:30,2016.01.04 14:09,155 회,"201,537","5,410","862,473",584
18,선독점 알고보니 천재작가,"현대판타지, 일반소설",강선우,2019.04.01 21:52,2019.10.20 08:17,200 회,"3,687,864","96,757","1,093,199","9,777"
19,선독점 A.I.미스고,"현대판타지, 일반소설",장성필,2015.05.08 20:17,2016.01.29 07:49,225 회,"923,997","27,244","1,215,037","1,908"
20,선독점 C급 헌터입니다만?,"현대판타지, 일반소설",현연,2017.02.23 14:02,2017.06.16 18:18,104 회,"1,911,217","51,157","549,564","4,606"
21,선독점 피울음,"현대판타지, 일반소설",KarlLee,2023.05.10 10:11,2023.09.20 10:00,148 회,"163,543","7,149","868,723",894
