,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
1,선독점 회귀수선전(回歸修仙傳),"무협, 퓨전",엄청난,2023.01.18 16:39,2024.06.24 19:00,513 회,"12,822,626","533,449","4,473,049","42,883"
2,선독점 회귀자 생활백서(回歸者 生活白書),"무협, 판타지",넉울히,2024.02.21 04:15,2024.06.24 18:00,158 회,"2,895,980","81,364","1,170,116","16,294"
3,선독점 당문전,무협,제이허빈,2023.04.05 00:22,2024.06.25 15:00,437 회,"4,128,923","209,955","2,997,770","17,195"
4,선독점 파브르 in 사천당가,"무협, 퓨전",에르훗,2023.09.13 23:59,2024.06.25 11:20,271 회,"3,388,213","112,081","1,675,424","21,681"
5,선독점 개뿔도 없는 무림환생,무협,키나아빠,2022.09.15 22:10,2023.10.24 08:10,383 회,"2,903,962","77,651","2,117,515","10,879"
6,선독점 당가암룡,무협,처량한날,2023.01.01 21:00,2023.08.23 21:00,195 회,"2,898,779","99,069","1,095,294","12,116"
7,선독점 짜장 한 그릇에 제갈세가 데릴사위,"무협, 퓨전",에르훗,2022.07.13 14:37,2024.06.25 11:20,689 회,"5,755,779","205,586","4,191,290","22,931"
8,선독점 미친 의원 무공을 되찾다,무협,[도비],2022.09.05 21:00,2023.11.10 18:09,288 회,"1,626,687","39,615","1,664,591","5,477"
9,선독점 시한부 천재가 살아남는 법,"무협, 퓨전",청시소,2020.09.28 21:03,2024.06.24 20:00,726 회,"11,260,068","454,973","4,693,253","31,047"
10,선독점 무림 속 외노자가 되었다,"무협, 퓨전",함초소금,2021.02.15 18:30,2024.06.13 08:10,757 회,"5,592,634","213,542","5,874,674","19,057"
11,선독점 혈귀무쌍,"무협, 판타지",강민성,2023.08.23 22:50,2024.06.25 07:20,310 회,"2,307,534","58,215","2,271,755","10,281"
12,선독점 격랑을 누르는 검,무협,백연™,2024.02.03 09:43,2024.06.25 08:00,131 회,"1,423,635","47,628","706,267","7,732"
13,선독점 검귀는 살생부를 본다.,무협,데거스,2022.12.27 12:20,2023.05.18 22:20,154 회,"792,089","20,184","908,739","2,625"
14,선독점 역천무림,무협,라바테라,2024.03.22 18:36,2024.06.24 21:50,97 회,"1,119,645","26,151","579,712","5,576"
15,선독점 게임 속 신선으로 살아남기,"무협, 판타지",미속,2023.08.15 14:15,2024.06.25 11:10,307 회,"1,332,807","42,867","1,929,639","6,482"
16,선독점 괴력 난신(怪力 亂神),"무협, 판타지",한중월야,2021.05.12 10:11,2023.07.25 19:00,527 회,"4,336,710","133,133","3,498,594","15,961"
17,선독점 대환장 경렴 선협전,무협,탁목조,2023.08.29 08:39,2024.06.24 23:05,313 회,"980,572","31,341","2,058,077","3,038"
18,선독점 무신들의 단톡방에 초대되었다,"무협, 퓨전",엉끼,2023.11.21 10:30,2024.06.25 17:00,155 회,"1,675,941","36,989","1,324,543","8,850"
19,선독점 귀농한 천재 황족은 혈통을 숨김,"퓨전, 무협",어로달,2024.01.02 13:40,2024.06.24 23:00,151 회,"1,075,695","28,529","771,877","4,671"
20,선독점 어떤 무인의 초전자포,"무협, 퓨전",신시우,2023.08.15 20:00,2024.06.25 12:00,263 회,"1,607,045","33,944","1,817,658","5,661"
21,선독점 우주천마 3077,"무협, SF",녹색여우,2020.05.11 12:32,2024.04.07 23:56,349 회,"3,984,528","153,960","2,143,888","21,070"
22,선독점 검마회귀록,"무협, 퓨전",정석연재,2024.03.12 03:08,2024.06.24 23:12,79 회,"659,253","13,036","475,500","2,426"
23,선독점 절대 검감(絶對 劍感),"무협, 판타지",한중월야,2019.04.01 10:02,2020.05.12 09:25,356 회,"15,500,739","465,525","2,489,003","41,469"
24,선독점 사천당가 침술명의가 되었다,"무협, 판타지",주문향,2024.01.15 23:06,2024.06.24 20:00,166 회,"1,501,498","39,133","1,037,641","6,531"
25,선독점 사천당가로 회귀한 천재독마,"무협, 판타지",무향(武香),2023.05.10 10:08,2024.01.11 19:20,200 회,"1,299,476","32,465","1,064,262","5,573"
26,선독점 무림서부,"무협, 판타지",컵라면.,2020.11.16 19:00,2022.01.17 20:11,272 회,"6,167,691","308,333","1,899,312","25,481"
27,선독점 무림 속 공무원으로 살아가는 법,"무협, 퓨전",글쓰는기계,2023.02.06 17:22,2023.11.24 18:02,229 회,"4,913,400","237,525","1,354,139","22,920"
28,선독점 나는 혈마다,"무협, 판타지",중산박,2024.02.02 16:41,2024.06.24 22:50,145 회,"559,162","11,340","840,382","1,730"
