,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
1,선독점 무신연의 : 여포가 효도를 잘함,"퓨전, 대체역사",별꽃라떼,2024.05.08 11:55,2024.06.24 18:00,71 회,"2,972,687","119,829","644,663","26,508"
2,선독점 1588 샤인머스캣으로 귀농 왔더니 신대륙,"대체역사, 퓨전",간다왼쪽,2024.05.08 16:32,2024.06.24 19:00,68 회,"1,875,525","89,091","485,727","16,913"
3,선독점 화약고 제국의 천재 대공,"대체역사, 판타지",시작의바다,2023.05.10 19:30,2024.06.24 19:30,325 회,"4,775,336","170,478","2,206,824","15,933"
4,선독점 블랙기업조선,"대체역사, 퓨전",국뽕,2019.12.04 17:00,2024.06.24 17:00,"1,207 회","33,266,352","902,275","6,661,192","41,390"
5,선독점 조선에는 쿠데타가 필요해요,"대체역사, 전쟁·밀리터리",앙금고라니,2023.06.26 18:20,2024.06.25 10:00,550 회,"1,551,438","85,347","3,323,233","5,375"
6,선독점 탐관오리가 상태창을 숨김,"대체역사, 퓨전",코락스,2023.07.03 18:00,2024.06.24 18:00,286 회,"3,141,896","165,249","2,549,701","14,714"
7,선독점 재벌집 천재 아들,"현대판타지, 대체역사",신유(愼惟),2022.11.24 10:48,2023.05.19 11:00,317 회,"3,058,225","64,801","1,746,495","8,069"
8,선독점 1970 중정 요원은 핵이 필요합니다,"대체역사, 판타지",정사부,2024.03.27 17:31,2024.06.25 12:00,95 회,"499,727","13,882","503,084","3,306"
9,선독점 메디치 가문의 사생아가 너무 유능함,"대체역사, 현대판타지",르클레르,2024.04.02 21:58,2024.06.24 23:27,99 회,"836,183","25,444","552,275","5,925"
10,선독점 재벌 3세의 홀로서기,"현대판타지, 대체역사",새가람,2023.01.01 10:20,2023.07.31 11:00,264 회,"3,843,317","79,045","1,418,850","12,357"
11,선독점 충무공의 아들이 되었다,"대체역사, 전쟁·밀리터리",보헤미아.,2023.11.06 18:30,2024.06.24 19:00,169 회,"1,556,389","59,331","902,073","7,874"
12,선독점 삼국지 : 내가 영웅의 그릇인가.,"대체역사, 퓨전",엠보돌,2023.12.04 17:00,2024.06.25 09:45,171 회,"1,302,369","46,383","993,321","6,839"
13,선독점 조선왕자가 미국갔다 안 돌아옴,"대체역사, 퓨전",누텔라.,2022.05.21 22:19,2024.06.24 19:05,547 회,"3,339,610","126,778","3,568,189","10,089"
14,"선독점 을미년, 민비 대신 고종이 죽었다",대체역사,이그드라시,2024.02.23 13:05,2024.06.25 10:09,96 회,"484,699","23,847","608,822","3,637"
15,선독점 명군이 되어보세!,"대체역사, 전쟁·밀리터리",슈타인호프,2017.07.01 07:14,2024.06.25 07:45,"2,157 회","12,892,237","439,641","15,566,062","12,647"
16,선독점 내 조선에 세종은 없다,"대체역사, 퓨전",핏콩,2022.10.03 08:00,2024.06.24 20:00,465 회,"4,390,372","180,923","2,567,976","13,183"
17,선독점 대영제국에서 작가로 살아남기,"대체역사, 퓨전",고스름도치,2023.05.10 18:01,2024.06.24 18:00,313 회,"2,836,952","129,049","1,774,119","12,993"
18,선독점 동로마 황녀가 내 아이를 임신하셨다,대체역사,열이틀,2024.02.14 20:23,2024.06.24 20:20,131 회,"1,110,445","55,511","951,096","8,787"
19,선독점 미국 재벌3세는 천재였다,"현대판타지, 대체역사",글라탕,2023.12.04 17:50,2024.06.12 20:20,285 회,"2,317,890","74,258","1,841,712","10,713"
20,선독점 사도세자는 편하게 살고 싶다,대체역사,까다롭스키,2024.02.02 16:37,2024.06.24 19:00,112 회,"793,701","44,057","1,410,587","6,894"
21,선독점 신화 속 양치기 노예가 되었다.,"판타지, 대체역사",간다왼쪽,2022.10.20 18:30,2024.02.16 18:00,521 회,"2,326,818","169,894","3,683,317","10,089"
22,선독점 역천의 대한민국!,"대체역사, 전쟁·밀리터리",강바기,2023.02.20 17:53,2024.06.24 19:00,359 회,"2,782,595","76,321","1,961,352","9,278"
23,선독점 카이저가 칼들고 협박함,"대체역사, 전쟁·밀리터리",I알자스I,2023.05.18 18:15,2024.06.24 18:00,333 회,"1,305,020","46,347","1,933,128","4,394"
24,선독점 대한제국이 이미 너무 강함,"대체역사, 전쟁·밀리터리",어겐어겐,2022.09.21 12:10,2023.08.22 18:00,304 회,"2,229,640","46,500","1,895,431","8,046"
25,선독점 칭찬스티커 받는 단종,"대체역사, 드라마",문환,2023.10.24 07:33,2024.06.25 00:31,184 회,"1,276,307","63,766","1,332,367","7,511"
26,선독점 악덕 군주 연산!,대체역사,흑곰작가,2022.08.21 07:00,2023.01.31 14:57,251 회,"2,596,844","59,966","1,287,453","8,025"
27,선독점 1979 김부장이 독재를 계승 중입니다!,"현대판타지, 대체역사",아아연하게,2023.12.28 23:49,2024.06.24 20:00,174 회,"1,412,505","31,918","982,465","5,453"
28,선독점 몽골조선의 천재 데릴사위가 되었다,"대체역사, 퓨전",기신,2023.09.11 16:41,2024.06.24 22:00,158 회,"1,044,807","27,760","1,415,091","5,512"
