,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
1,선독점 북부 전선의 고인물,"판타지, 전쟁·밀리터리",데거스,2024.05.08 13:33,2024.06.25 12:20,66 회,"1,605,608","37,185","413,035","10,636"
2,선독점 조선에는 쿠데타가 필요해요,"대체역사, 전쟁·밀리터리",앙금고라니,2023.06.26 18:20,2024.06.25 10:00,550 회,"1,551,454","85,347","3,323,233","5,375"
3,선독점 충무공의 아들이 되었다,"대체역사, 전쟁·밀리터리",보헤미아.,2023.11.06 18:30,2024.06.24 19:00,169 회,"1,556,391","59,331","902,073","7,874"
4,선독점 명군이 되어보세!,"대체역사, 전쟁·밀리터리",슈타인호프,2017.07.01 07:14,2024.06.25 07:45,"2,157 회","12,892,245","439,641","15,566,062","12,647"
5,선독점 역천의 대한민국!,"대체역사, 전쟁·밀리터리",강바기,2023.02.20 17:53,2024.06.24 19:00,359 회,"2,782,601","76,321","1,961,352","9,278"
6,선독점 카이저가 칼들고 협박함,"대체역사, 전쟁·밀리터리",I알자스I,2023.05.18 18:15,2024.06.24 18:00,333 회,"1,305,021","46,347","1,933,128","4,394"
7,선독점 대한제국이 이미 너무 강함,"대체역사, 전쟁·밀리터리",어겐어겐,2022.09.21 12:10,2023.08.22 18:00,304 회,"2,229,640","46,500","1,895,431","8,046"
8,선독점 재벌 스탈린은 공산당이 싫어요!,"대체역사, 전쟁·밀리터리",염왕,2023.10.25 20:39,2024.06.24 19:05,170 회,"711,305","32,717","1,308,044","3,766"
9,선독점 1592 모두가 꿈꾼 제국,"대체역사, 전쟁·밀리터리",저스티츠,2022.12.23 14:59,2024.06.25 15:00,404 회,"1,095,849","50,372","2,418,234","4,091"
10,선독점 초전도체로 세계재벌,"현대판타지, 전쟁·밀리터리",종이노트,2023.08.03 16:40,2024.04.12 17:00,250 회,"1,787,047","39,749","1,438,198","6,446"
11,선독점 재벌에서 광복군까지,"대체역사, 전쟁·밀리터리",빛나는구름,2023.05.10 11:42,2024.06.25 11:00,423 회,"497,571","13,525","2,415,441","1,740"
12,선독점 망명정부의 각하가 되었다,"대체역사, 전쟁·밀리터리",겸업작가,2024.01.11 12:16,2024.06.25 14:05,177 회,"605,640","13,626","979,340","2,046"
13,선독점 인생 2회차 철종의 슬기로운 정복생활,"대체역사, 전쟁·밀리터리",MOOHA,2023.12.15 22:30,2024.06.24 23:00,187 회,"687,929","17,152","1,199,740","2,430"
14,선독점 매국노의 원수 자식,"대체역사, 전쟁·밀리터리",슈가트,2021.06.01 19:51,2024.06.24 20:00,824 회,"3,026,358","107,970","4,598,646","7,569"
15,선독점 카이저를 구했다,"대체역사, 전쟁·밀리터리",레니비,2022.11.01 17:00,2024.06.05 17:00,500 회,"2,202,296","82,238","3,061,265","6,479"
16,"선독점 나, 이승만이 되었다!","대체역사, 전쟁·밀리터리",와우리을리,2024.03.18 10:00,2024.06.25 12:20,104 회,"163,334","6,506","735,631","1,135"
17,선독점 문종이 화폐를 거부함,"대체역사, 전쟁·밀리터리",홍삼절편,2023.11.21 18:50,2024.06.24 18:50,207 회,"538,434","17,998","1,151,039","3,253"
18,"선독점 삼국지, 동탁을 죽였다","대체역사, 전쟁·밀리터리",날여우,2024.02.12 10:52,2024.06.24 19:40,139 회,"408,091","11,241","833,429","1,987"
19,선독점 주인공이 미래를 안 숨김,"대체역사, 전쟁·밀리터리",손영석,2024.01.15 16:37,2024.06.21 19:00,154 회,"328,462","9,911","871,621","1,594"
20,선독점 선조의 머릿속이 꽃밭이다,"대체역사, 전쟁·밀리터리",드림판다,2023.12.28 16:21,2024.06.25 17:00,199 회,"580,572","17,339","1,296,835","2,885"
21,선독점 트리플 플레이 그렉리,"전쟁·밀리터리, 현대판타지",위선호,2023.10.16 18:00,2024.06.24 18:00,227 회,"168,697","11,507","1,407,091","1,241"
22,선독점 히틀러가 되었다,"대체역사, 전쟁·밀리터리",종이호랑이™,2022.12.30 17:10,2024.04.15 17:10,366 회,"2,635,222","104,398","2,600,402","7,892"
23,선독점 대원군의 비선 실세,"대체역사, 전쟁·밀리터리",그너머,2023.11.17 18:05,2024.06.24 18:05,161 회,"379,176","12,341","893,557","1,985"
24,선독점 대영제국의 숨은 거물이 되었다,"대체역사, 전쟁·밀리터리",폭식마왕,2023.03.15 17:00,2024.03.26 20:01,538 회,"3,282,772","144,570","3,478,895","11,962"
25,선독점 고려황제! 무신정변을 막아라!,"대체역사, 전쟁·밀리터리",차돌박E,2023.11.11 13:56,2024.06.25 15:38,186 회,"291,516","16,635","1,565,386","2,004"
26,선독점 죽지 않는 왕 - 무왕 단종,"대체역사, 전쟁·밀리터리",코락스,2020.02.17 09:00,2022.11.15 22:00,505 회,"3,898,596","130,021","4,367,603","10,016"
27,선독점 임진왜란으로 조선을 바꾸다,"대체역사, 전쟁·밀리터리",선우선사,2023.12.09 12:00,2024.06.24 18:00,191 회,"244,423","6,591","1,080,531",987
28,선독점 이세계 흙수저 선원으로 살아남기,"판타지, 전쟁·밀리터리",필부지용,2021.06.06 19:27,2024.05.17 18:25,571 회,"1,152,001","36,197","3,904,947","3,582"
29,선독점 9전단 1941,"대체역사, 전쟁·밀리터리",국뽕,2017.10.26 07:05,2019.06.18 17:05,464 회,"6,322,233","119,982","2,666,034","7,982"
30,선독점 대한제국의 총통이 되기로 했다,"대체역사, 전쟁·밀리터리",침략자,2023.06.20 19:20,2024.06.22 22:00,170 회,"590,667","15,416","851,261","2,477"
31,"선독점 1941, 작전명:열도 침몰","대체역사, 전쟁·밀리터리",선우선사,2023.03.08 17:42,2024.04.26 06:05,351 회,"1,099,705","27,873","2,036,167","3,088"
32,선독점 용병이 된 킬러,"현대판타지, 전쟁·밀리터리",시크릿K,2024.01.07 03:08,2024.06.24 21:10,162 회,"285,466","5,655","835,404","1,043"
33,선독점 조선제국의 밀덕황제,"대체역사, 전쟁·밀리터리",타노스,2022.03.24 22:00,2024.06.17 22:25,488 회,"1,601,314","28,240","2,966,839","3,797"
34,선독점 프랑스 해군제독이 되었다,"대체역사, 전쟁·밀리터리",I알자스I,2021.03.18 13:28,2023.03.03 16:00,527 회,"1,758,939","48,789","3,110,343","4,328"
35,선독점 조선인 마왕의 탈아입구,"대체역사, 전쟁·밀리터리",필성필성필,2023.05.15 08:53,2024.06.21 18:00,397 회,"288,831","6,425","2,955,282","1,036"
36,선독점 프랑스에 전역 따윈 없다,"대체역사, 전쟁·밀리터리",쿤타세계관,2023.02.13 11:43,2024.02.29 18:00,306 회,"1,801,084","68,450","1,845,952","7,150"
37,선독점 미래에서 온 스마트워치,"현대판타지, 전쟁·밀리터리",영협,2023.05.10 10:08,2024.01.15 19:30,200 회,"655,985","14,536","1,195,194","2,443"
38,선독점 사관이 항해를 너무 잘함,"대체역사, 전쟁·밀리터리",손영석,2022.12.26 12:20,2023.12.15 18:00,331 회,"1,666,439","58,465","2,001,309","6,673"
39,"선독점 나, 원균이 되었다?!","대체역사, 전쟁·밀리터리",와우리을리,2022.09.15 21:26,2024.01.31 19:00,283 회,"1,226,361","39,260","1,989,079","4,538"
40,선독점 1941 타임슬립 대전략,"전쟁·밀리터리, 대체역사",knoxk,2021.06.11 22:41,2022.10.01 19:00,402 회,"1,269,097","23,247","2,346,799","2,946"
41,선독점 고종의 그레이트 게임,"대체역사, 전쟁·밀리터리",조동신,2024.01.15 01:33,2024.06.24 18:00,160 회,"158,119","3,433","809,601",911
42,선독점 21세기 고구려,"전쟁·밀리터리, SF",홍마루,2016.05.31 22:46,2019.09.22 05:46,614 회,"2,572,786","53,804","3,507,229","3,689"
43,선독점 동방의 라스푸틴,"대체역사, 전쟁·밀리터리",TheTempes,2021.05.22 10:59,2022.05.08 20:00,400 회,"5,095,516","167,188","2,148,907","14,149"
44,선독점 마지막 바이킹,"대체역사, 전쟁·밀리터리",까다롭스키,2023.01.01 00:57,2023.12.26 19:00,280 회,"498,381","48,615","3,203,824","4,452"
45,선독점 조선 출신 중국 대군벌,"대체역사, 전쟁·밀리터리",결욕,2022.12.21 07:50,2024.06.17 12:15,535 회,"1,441,745","60,265","3,468,870","5,483"
46,선독점 위탁요원 위신호,"전쟁·밀리터리, 퓨전",위선호,2018.08.29 07:00,2020.05.08 09:37,560 회,"2,465,015","92,550","3,472,324","6,934"
47,선독점 오스만제국 군인으로 살아남기,"대체역사, 전쟁·밀리터리",라가불린,2022.11.01 22:00,2023.08.16 22:06,218 회,"882,185","34,719","1,220,722","4,311"
48,선독점 내 독일에 나치는 필요없다,"대체역사, 전쟁·밀리터리",카르카손,2019.12.23 23:29,2020.12.19 22:00,302 회,"5,275,047","181,970","2,114,077","14,765"
49,선독점 몽골에서 유럽까지,"대체역사, 전쟁·밀리터리",Cheezy,2019.09.02 15:06,2020.12.11 18:00,372 회,"1,863,799","62,088","2,122,490","5,462"
50,선독점 우리 회장님은 황제 폐하!,"대체역사, 전쟁·밀리터리",콘디야오,2023.05.10 11:53,2024.03.22 17:22,300 회,"477,767","11,194","1,853,346",833
51,선독점 눈 떠 보니 전장 한복판,"퓨전, 전쟁·밀리터리",안재인,2022.04.09 20:05,2023.03.02 21:00,257 회,"2,756,659","83,220","1,427,703","11,168"
52,"선독점 나, 스탈린이 되었다?!","대체역사, 전쟁·밀리터리",세상밖으로,2019.06.20 14:32,2019.12.25 20:00,300 회,"2,496,478","74,491","1,705,901","5,609"
53,선독점 연산군 이융,"대체역사, 전쟁·밀리터리",서백호,2023.05.10 18:01,2024.02.21 19:00,251 회,"514,379","11,310","1,613,388","1,366"
54,선독점 2차대전 벨기에는 중립을 하지 않는다,"대체역사, 전쟁·밀리터리",이츠키스,2021.07.29 10:00,2022.04.07 16:00,243 회,"845,422","28,173","1,408,509","3,563"
55,선독점 우리는 세종의 노예가 되지 않는다!,"대체역사, 전쟁·밀리터리",백린(白麟),2021.10.11 18:00,2022.09.09 18:00,305 회,"2,592,617","79,748","1,782,364","9,175"
56,선독점 십자군의 왕이 되었다,"대체역사, 전쟁·밀리터리",민초냥이,2022.12.01 10:21,2023.08.25 17:00,216 회,"761,380","30,847","1,202,555","4,604"
57,선독점 조선의 독재자가 되었다,"대체역사, 전쟁·밀리터리",렛츠비,2023.05.10 10:48,2024.02.07 23:49,206 회,"839,115","21,543","1,165,413","3,550"
58,선독점 전투력 만렙 종군기자 K,"현대판타지, 전쟁·밀리터리",김민수™,2021.10.17 04:27,2023.04.04 11:51,213 회,"810,848","21,361","1,260,790","3,449"
59,선독점 효명세자와 함께하는 조선 생활,"대체역사, 전쟁·밀리터리",차돌박E,2022.02.22 14:00,2023.09.11 13:00,401 회,"1,293,926","59,210","3,265,433","4,344"
60,선독점 조선기갑대전(朝鮮 機甲大戰),"대체역사, 전쟁·밀리터리",풍아저씨,2016.08.25 18:12,2018.01.30 19:30,181 회,"1,219,754","30,290","1,113,483","3,988"
61,선독점 용병대장과 성녀,"대체역사, 전쟁·밀리터리",TheTempes,2020.07.21 16:27,2021.10.29 14:00,334 회,"1,642,644","68,519","1,737,199","6,287"
62,선독점 나폴레옹 in 1812,"대체역사, 전쟁·밀리터리",아이시루스,2020.03.29 23:31,2023.10.13 04:52,170 회,"601,483","20,496","1,056,882","2,288"
63,선독점 역사 속 무기상이 되었다,"대체역사, 전쟁·밀리터리",쿤타세계관,2021.07.01 15:40,2022.05.07 17:00,256 회,"2,001,569","50,112","1,461,318","7,762"
64,선독점 세계대전 참전군인으로 살아남기,"대체역사, 전쟁·밀리터리",치오.,2023.05.15 19:00,2024.01.17 21:00,208 회,"691,227","23,050","1,269,737","3,314"
65,선독점 전쟁영웅이 고향영지로 귀환하는 이야기,"판타지, 전쟁·밀리터리",저스티츠,2021.12.20 00:56,2022.09.12 15:00,203 회,"755,565","18,276","1,206,900","2,688"
66,선독점 높은 하늘의 한국인,"대체역사, 전쟁·밀리터리",겨울까마귀,2020.06.22 00:16,2021.12.02 17:29,373 회,"5,193,773","138,419","2,312,572","10,899"
67,선독점 만호에서 황제까지,"대체역사, 전쟁·밀리터리",암여파더,2023.05.10 22:41,2024.02.27 22:13,300 회,"813,317","26,997","2,060,302","3,264"
68,선독점 조선의 광해가 되었다,"대체역사, 전쟁·밀리터리",MOOHA,2023.05.10 10:30,2023.10.22 09:00,201 회,"668,515","14,380","1,197,287","1,781"
69,선독점 남부 천조국이 양키를 꺾음,"대체역사, 전쟁·밀리터리",[서평],2023.09.01 17:51,2024.05.07 19:20,222 회,"410,692","11,112","1,161,301","1,808"
70,선독점 트립한국 1913,"대체역사, 전쟁·밀리터리",라세이어,2023.11.01 12:00,2024.03.13 18:00,126 회,"908,922","32,316","740,148","4,548"
71,선독점 둠스데이 프로토콜 : 최후의 날 행동수칙,"현대판타지, 전쟁·밀리터리",크리팍,2023.05.10 19:01,2024.02.06 08:20,220 회,"469,190","9,840","1,234,386","1,602"
72,선독점 원균으로 살아남기,"대체역사, 전쟁·밀리터리",트럭운전사,2023.05.10 10:06,2023.09.23 15:34,119 회,"189,173","6,062","647,696",861
73,선독점 감자세자와 뒤주대왕,"대체역사, 전쟁·밀리터리",라세이어,2022.04.01 00:18,2023.09.13 18:00,267 회,"294,993","15,108","1,639,743","1,707"
74,선독점 조선반도는 두 번째로 불탄다,전쟁·밀리터리,박네모,2022.01.24 12:00,2023.02.12 12:00,287 회,"470,570","19,365","1,702,694","1,921"
