,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
1,선독점 전직 요원이 종말에 대처하는 자세,"현대판타지, 공포·미스테리",미스터쿼카,2023.07.25 21:00,2024.06.24 21:00,127 회,"1,604,491","50,070","763,209","10,341"
2,선독점 귀신들린 아파트의 주인이 되었다,"현대판타지, 공포·미스테리",제스키위,2023.05.10 11:29,2024.04.11 12:00,216 회,"412,464","24,161","1,237,709","3,184"
3,선독점 강남 퇴마사,"현대판타지, 공포·미스테리",서인하,2019.02.23 23:24,2019.06.29 22:41,175 회,"1,634,398","64,791","1,105,173","7,861"
4,선독점 완전범죄 그레이색,"현대판타지, 공포·미스테리",위선호,2021.12.20 20:01,2022.12.23 18:00,300 회,"280,829","13,863","1,655,018","1,465"
5,선독점 공포 쯔꾸르 생존기,"현대판타지, 공포·미스테리",파급효과,2023.05.11 00:11,2024.01.04 20:51,202 회,"480,040","32,169","1,126,716","5,030"
6,선독점 지옥과 인간의 대결 (Man vs. Hell),"현대판타지, 공포·미스테리",백수귀족.,2018.07.25 23:40,2021.07.11 20:35,184 회,"2,086,107","94,146","1,097,327","10,807"
7,코리안 데드워킹,"현대판타지, 공포·미스테리",zaksalking,2013.12.07 19:09,2014.12.19 09:00,283 회,"535,636","20,033","1,457,606","1,153"
8,선독점 완전범죄 20세기,"추리, 공포·미스테리",위선호,2020.06.15 07:00,2021.03.29 07:00,300 회,"428,034","18,859","1,691,426","2,461"
9,선독점 지하벙커 신드롬,"현대판타지, 공포·미스테리",하얀색고래,2020.07.06 23:44,2020.12.02 19:00,118 회,"453,957","18,598","654,585","3,846"
10,선독점 아포칼립스의 상속자,"현대판타지, 공포·미스테리",미스터쿼카,2022.05.19 22:00,2023.01.06 21:00,180 회,"1,492,430","57,143","1,014,505","7,558"
11,선독점 아주 오래된 이야기,"판타지, 공포·미스테리",레고밟았어,2023.04.14 23:23,2024.05.15 23:23,261 회,"29,720",406,"3,829,444",220
12,선독점 공포흉가 비제이,"현대판타지, 공포·미스테리",심령(心靈),2019.08.27 09:41,2023.07.15 18:05,788 회,"1,029,702","36,423","4,150,164","6,299"
13,선독점 멸망한 서울의 괴물 사냥꾼,"판타지, 공포·미스테리",조경해,2020.04.06 21:05,2022.03.01 20:00,136 회,"521,461","18,648","778,781","3,048"
14,선독점 헥센야크트Hexenjagd,"판타지, 공포·미스테리",냐메,2020.12.17 05:09,2022.10.20 14:00,218 회,"409,099","23,423","1,462,965","5,235"
15,선독점 나는 아직 살아있다.,"판타지, 공포·미스테리",미스터쿼카,2017.07.02 21:57,2019.01.04 21:01,315 회,"2,417,989","98,867","2,045,552","9,045"
