,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
1,선독점 하남자의 탑 공략법,"현대판타지, 퓨전",꾸찌꾸찌,2024.02.12 11:12,2024.06.25 12:00,124 회,"5,363,026","179,341","850,420","36,361"
2,선독점 방구석 저격수.,"현대판타지, 퓨전",캡슐호텔,2024.04.19 23:20,2024.06.24 22:00,72 회,"2,660,932","63,803","530,115","23,618"
3,선독점 탑 매니지먼트,현대판타지,장우산,2015.12.07 21:20,2024.06.21 18:00,297 회,"19,288,559","571,858","1,814,636","37,206"
4,선독점 범상한 변호사의 아공간,현대판타지,서칸더브이,2024.01.04 14:53,2024.06.25 09:00,180 회,"3,428,842","119,324","1,014,997","19,699"
5,선독점 차라리 빌런으로 살겠다,"현대판타지, 드라마",서인하,2024.03.02 12:19,2024.06.25 08:00,127 회,"2,327,847","87,788","863,605","17,498"
6,선독점 미혼부 AI로 세상을 지배하다,"현대판타지, 퓨전",소보로설,2024.03.17 15:22,2024.06.25 12:00,109 회,"2,306,811","48,781","596,170","12,775"
7,선독점 이상적 연출생활백서,"현대판타지, 드라마",자경(蔗境),2024.03.12 21:59,2024.06.25 11:20,99 회,"1,688,726","53,070","669,524","11,906"
8,선독점 약먹는 천재마법사,"현대판타지, 판타지",글근육,2020.08.27 17:57,2024.06.24 20:00,"1,144 회","22,411,590","889,639","8,726,797","47,858"
9,선독점 막내피디가 천재작가였다,"현대판타지, 퓨전",글맛,2023.03.06 20:33,2024.04.30 20:56,340 회,"5,907,164","183,780","2,686,075","23,095"
10,선독점 열혈 인생,현대판타지,동쪽사람,2023.03.09 11:50,2024.04.10 11:50,319 회,"1,628,824","53,004","1,789,933","5,502"
11,선독점 화학천재의 비밀 투자 공식,"현대판타지, 판타지",율려(律呂),2023.12.31 14:44,2024.06.25 14:00,159 회,"2,940,358","81,277","937,520","14,955"
12,선독점 탑스타의 남동생이 되었다,"현대판타지, 퓨전",운좋은놈,2024.04.10 00:28,2024.06.24 22:11,69 회,"1,428,369","34,999","414,635","10,910"
13,선독점 시간을 달리는 소설가,"현대판타지, 판타지",피아조아,2023.04.03 02:25,2024.06.24 18:00,274 회,"6,639,350","355,091","1,926,428","35,273"
14,선독점 아포칼립스에 집을 숨김,"현대판타지, 퓨전",로드워리어,2022.12.13 11:42,2024.06.24 21:20,466 회,"6,790,793","378,210","3,209,420","33,287"
15,선독점 은퇴한 초인의 슬로우라이프,"현대판타지, 퓨전",ROHRAN노란,2023.08.12 09:39,2024.05.14 16:00,225 회,"3,046,527","82,898","1,307,627","16,763"
16,"선독점 로큰롤, 발 없는 새가 되다","현대판타지, 판타지",경우勁雨,2024.02.23 02:28,2024.06.25 12:00,248 회,"1,167,294","45,223","1,329,573","5,522"
17,선독점 방출당한 투수가 금강불괴로 돌아옴,"스포츠, 현대판타지",단팥빵소년,2024.03.10 20:07,2024.06.25 11:00,149 회,"1,694,146","38,973","951,802","7,578"
18,선독점 웰컴 투 NBA,"스포츠, 현대판타지",필리포스,2023.05.10 10:01,2024.06.25 12:00,326 회,"2,971,851","96,969","2,182,908","9,585"
19,선독점 회귀한 전생자의 유유자적 재난 라이프,현대판타지,전혁,2023.07.18 14:22,2024.05.03 17:00,192 회,"3,330,848","74,409","1,138,568","14,772"
20,선독점 회사원이 너무 강함,"현대판타지, 스포츠",블루티풀,2024.03.15 00:29,2024.06.24 20:30,108 회,"1,792,986","43,139","632,829","11,606"
21,선독점 도사 아니고 매니전데요?,"현대판타지, 퓨전",글꾸니,2022.11.01 00:06,2023.09.06 12:00,240 회,"3,907,097","114,344","1,328,379","15,943"
22,선독점 회귀했는데 세상이 안 망함,"현대판타지, 판타지",선우(仙宇),2023.11.09 12:50,2024.06.24 18:00,184 회,"4,228,311","113,116","1,147,699","23,425"
23,선독점 러스트 [ RUST ],"현대판타지, 판타지",글라딘,2021.07.26 22:15,2024.06.24 20:03,"1,063 회","11,734,811","498,840","6,435,627","30,530"
24,선독점 재벌집 천재 아들,"현대판타지, 대체역사",신유(愼惟),2022.11.24 10:48,2023.05.19 11:00,317 회,"3,058,204","64,800","1,746,495","8,069"
25,선독점 슈팅 궤적이 다 보임,"스포츠, 현대판타지",닥터암,2023.06.26 17:20,2024.06.25 17:20,303 회,"5,087,348","147,343","1,917,025","21,190"
26,선독점 전능의 혀를 얻었다,"현대판타지, 판타지",몽쉐르,2023.11.27 11:13,2024.06.24 19:00,203 회,"2,590,053","85,504","1,266,721","12,014"
27,선독점 덕질하던 내가 천재보컬이었다,"현대판타지, 드라마",에레스,2023.08.09 14:55,2024.03.14 22:20,208 회,"2,524,140","66,664","1,234,665","14,441"
28,선독점 제약회사 회장님은 절대독마,현대판타지,꾸찌꾸찌,2023.01.05 21:04,2023.10.06 17:55,225 회,"5,070,074","161,538","1,480,365","19,265"
29,선독점 메디치 가문의 사생아가 너무 유능함,"대체역사, 현대판타지",르클레르,2024.04.02 21:58,2024.06.24 23:27,99 회,"836,175","25,444","552,275","5,925"
30,선독점 신입사원의 부업이 재벌 3세 친구다,"현대판타지, 판타지",꿈가득남,2024.04.12 09:51,2024.06.24 19:15,78 회,"1,347,436","30,648","431,321","9,193"
31,선독점 무제한의 세균술사,"현대판타지, 판타지",잔영JY,2024.05.08 10:06,2024.06.25 10:00,55 회,"2,045,228","53,877","333,586","17,867"
32,선독점 고귀한 헌터로 착각당했다,"퓨전, 현대판타지",글포터,2024.02.20 18:25,2024.06.25 12:30,124 회,"2,702,200","68,340","666,048","15,484"
33,선독점 망겜의 성기사,"현대판타지, 퓨전",검미성,2018.11.01 23:56,2019.07.17 23:57,206 회,"4,244,181","175,302","1,378,686","19,445"
34,선독점 재벌 3세의 홀로서기,"현대판타지, 대체역사",새가람,2023.01.01 10:20,2023.07.31 11:00,264 회,"3,843,310","79,045","1,418,850","12,357"
35,선독점 EX급 절대반지를 얻었다,"퓨전, 현대판타지",김현준™,2024.04.05 10:28,2024.06.25 15:00,85 회,"1,699,755","37,366","623,894","9,779"
36,선독점 천재 축구감독의 2회차,"스포츠, 현대판타지",주주총회,2023.06.20 12:20,2024.04.30 19:05,221 회,"1,903,896","49,568","1,167,809","7,628"
37,선독점 시장통 맛침명의 재벌처가 씹어먹다,"판타지, 현대판타지",가프,2024.03.21 20:52,2024.06.25 10:50,119 회,"1,996,415","56,888","708,798","10,337"
38,선독점 은퇴한 헌터의 아포칼립스,"현대판타지, 게임",디다트,2023.12.26 13:35,2024.06.25 12:00,162 회,"2,441,442","66,695","1,113,909","15,506"
39,선독점 절대독공으로 SSS급 헌터,"현대판타지, 퓨전",차성,2024.03.12 19:20,2024.06.23 23:31,97 회,"1,674,110","37,048","616,463","8,719"
40,선독점 오빠가 천재였다.,"현대판타지, 드라마",시하,2024.03.31 05:30,2024.06.25 14:06,74 회,"1,765,766","39,159","517,463","10,853"
41,선독점 알바생이 요리를 너무 잘함,"현대판타지, 판타지",윤재.,2023.11.22 18:00,2024.06.25 17:00,190 회,"2,642,989","83,702","1,096,358","14,038"
42,선독점 내 분신이 거물이 되어간다,"판타지, 현대판타지",실험샘플,2022.07.04 11:29,2024.06.25 13:49,556 회,"5,899,733","221,042","3,717,901","21,188"
43,선독점 회귀한 재벌은 미국을 사기로했다,"판타지, 현대판타지",연태량,2024.03.18 01:15,2024.06.24 20:20,119 회,"778,215","19,915","665,516","4,564"
44,선독점 세계권력급 아공간 헌터,현대판타지,슬리버,2024.03.28 11:28,2024.06.25 12:05,88 회,"1,833,350","48,323","570,638","12,372"
45,선독점 은퇴한 전설의 특수요원이 반로환동하여 사는 법.,"판타지, 현대판타지",강바기,2024.04.22 19:27,2024.06.25 00:39,59 회,"1,043,929","26,057","367,701","7,115"
46,선독점 천만년만에 귀환한 무신님,"퓨전, 현대판타지",맛깔란,2024.02.20 18:55,2024.06.25 17:01,140 회,"2,162,882","47,910","881,151","10,266"
47,선독점 축구부 방출 후 천재 투수가 되었다,"스포츠, 현대판타지",유선강,2024.02.24 17:01,2024.06.24 21:00,125 회,"1,490,822","37,812","725,701","7,686"
48,선독점 미궁 속 천재공학자,"퓨전, 현대판타지",병장개미,2022.10.19 12:00,2024.06.25 13:32,496 회,"3,053,559","140,852","2,791,807","12,532"
49,선독점 우주 군벌가 망나니,"SF, 현대판타지",행운요정,2022.08.06 11:50,2023.08.18 01:41,201 회,"3,320,997","101,697","1,334,578","16,669"
50,선독점 미국 재벌3세는 천재였다,"현대판타지, 대체역사",글라탕,2023.12.04 17:50,2024.06.12 20:20,285 회,"2,317,884","74,258","1,841,712","10,713"
51,선독점 미국 레트로 소설가가 되었다.,"현대판타지, 판타지",뇌조,2023.09.02 23:00,2024.06.24 22:00,327 회,"2,153,604","88,413","2,340,548","9,161"
52,선독점 낭만재벌 김민식,"현대판타지, 판타지",오정,2023.12.16 15:32,2024.06.24 19:00,138 회,"1,498,423","43,929","804,755","7,116"
53,선독점 내 수익률 무한!,"현대판타지, 판타지",혁이.,2024.04.07 16:05,2024.06.24 18:00,76 회,"721,108","20,145","417,135","4,905"
54,선독점 케이팝 씹어먹는 천재 작곡가,"현대판타지, 드라마",이신유,2023.12.13 12:25,2024.06.25 11:00,193 회,"1,960,923","60,245","1,100,429","10,549"
55,선독점 로스쿨 천재가 되었다,"현대판타지, 로맨스",서칸더브이,2022.09.30 16:20,2023.07.13 09:00,251 회,"1,566,376","51,517","1,309,029","6,643"
56,선독점 카이스트 천재는 재벌이 된다,"현대판타지, 퓨전",지지지비,2024.03.21 00:00,2024.06.24 20:01,82 회,"1,044,681","20,527","458,863","6,160"
57,선독점 억만장자가 된 미전실의 사냥개,"현대판타지, 드라마",홈스탠바이,2024.03.26 18:01,2024.06.24 18:00,95 회,"1,012,353","19,842","735,503","4,970"
58,선독점 주인공이 힘을 숨김,"현대판타지, 게임",로드워리어,2016.06.11 12:32,2017.04.29 14:04,350 회,"6,408,808","204,447","2,207,270","19,815"
59,선독점 겨우 강해졌는데 회귀해버림,"현대판타지, 퓨전",수국칼,2024.02.12 20:26,2024.06.24 23:00,135 회,"2,572,227","58,697","727,190","13,401"
60,선독점 전지적 독자 시점,"현대판타지, 판타지",싱숑,2018.01.06 18:30,2024.06.24 21:00,766 회,"58,246,053","2,237,599","4,790,149","147,618"
61,선독점 천재 미드필더의 패스는 특별하다,"스포츠, 현대판타지",역작s,2023.12.18 14:26,2024.06.24 18:00,141 회,"2,510,747","49,773","786,503","12,563"
62,선독점 아포칼립스 장난감,"현대판타지, 퓨전",눌프,2024.03.16 18:29,2024.06.25 13:30,95 회,"1,779,697","47,265","527,098","10,189"
63,선독점 우주 무기가 너무 강함,"현대판타지, 판타지",계란탁,2024.04.08 11:00,2024.06.24 20:00,82 회,"1,310,496","27,226","479,055","7,465"
64,선독점 각성이 멈추질 않는다,"현대판타지, 퓨전",길마,2024.03.12 19:13,2024.06.24 18:00,89 회,"1,771,273","39,168","583,483","9,439"
65,선독점 폐급 배우가 상태창을 숨김,현대판타지,papapa.,2024.01.09 17:51,2024.06.24 20:00,137 회,"1,115,810","38,018","761,275","7,336"
66,선독점 괴물 천재선수들이 날 너무 좋아함,"스포츠, 현대판타지",혜인태,2023.11.22 12:46,2024.06.25 12:00,233 회,"1,962,618","51,081","1,230,137","9,174"
67,선독점 재벌집 만렙 아들,"현대판타지, 드라마",오소록,2022.10.19 01:54,2024.06.24 20:00,436 회,"4,205,393","109,945","2,581,962","17,819"
68,선독점 회귀자의 기업국가 재벌기,현대판타지,E급작가,2023.01.22 00:48,2023.09.23 08:00,252 회,"2,144,915","47,712","1,516,090","7,242"
69,선독점 나 혼자 탑에서 농사,"현대판타지, 퓨전",sdcknight,2022.05.11 11:46,2024.06.25 15:00,737 회,"6,543,133","272,600","3,974,631","21,669"
70,선독점 무언의 마법사,"퓨전, 현대판타지",강철민,2023.10.06 14:00,2024.06.21 18:00,205 회,"2,169,849","49,499","1,077,408","9,858"
71,선독점 귀농했는데 세계수로 미국식 농사,"현대판타지, 판타지",노마(駑馬),2023.09.26 19:40,2024.06.24 19:50,257 회,"1,656,245","59,981","1,544,087","8,075"
72,선독점 천재 매니저는 시끄럽게 살기로 했다,"현대판타지, 판타지",편몽,2024.03.23 20:57,2024.06.24 21:26,93 회,"985,437","26,901","545,851","4,990"
73,선독점 은퇴 코더가 빅테크를 사버림,"현대판타지, 판타지",SOKIN,2023.10.19 14:25,2024.06.25 11:00,224 회,"2,519,628","54,450","1,133,671","10,840"
74,선독점 1979 김부장이 독재를 계승 중입니다!,"현대판타지, 대체역사",아아연하게,2023.12.28 23:49,2024.06.24 20:00,174 회,"1,412,504","31,918","982,465","5,453"
75,선독점 재벌을 넘어 귀족으로,"현대판타지, 판타지",푸달,2019.05.01 12:05,2019.11.09 14:47,201 회,"5,032,723","110,464","1,495,345","16,097"
76,선독점 로또부터 장군까지,"현대판타지, 판타지",게르만.,2022.09.06 20:21,2024.06.24 21:00,503 회,"2,295,368","60,218","2,701,324","7,473"
77,선독점 재벌 3세는 조용히 살고 싶다,현대판타지,SSDHDD,2020.02.26 11:00,2024.06.25 11:00,"1,582 회","9,034,369","189,687","9,033,373","13,528"
78,선독점 파혼 후 역대급 투자 천재,"현대판타지, 퓨전",단골손놈,2024.03.19 00:39,2024.06.24 20:00,107 회,"1,397,361","23,994","652,815","6,608"
79,선독점 총통님 미국 가신다!,"대체역사, 현대판타지",민초냥이,2024.01.23 09:27,2024.06.25 12:20,139 회,"516,656","22,377","851,394","3,420"
80,선독점 전천후 연예생활백서,"현대판타지, 드라마",자경(蔗境),2020.11.26 14:20,2022.06.10 21:20,417 회,"5,954,285","166,621","3,054,068","13,927"
81,선독점 쓰나미도 피하는 위치선정 축구천재,"스포츠, 현대판타지",계약직,2024.02.08 18:13,2024.06.24 23:15,116 회,"1,823,346","45,568","657,475","10,264"
82,선독점 서울역 세종대왕,"대체역사, 현대판타지",구사(龜沙),2023.12.04 14:13,2024.06.25 17:00,168 회,"1,150,998","41,301","944,187","6,026"
83,선독점 회귀한 김에 아이돌 때려칩니다,"현대판타지, 로맨스",엔터키뽑,2024.04.03 14:00,2024.06.24 20:20,76 회,"1,354,017","31,666","438,768","9,409"
84,선독점 퇴역한 연금술사는 우주권력급,"현대판타지, 판타지",뺘삐,2024.04.25 13:45,2024.06.24 20:00,65 회,"1,151,541","24,812","382,054","6,565"
85,선독점 귀농했는데 아포칼립스 터졌다,"현대판타지, 판타지",버머랜드,2024.02.21 22:48,2024.06.25 16:20,119 회,"891,953","24,775","721,150","4,765"
86,선독점 이혼 후 작두 탔습니다.,현대판타지,동심(動心),2023.08.22 21:21,2024.06.21 21:00,240 회,"1,668,098","29,069","1,890,815","5,668"
87,선독점 AI 나노봇으로 농사를 딸깍,현대판타지,따상,2024.02.26 14:02,2024.06.24 22:32,98 회,"1,102,726","33,797","527,532","6,134"
88,선독점 아포칼립스의 유일한 흑마법사가 되었다,"현대판타지, 퓨전",BELF,2022.09.15 13:00,2023.08.27 16:00,239 회,"2,972,894","81,756","1,325,358","13,768"
89,선독점 복수하다가 발레 천재,"현대판타지, 드라마",달리카,2022.05.11 19:00,2023.06.07 09:05,302 회,"1,701,571","76,807","2,018,261","6,995"
90,선독점 미친 천재작가가 돌아왔다,"현대판타지, 드라마",피자소주,2024.03.29 17:02,2024.06.24 21:00,78 회,"961,029","26,996","496,167","6,506"
91,선독점 운명을 보는 회사원,"현대판타지, 퓨전",영완(映完),2019.09.28 15:02,2023.06.26 16:20,317 회,"11,545,480","356,695","1,849,727","25,736"
92,선독점 나는 EX급 헌터다,"현대판타지, 판타지",Neuf,2018.02.17 19:20,2023.06.14 23:12,303 회,"3,769,692","91,380","1,593,723","11,643"
93,선독점 괴물 재벌의 골드라이프,현대판타지,콩콩이빠덜,2023.08.08 00:34,2024.06.17 17:10,218 회,"2,345,394","54,554","1,300,421","10,052"
94,선독점 방출되고 재능폭발,"스포츠, 현대판타지",예성,2023.07.06 09:20,2024.06.04 21:00,437 회,"3,489,395","91,350","2,330,233","13,148"
95,선독점 축구천재들의 재능을 삼켰다,"스포츠, 현대판타지",저니환,2024.02.20 20:05,2024.06.25 11:00,187 회,"682,048","13,570","1,031,174","3,290"
96,선독점 아포칼립스 EX급 벙커 라이프,"현대판타지, 퓨전",켈린더,2024.04.11 14:50,2024.06.24 18:30,77 회,"754,227","14,914","491,469","4,641"
97,선독점 현대수선전,"현대판타지, 퓨전",오렌,2023.05.10 11:05,2024.05.20 17:00,300 회,"2,046,062","55,931","1,830,371","6,785"
98,선독점 초월자들과 거래하는 헌터,"현대판타지, 판타지",지장수,2024.02.15 19:28,2024.06.24 21:00,135 회,"1,120,938","22,607","940,015","3,377"
99,선독점 미국 깡촌의 천재 작가,"현대판타지, 판타지",돌리앗,2023.02.25 22:20,2024.06.24 21:20,413 회,"4,654,758","182,786","2,501,851","20,533"
100,선독점 회사 잘린 김에 음악천재 합니다,"현대판타지, 일반소설",먹고땡,2024.03.21 15:59,2024.06.25 12:00,86 회,"898,685","19,033","517,930","5,154"
101,선독점 1988 레트로 게임 재벌,현대판타지,Guybrush,2023.12.03 12:30,2024.06.25 12:30,161 회,"466,557","21,125","1,193,906","3,024"
