,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
1,후문의비,로맨스,아흘원보,2023.02.16 11:09,2023.02.16 11:21,"1,158 회","401,571","12,462","8,013,086",509
2,장주(掌珠),로맨스,의지지,2024.05.02 11:58,2024.05.02 11:59,279 회,"7,540",59,"1,672,955",39
3,괴물 아들을 바르게 키우는 법,로맨스,도도,2024.05.13 17:31,2024.05.13 17:31,120 회,"1,205",2,"559,867",54
4,구중자,로맨스,지지(吱吱),2023.09.19 17:48,2023.09.19 17:52,537 회,"42,890",588,"3,397,884",140
5,제일후,로맨스,희행,2023.06.15 16:02,2023.06.15 16:26,588 회,"13,826",64,"3,433,236",89
6,선독점 재벌가 사위 된 힘숨찐,"로맨스, 현대판타지",홈스탠바이,2021.05.12 12:30,2021.12.03 17:00,200 회,"2,018,376","30,805","1,539,911","6,795"
7,결혼 계약,로맨스,빵양이,2021.05.18 17:02,2021.05.18 17:02,95 회,"9,218",89,"478,616",126
8,낙양 박정관,로맨스,심천결,2024.05.27 16:31,2024.05.27 16:32,181 회,253,0,"1,051,220",7
9,천하 제일의 혼인,"로맨스, 무협",월출운,2023.08.29 14:00,2023.08.29 14:03,211 회,"3,122",61,"1,209,609",37
10,군구령,로맨스,희행,2024.01.08 16:39,2024.01.08 16:42,611 회,"9,987",12,"3,876,417",27
11,하위현처,"로맨스, 판타지",월하접영,2020.06.16 11:40,2020.06.16 11:40,123 회,"114,017","1,268","729,199",376
12,육궁봉화,로맨스,심조실락적애정,2024.03.05 14:53,2024.03.05 14:59,797 회,"26,919",102,"4,813,762",74
13,"화비, 환생","로맨스, 판타지",천산다객,2019.12.19 11:11,2019.12.23 06:00,350 회,"717,447","11,301","2,195,486","1,238"
14,적가천금,"로맨스, 판타지",천산다객,2020.12.15 18:03,2020.12.15 18:03,333 회,"136,667","1,962","1,962,254",354
15,설연화몽,로맨스,미보(靡寶),2023.07.27 11:37,2023.07.27 11:37,176 회,"2,644",1,"1,003,288",28
16,폐후의 귀환,"로맨스, 판타지",천산다객,2019.12.05 14:54,2019.12.31 23:00,378 회,"949,897","20,524","2,207,918","1,849"
17,남편이 나를 팔았다,로맨스,아일리파로,2021.08.13 18:35,2021.08.13 18:35,93 회,747,0,"496,668",12
18,길들임에는 책임이 따른다,로맨스,교시,2024.06.11 17:53,2024.06.11 17:53,150 회,17,0,"694,348",1
19,여장성,"로맨스, 판타지",천산다객,2020.12.15 18:09,2020.12.15 18:09,420 회,"117,057","3,541","2,464,558",431
20,야행가,"로맨스, 무협",자미류연(紫微流年),2020.04.28 15:38,2020.04.28 15:38,130 회,"7,082",408,"724,050",111
21,"귀녀, 환생",로맨스,천산다객,2019.09.04 15:09,2019.09.19 09:10,140 회,"144,528","3,838","865,931",866
22,대당여법의,"로맨스, 판타지",수당,2020.06.16 11:22,2020.08.05 23:55,506 회,"101,471","2,170","2,745,485",305
23,선독점 교랑의경,"로맨스, 판타지",희행,2019.09.04 14:20,2020.08.19 12:00,740 회,"786,350","31,348","4,165,779","1,999"
24,선독점 재벌집 둘째 딸,"로맨스, 스포츠",산사나무,2019.03.12 14:25,2019.07.13 06:00,229 회,"289,226","7,014","1,267,865","1,076"
25,본왕재차,로맨스,구로비향,2023.11.28 14:01,2023.11.28 14:01,84 회,684,2,"498,138",19
