,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
1,선독점 아케인펑크의 공간술사,"퓨전, SF",다원.,2023.10.23 18:00,2024.05.11 23:14,203 회,"1,248,923","38,835","1,150,647","6,445"
2,선독점 우주 군벌가 망나니,"SF, 현대판타지",행운요정,2022.08.06 11:50,2023.08.18 01:41,201 회,"3,321,057","101,697","1,334,578","16,669"
3,선독점 어쩌다 외계 가발을 주웠다,"현대판타지, SF",춘객,2022.11.01 00:05,2023.09.27 11:00,205 회,"727,449","20,497","1,276,448","2,620"
4,선독점 다시 싸우는 우주기갑,"현대판타지, SF",NZ,2023.10.23 15:41,2024.06.24 20:30,224 회,"786,177","19,011","1,733,932","3,369"
5,선독점 우주천마 3077,"무협, SF",녹색여우,2020.05.11 12:32,2024.04.07 23:56,349 회,"3,984,544","153,960","2,143,888","21,070"
6,선독점 우주선을 주웠다,"현대판타지, SF",글삼,2022.05.11 10:05,2023.06.21 11:30,229 회,"2,608,725","98,516","1,541,981","13,432"
7,선독점 이 우주는 고인물이 필요해요,"SF, 판타지",대형수상함,2023.06.26 19:00,2024.02.28 19:00,200 회,"1,224,115","41,587","1,223,174","6,538"
8,선독점 어두운 바다의 등불이 되어,"현대판타지, SF",연산호,2021.05.20 20:31,2024.03.22 18:00,422 회,"1,968,557","121,539","2,199,728","13,055"
9,"선독점 만년 백수 강태풍, 우주선으로 인생 역전!","현대판타지, SF",머리아픈이,2023.03.13 11:00,2024.01.03 11:00,330 회,"1,504,671","32,261","1,911,884","4,677"
10,선독점 우주 게임 속 용병이 되었다,"판타지, SF",havoc,2022.10.23 20:58,2023.09.02 12:33,220 회,"1,512,716","58,499","1,335,774","8,879"
11,선독점 21세기 고구려,"전쟁·밀리터리, SF",홍마루,2016.05.31 22:46,2019.09.22 05:46,614 회,"2,572,787","53,804","3,507,229","3,689"
12,선독점 철수를 구하시오,"현대판타지, SF",가짜과학자,2020.03.06 09:01,2020.11.12 20:00,175 회,"3,282,057","117,757","1,129,795","18,466"
13,선독점 2068 스페이스콜럼버스호,"퓨전, SF",춘객,2018.04.03 00:44,2019.04.29 11:45,209 회,"877,115","22,457","1,446,949","2,619"
14,선독점 맨손으로 우주개척!,"SF, 퓨전",아버지,2022.09.28 22:31,2023.07.08 17:00,196 회,"1,283,867","37,398","1,131,437","6,934"
15,선독점 게임 속 기갑파일럿이 되었다.,"판타지, SF",E급작가,2021.04.08 13:05,2022.02.04 18:00,317 회,"2,703,699","72,964","1,911,047","10,290"
16,선독점 아포칼립스에 우주선이 추락함,"현대판타지, SF",소하드,2023.11.08 17:44,2024.06.24 23:42,108 회,"285,583","7,207","588,404","1,703"
17,선독점 응애 모드로 우주 최강자,"SF, 퓨전",볼트맨형님,2023.03.10 10:20,2024.02.02 22:00,322 회,"916,286","25,382","2,732,118","4,950"
18,선독점 괴수처럼,"현대판타지, SF",파르나르,2015.02.15 09:08,2015.11.19 05:51,286 회,"2,105,066","67,610","1,689,023","4,537"
19,선독점 우주용병 진,"퓨전, SF",몽랑괴행,2020.10.15 01:47,2021.04.16 18:00,181 회,"1,588,333","46,243","1,054,293","8,380"
20,선독점 함장에서 제독까지,"판타지, SF",havoc,2019.10.15 14:29,2020.10.31 17:00,240 회,"1,762,715","62,470","1,421,612","7,540"
21,선독점 불사의 메카 파일럿,SF,콜라탄산,2020.05.25 14:15,2021.03.16 15:31,157 회,"548,725","26,550","802,015","3,708"
22,선독점 AD. 2160년에 깨어났다,"SF, 게임",춘객,2021.03.02 14:00,2022.05.11 15:15,304 회,"2,398,153","58,986","1,928,018","7,837"
23,선독점 우주 전쟁의 검성이 되었다,"SF, 판타지",이나르™,2022.12.03 14:48,2023.10.23 21:00,200 회,"1,291,987","36,680","1,076,571","6,160"
24,선독점 외계 기생체의 숙주,"현대판타지, SF",춘객,2019.11.12 00:14,2020.09.30 11:50,176 회,"628,490","14,409","1,142,800","2,145"
25,선독점 우주함장이 되면 굉장해짐,"SF, 퓨전",제목이반,2022.05.11 10:42,2022.10.23 21:26,144 회,"1,419,564","43,593","857,276","6,173"
26,선독점 행성개발로 세계정복,"현대판타지, SF",아몬드리치,2023.10.31 14:18,2024.06.17 21:00,175 회,"577,095","11,229","939,269","2,545"
27,SSS급 천재,"판타지, SF",북홀릭,2018.03.15 19:00,2018.05.29 06:00,125 회,"315,549","5,661","735,742","1,252"
28,선독점 치트쓰는 함장님,"판타지, SF",Grawingen,2022.12.15 13:06,2023.09.08 22:00,225 회,"903,106","28,190","1,342,890","4,215"
29,선독점 외계문명 계승자,"판타지, SF",LunStellar,2019.04.01 22:13,2020.01.20 17:10,251 회,"1,025,034","21,376","1,487,300","3,502"
30,선독점 내 아이들이 우주에 들끓는다,"퓨전, SF",FromZ,2020.07.22 16:15,2021.02.15 21:00,191 회,"698,388","26,600","1,415,740","4,849"
31,선독점 미래기술로 인생역전,"현대판타지, SF",크로노크,2021.02.28 13:20,2021.10.30 02:53,200 회,"1,865,354","33,083","1,102,925","6,829"
32,선독점 나는 군단이다!,"현대판타지, SF",시인단테,2019.09.18 18:00,2019.12.30 18:00,105 회,"1,064,720","30,047","725,650","4,515"
33,선독점 깡촌마을 천재해커,"현대판타지, SF",사일도,2023.03.16 00:05,2023.07.26 06:00,131 회,"652,117","16,729","734,203","3,072"
34,선독점 리턴1999,"현대판타지, SF",앤서,2014.08.27 21:18,2015.05.24 16:02,99 회,"308,948","7,624","533,598",816
35,선독점 영화는 돈이다,"현대판타지, SF",정차장.,2019.04.06 14:50,2020.02.05 19:10,211 회,"1,970,882","56,022","1,168,223","6,389"
36,선독점 검신의 검은 우주를 가르고,"퓨전, SF",레니우스K,2019.03.11 17:38,2021.03.29 12:21,447 회,"627,382","13,593","2,460,344","2,108"
37,선독점 좌천당한 하급 장교가 살아남는 법,"퓨전, SF",고양이앞발,2019.06.17 17:05,2020.05.21 23:00,300 회,"2,916,915","86,506","1,877,197","10,766"
38,선독점 신세계: 시스템 아포칼립스,"현대판타지, SF",YAGI,2019.09.16 07:30,2022.05.23 06:00,454 회,"1,006,757","38,664","3,152,472","4,749"
39,선독점 망겜 속 지휘관이 되었다,"판타지, SF",헤븐즈,2022.11.24 11:35,2023.12.14 17:33,239 회,"328,746","8,487","1,351,225","1,787"
40,선독점 우주게임의 사령관,"SF, 퓨전",몽랑괴행,2019.04.01 12:05,2019.10.02 22:24,211 회,"2,210,308","67,606","1,188,721","8,630"
41,선독점 이세계 파이오니어,"판타지, SF",자본주의자,2019.04.01 12:35,2023.12.30 12:48,208 회,"589,412","21,715","1,212,663","2,641"
42,선독점 거대 인공지능 키우기,"퓨전, SF",FromZ,2019.11.30 19:37,2020.05.25 21:05,183 회,"450,590","16,173","1,341,634","2,380"
43,선독점 재벌가 귀환자,"현대판타지, SF",느린손,2022.07.05 17:34,2023.03.30 05:34,200 회,"454,140","10,159","1,186,800","1,583"
44,무한 전생(부제-스페이스 니트),"SF, 퓨전",광악,2015.01.01 02:07,2017.10.28 11:10,206 회,"481,719","14,034","1,850,179","2,700"
45,선독점 세컨드 라이프 : 전직 게임개발자의 이세계생존 길라잡이,"판타지, SF",딩고리트,2016.06.16 15:06,2017.09.06 22:00,286 회,"947,691","34,856","1,813,342","1,982"
46,선독점 우주 괴물 사냥꾼,"퓨전, SF",몽랑괴행,2023.02.16 12:00,2023.05.25 21:08,89 회,"639,087","19,017","504,265","3,571"
47,선독점 사상 최강의 보안관,"SF, 판타지",글쟁이S,2018.11.08 13:29,2019.06.15 21:15,313 회,"2,686,506","142,757","2,359,317","12,380"
48,선독점 외계 자동차와 함께하는 차박 생활,"현대판타지, SF",하구둑,2022.09.17 09:41,2023.02.09 19:20,149 회,"550,376","18,112","796,407","2,736"
49,선독점 환생자인 내가 주인공이 아니라고?,"판타지, SF",무임금노동,2019.04.08 16:51,2019.12.01 09:50,136 회,"1,253,392","35,837","941,809","6,163"
