,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
1,화산귀환 [독점],무협,비가,(2019.04.25.),(2024.06.21.),1737,"1,279,637","18,135",9.2
2,절대회귀 [독점],무협,장영훈,(2022.10.19.),(2024.06.24.),449,"50,737",601,9.8
3,오늘만 사는 기사 [독점],판타지,소울풍,(2023.02.14.),(2024.06.25.),463,"22,510",323,9.8
4,괴력 난신(怪力 亂神),무협,한중월야,(2021.11.19.),(2023.07.25.),527,"22,300",260,9.7
5,회귀수선전(回歸修仙傳),무협,엄청난,(2023.06.05.),(2024.06.24.),513,"50,090",348,9.6
6,전지적 독자 시점,현판,싱숑,(2018.05.21.),(2024.06.24.),766,"815,771","20,454",9.9
7,북부 대공의 미친 데릴사위,판타지,곰돌이는,(2024.04.21.),(2024.06.24.),180,"4,296",56,9.7
8,재벌집 만렙 아들,현판,오소록,(2023.02.03.),(2024.06.24.),436,"7,426",70,9.6
9,전직용병 재벌서자 [독점],현판,꾼밤,(2023.10.24.),(2024.06.25.),285,"2,153",28,9.1
10,날 닮은 아이 [독점],로맨스,플아다,(2021.05.01.),(2022.03.16.),183,"16,004",837,9.9
11,나 혼자 탑에서 농사,현판,sdcknight,(2022.09.10.),(2024.06.22.),736,"29,158",680,9.8
12,화학천재의 비밀 투자 공식,현판,율려(律呂),(2024.05.05.),(2024.06.24.),158,"1,405",33,9.5
13,환생천마,무협,장영훈,(2017.04.03.),(2017.09.27.),300,"8,920",880,9.6
14,게임 속 바바리안으로 살아남기 [독점],판타지,정윤강,(2021.03.31.),(2024.06.25.),734,"170,763","1,534",9.4
15,사랑하는 나의 억압자 [독점],로판,서사희,(2023.04.17.),(2024.02.24.),128,"11,159",928,9.9
16,천재 무림 트레이너 [독점],무협,크루크루,(2021.10.27.),(2023.03.17.),425,"7,702",57,9.2
17,가짜인데 왜 이러세요? [선공개],로판,사장님,(2024.05.10.),(2024.05.10.),101,146,6,9.5
18,비틀린 나무에도 꽃은 핀다 [독점],로맨스,성하,(2024.02.21.),(2024.04.01.),208,"1,320",16,9.7
19,어떤 바람은 사람을 미치게 한다 [선공개],로판,온밤톨,(2024.05.10.),(2024.05.10.),150,52,8,9.5
20,내 장례식에서 부활했다,로판,햇콩,(2024.05.10.),(2024.06.01.),105,13,2,8.4
21,김 대리는 아이돌이 싫어 [독점],현판,퇴사연습생,(2023.11.07.),(2024.06.25.),271,"17,017",233,9.9
22,병약한 대공비의 남편은 기억 상실 [선공개],로판,천혜랑,(2024.05.17.),(2024.05.17.),84,23,1,8.0
23,귀농했더니 국가급 거물 후배들이 몰려든다,판타지,아길론,(2024.04.04.),(2024.06.18.),164,"1,800",27,9.5
24,운명을 보는 회사원,현판,영완(映完),(2020.01.10.),(2023.06.26.),317,"16,247",863,9.8
25,먹방으로 성공하는 ‘전’ 공작부인 [독점],로판,S모씨,(2024.05.03.),(2024.05.03.),125,67,5,7.3
26,낱장의 여름 [독점],로맨스,박영,(2024.05.23.),(2024.05.23.),95,"1,194",35,9.5
27,당신의 마지막은 나여야만 한다 [선공개],로판,조일구,(2024.05.03.),(2024.05.03.),110,113,15,9.6
28,광마회귀 [독점],무협,유진성,(2020.02.26.),(2022.08.03.),450,"171,301","3,438",9.9
29,제국 경비대의 망나니 소드마스터,판타지,사탕꽃,(2024.05.13.),(2024.06.24.),137,"1,100",7,9.3
30,당신의 구원을 바라지 않는다,로판,우제,(2024.05.03.),(2024.05.03.),102,22,5,9.7
