,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
1,멜팅 슬로우 [독점],로맨스,이른꽃,(2023.02.07.),(2023.04.01.),92,"3,912",101,9.8
2,회귀자 생활백서(回歸者 生活白書),무협,넉울히,(2024.05.23.),(2024.06.23.),157,"1,524",12,9.2
3,국세청 망나니 [독점],현판,동면거북이,(2020.07.08.),(2022.01.06.),500,"16,103",327,9.7
4,전직용병 재벌서자 [독점],현판,꾼밤,(2023.10.24.),(2024.06.24.),284,"2,143",28,9.2
5,회귀 경찰의 리셋 라이프,현판,한길,(2024.06.24.),(2024.06.24.),1039,2,좋아요,8.2
6,천마신교 최강 막내제자 [독점],무협,리진,(2022.04.27.),(2022.12.15.),300,978,25,8.5
7,가짜 연애 [독점],로맨스,임여리,(2023.08.25.),(2024.01.01.),96,668,35,8.5
8,화산귀환 [독점],무협,비가,(2019.04.25.),(2024.06.21.),1737,"1,279,422","18,134",9.2
9,차라리 빌런으로 살겠다,현판,서인하,(2024.06.20.),(2024.06.24.),125,417,9,9.6
10,귀농했는데 아포칼립스 터졌다,판타지,버머랜드,(2024.06.14.),(2024.06.24.),118,99,5,8.4
11,게임 속 검술천재가 되었다 [독점],판타지,진서한,(2024.04.16.),(2024.06.24.),106,192,20,9.1
12,회귀한 재벌은 미국을 사기로했다,현판,연태량,(2024.06.12.),(2024.06.23.),118,181,2,9.3
13,재벌을 넘어 귀족으로,현판,푸달,(2024.05.24.),(2024.05.24.),200,64,좋아요,9.2
14,1500억을 받았다,현판,먼지운,(2024.06.14.),(2024.06.24.),115,219,3,7.8
15,남편놀음 [독점],로맨스,야옹도사,(2023.08.25.),(2023.09.30.),100,184,8,9.5
16,마탑의 문제아들 [독점],판타지,제리엠,(2024.05.14.),(2024.06.24.),51,579,12,9.3
17,원수의 아기를 가졌다 [독점],로판,미니바라기,(2023.02.19.),(2023.09.25.),300,"2,750",73,9.0
18,게임 속 바바리안으로 살아남기 [독점],판타지,정윤강,(2021.03.31.),(2024.06.21.),733,"170,571","1,534",9.4
19,적국의 황태자에게 납치당한 성녀입니다,로판,그고자자,(2024.06.21.),(2024.06.21.),120,43,좋아요,9.0
20,슬라임 합성으로 만능 농사꾼 [독점],현판,짜빈동귀신,(2023.12.05.),(2024.06.24.),231,"2,664",49,9.5
21,20년만에 괴물 배우로 복귀했습니다,현판,유현s,(2023.11.29.),(2024.03.07.),156,518,6,8.4
22,기프티드 (GIFTED),현판,도서관식객,(2019.02.20.),(2020.10.19.),386,"4,382",72,9.6
23,대기업 말단이 일을 잘함 [독점],현판,동면거북이,(2023.06.13.),(2024.06.21.),370,"8,146",101,9.7
24,제국 경비대의 망나니 소드마스터,판타지,사탕꽃,(2024.05.13.),(2024.06.22.),136,"1,089",7,9.3
25,투신귀환 [무료연재],무협,북창,(2024.05.21.),(2024.06.24.),44,61,2,8.3
26,시장통 맛침명의 재벌처가 씹어먹다,현판,가프,(2024.06.19.),(2024.06.24.),118,84,1,9.2
27,무명 식객 [독점],무협,무도쟁이,(2021.02.24.),(2022.09.23.),600,"1,298",31,8.7
28,병약한 남편에게 시집갔는데,로판,피코크블루,(2022.06.02.),(2022.06.02.),150,204,6,9.6
29,EX급 창고를 얻었다,판타지,한손검,(2024.06.19.),(2024.06.24.),114,115,1,7.2
30,마교전선 비룡십삼대 [독점],무협,겨울반디,(2021.10.06.),(2022.09.20.),359,"3,339",40,8.1
31,19금,19금,19금,19금,19금,19금,19금,19금,19금
32,화학천재의 비밀 투자 공식,현판,율려(律呂),(2024.05.05.),(2024.06.24.),158,"1,391",33,9.5
33,인형의 밤 [독점],로맨스,김나결,(2023.08.04.),(2023.09.20.),90,174,25,9.0
34,북부 대공의 미친 데릴사위,판타지,곰돌이는,(2024.04.21.),(2024.06.22.),179,"4,255",54,9.7
35,하남자의 탑 공략법,판타지,꾸찌꾸찌,(2024.06.16.),(2024.06.24.),123,"1,300",12,9.3
36,완전생물 병장님,현판,마지막한자,(2024.06.11.),(2024.06.23.),119,27,2,8.7
37,시한부를 즐겼을 뿐이었는데,로판,다나,(2023.07.26.),(2023.07.26.),200,107,4,9.7
38,19금,19금,19금,19금,19금,19금,19금,19금,19금
