,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
1,19금,19금,19금,19금,19금,19금,19금,19금,19금
2,환생천마,무협,장영훈,(2017.04.03.),(2017.09.27.),300,"8,920",880,9.6
3,19금,19금,19금,19금,19금,19금,19금,19금,19금
4,사천의 가주 [독점],무협,codezero,(2023.12.26.),(2024.06.24.),253,"1,906",28,9.2
5,오버로드 [단행본],라이트노벨,마루야마 쿠가네,(2017.05.22.),(2023.05.08.),16,156,161,9.3
6,등선하는 무공 천재 [독점],무협,무동이,(2024.05.07.),(2024.06.25.),112,541,8,9.6
7,게임 속 바바리안으로 살아남기 [독점],판타지,정윤강,(2021.03.31.),(2024.06.25.),734,"170,760","1,534",9.4
8,19금,19금,19금,19금,19금,19금,19금,19금,19금
9,영업 천재가 되었다,현판,댄킴,(2021.01.05.),(2021.09.03.),265,"5,583",128,9.9
10,처절한 흥밋거리[BL][단행본],BL,빛나는앵두,(2024.06.03.),(2024.06.03.),4,0,좋아요,0.0
11,19금,19금,19금,19금,19금,19금,19금,19금,19금
12,운명을 보는 회사원 [단행본],현판,영완(映完),(2021.01.15.),(2021.01.15.),14,142,53,9.9
13,19금,19금,19금,19금,19금,19금,19금,19금,19금
14,절대회귀 [독점],무협,장영훈,(2022.10.19.),(2024.06.24.),449,"50,736",601,9.8
15,의사가 음악을 너무 잘함,현판,세끝,(2024.06.10.),(2024.06.25.),125,43,2,8.6
16,남편놀음 [독점],로맨스,야옹도사,(2023.08.25.),(2023.09.30.),100,184,8,9.6
17,흙수저 작곡천재의 곡이 너무 잘 팔림,현판,주파,(2024.06.21.),(2024.06.25.),109,63,1,8.5
18,천 원짜리 재벌 [무료연재],현판,구름맛양갱,(2024.06.25.),(2024.06.25.),10,7,1,9.7
19,당신과 나는 사는 세계가 다르다 [독점],로판,서모린,(2023.07.30.),(2023.12.20.),133,"1,643",50,9.1
20,100조로 갑질하기 [단행본],현판,S수미르,(2023.07.13.),(2023.07.13.),14,14,1,9.5
21,대기업 말단이 일을 잘함 [독점],현판,동면거북이,(2023.06.13.),(2024.06.24.),371,"8,192",101,9.7
22,인도 최고 천재는 환생한 재벌 3세 [독점],현판,윈난성,(2023.11.28.),(2024.06.07.),225,315,22,8.9
23,화산귀환 [독점],무협,비가,(2019.04.25.),(2024.06.21.),1737,"1,279,631","18,135",9.2
24,19금,19금,19금,19금,19금,19금,19금,19금,19금
25,19금,19금,19금,19금,19금,19금,19금,19금,19금
26,EX급 창고를 얻었다,판타지,한손검,(2024.06.19.),(2024.06.25.),115,124,2,7.2
27,변경의 죄수는 검성을 꿈꾼다,판타지,Cadilet,(2024.05.27.),(2024.06.24.),131,497,6,9.6
28,못 잡아먹어서 안달 [독점],로맨스,플아다,(2022.10.20.),(2023.11.29.),157,"7,790",644,9.9
29,비룡잠호 [단행본],무협,오채지,(2018.02.08.),(2018.02.08.),7,94,57,9.3
30,암흑가에서 눈을 뜬 소드마스터 [무료연재],판타지,동경,(2024.06.25.),(2024.06.25.),10,5,7,9.0
31,하녀와의 계약결혼 [독점],로판,달새울,(2021.09.02.),(2024.06.21.),295,"11,810",327,9.9
32,천하제일 상단주 [독점],무협,지인,(2023.09.05.),(2024.06.25.),339,952,18,9.3
33,차라리 빌런으로 살겠다,현판,서인하,(2024.06.20.),(2024.06.25.),127,469,9,9.6
34,버려진 황자로 편하게 사는 법 [독점],판타지,오프신,(2024.04.02.),(2024.06.25.),122,763,16,9.5
35,무인도 힐링 라이프를 꿈꿨는데 대박집 사장님이 되었다!,현판,R렉스,(2024.06.24.),(2024.06.24.),104,0,좋아요,9.8
36,전직용병 재벌서자 [독점],현판,꾼밤,(2023.10.24.),(2024.06.25.),285,"2,153",28,9.1
37,1500억을 받았다,현판,먼지운,(2024.06.14.),(2024.06.24.),115,228,3,7.8
38,케이팝 씹어먹는 천재 작곡가,현판,이신유,(2024.04.03.),(2024.06.25.),193,563,14,9.4
39,제국 경비대의 망나니 소드마스터,판타지,사탕꽃,(2024.05.13.),(2024.06.24.),137,"1,100",7,9.3
40,역대급 라이프 스타일,현판,에쮸드,(2024.06.21.),(2024.06.24.),148,105,4,8.3
41,김 대리는 아이돌이 싫어 [독점],현판,퇴사연습생,(2023.11.07.),(2024.06.25.),271,"17,017",233,9.9
42,회귀한 공작가의 막내도련님은 암살자 [개정판],판타지,커피라임,(2023.10.07.),(2024.06.25.),430,"1,617",83,9.3
43,사이버펑크의 고인물 마법사,현판,휴헤,(2024.06.21.),(2024.06.25.),105,22,좋아요,7.2
44,단 한 번만 사랑해 줘 [독점],로판,도주차량,(2023.04.28.),(2023.11.09.),231,"1,054",25,9.1
45,재벌을 넘어 귀족으로,현판,푸달,(2024.05.24.),(2024.05.24.),200,68,좋아요,9.2
46,악역이 내게 미쳐버렸다 [독점],로판,김라체,(2023.08.20.),(2023.12.17.),149,"1,947",57,9.6
47,전생검신,무협,구로수번,(2016.09.09.),(2024.06.23.),1820,"43,855","1,969",9.5
48,내 조선에 세종은 없다,판타지,핏콩,(2023.01.10.),(2024.06.24.),465,"8,307",41,9.6
49,최종보스 잡고 게임 속 죄수 [독점],판타지,by아말하,(2024.02.06.),(2024.06.25.),171,695,5,8.7
50,법 없이 사는 놈들 [독점],판타지,아낙필,(2022.11.02.),(2023.04.21.),238,"4,052",38,8.7
51,아포칼립스에 집을 숨김,현판,로드워리어,(2023.04.17.),(2024.06.24.),466,"28,356",238,9.5
52,그라운드의 외계인,현판,양복선,(2024.02.26.),(2024.06.24.),157,346,3,8.5
53,전지적 독자 시점,현판,싱숑,(2018.05.21.),(2024.06.24.),766,"815,770","20,454",9.9
54,달아나지 않도록 더 세게 [독점],로판,도토리,(2023.06.28.),(2023.08.01.),166,"1,324",36,9.8
55,사이코 [독점],로맨스,문정민,(2024.06.12.),(2024.06.12.),74,98,5,9.8
56,오늘만 사는 기사 [독점],판타지,소울풍,(2023.02.14.),(2024.06.25.),463,"22,508",323,9.8
57,창룡군림 [독점],무협,북미혼,(2023.09.26.),(2024.06.25.),289,"2,163",18,7.7
58,전생이 천재였다,현판,나일함,(2021.07.20.),(2022.06.30.),320,"8,383",110,9.8
59,멜팅 슬로우 [독점],로맨스,이른꽃,(2023.02.07.),(2023.04.01.),92,"3,922",101,9.8
60,나의 조선에 유교는 필요없다,판타지,정동갑제,(2024.06.14.),(2024.06.24.),120,233,10,8.7
61,메이드의 방 [독점],로맨스,주황연,(2024.01.24.),(2024.04.01.),86,354,4,9.3
62,릴리스의 관 [선공개][외전 추가],로판,해말,(2019.01.30.),(2019.07.21.),169,"1,791",116,9.6
63,괴물 음악천재가 되어 돌아왔다,현판,츠로프,(2024.06.21.),(2024.06.23.),108,15,2,9.4
64,게임 속 검술천재가 되었다 [독점],판타지,진서한,(2024.04.16.),(2024.06.25.),107,209,20,9.1
65,신화급 귀속 아이템을 손에 넣었다 [독점],현판,정선율,(2021.01.27.),(2022.12.07.),470,"15,962",864,8.7
66,얼어붙은 플레이어의 귀환,판타지,제리엠,(2022.06.10.),(2022.06.10.),642,"1,299",18,9.0
67,묵향 [단행본],무협,전동조,(2013.12.02.),(2022.11.17.),37,"1,783",735,6.5
68,천화서고 대공자 [독점],무협,김현영,(2020.09.23.),(2024.05.15.),527,"18,208",330,9.7
69,음악천재를 위하여 [단행본],현판,고광(高光),(2020.04.21.),(2020.04.21.),12,19,5,8.4
70,낙양문사 [단행본],무협,도리검,(2024.05.30.),(2024.05.30.),7,1,좋아요,5.5
71,턴제의 마법사,판타지,정따블,(2024.05.17.),(2024.06.24.),137,"1,072",9,9.5
72,시장통 맛침명의 재벌처가 씹어먹다,현판,가프,(2024.06.19.),(2024.06.25.),119,94,1,9.2
73,귀농했더니 국가급 거물 후배들이 몰려든다,판타지,아길론,(2024.04.04.),(2024.06.18.),164,"1,800",27,9.5
74,순수한 동거생활 [독점],로맨스,플아다,(2020.04.04.),(2020.10.17.),112,"5,853",468,9.7
75,근본있는 소드마스터,판타지,로튼애플,(2024.06.11.),(2024.06.25.),122,79,2,7.8
76,삼국지 : 내가 영웅의 그릇인가.,판타지,엠보돌,(2024.04.10.),(2024.06.25.),171,"1,006",21,9.2
77,더는 당신의 악녀로 살지 않겠습니다 [독점],로판,임홀리,(2023.06.16.),(2023.11.01.),181,372,34,9.6
78,미친 검사가 AI를 주웠다 [독점],현판,글아일체,(2023.04.18.),(2024.03.15.),310,"1,174",18,9.4
79,짜장 한 그릇에 제갈세가 데릴사위,무협,에르훗,(2022.10.21.),(2024.06.25.),689,"17,174",99,9.6
80,고인물의 스킬이 너무 화려하다,판타지,광산김가,(2024.06.19.),(2024.06.24.),117,188,좋아요,8.8
81,파티에서 추방된 영웅이 너무 뛰어남 [독점],현판,블루클리프,(2022.05.04.),(2023.08.04.),416,"4,712",30,8.7
82,회귀한 재벌은 미국을 사기로했다,현판,연태량,(2024.06.12.),(2024.06.24.),119,183,2,9.3
83,환생했더니 대공의 셋째 아들,판타지,BELF,(2024.03.27.),(2024.06.24.),161,"1,222",16,9.1
84,국세청 망나니 [독점],현판,동면거북이,(2020.07.08.),(2022.01.06.),500,"16,112",327,9.7
85,검은머리 미군 대원수,판타지,명원(命元),(2020.10.14.),(2023.05.16.),583,"59,097",403,9.9
86,왕따 그만두고 천재합니다,현판,자론상이,(2024.01.05.),(2024.05.20.),221,"1,039",24,9.4
87,완벽한 청혼 [독점],로맨스,송민선,(2024.06.17.),(2024.06.22.),87,223,2,9.5
88,부도덕한 악역 황후에 빙의했습니다 [독점],로판,달가듯이,(2022.04.20.),(2022.08.03.),205,345,21,9.5
89,투신귀환 [무료연재],무협,북창,(2024.05.21.),(2024.06.25.),45,61,2,8.4
90,마른 가지에 바람처럼 [독점],로판,달새울,(2017.09.29.),(2021.02.19.),230,"20,512","4,348",9.7
91,19금,19금,19금,19금,19금,19금,19금,19금,19금
92,"꿇어보세요, 대공님! [독점]",로판,재겸,(2024.06.24.),(2024.06.25.),86,115,13,9.7
93,첩자의 마교생활 [독점],무협,대은호,(2023.06.27.),(2024.06.24.),371,"4,162",53,9.5
94,혼자 다 해 먹는 천재 암살자 [독점],판타지,MOZO,(2022.10.12.),(2024.06.25.),542,"7,227",89,9.7
95,환생한 음악천재가 재능을 못 숨김,현판,아몬드빵,(2024.05.22.),(2024.06.25.),119,408,9,9.0
96,"나를 혐오하세요, 공작님 [독점]",로판,이초원,(2024.04.03.),(2024.06.25.),137,58,6,8.9
97,본능의 대가 [독점],로맨스,설우희,(2024.04.11.),(2024.06.17.),87,"2,040",38,9.6
98,재벌집 만렙 아들,현판,오소록,(2023.02.03.),(2024.06.24.),436,"7,426",70,9.6
99,인형의 밤 [독점],로맨스,김나결,(2023.08.04.),(2023.09.20.),90,174,25,9.0
100,괴력 난신(怪力 亂神),무협,한중월야,(2021.11.19.),(2023.07.25.),527,"22,300",260,9.7
