,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
1,전지적 독자 시점,현판,싱숑,(2018.05.21.),(2024.06.21.),765,"815,565","20,448",9.9
2,영업 천재가 되었다,현판,댄킴,(2021.01.05.),(2021.09.03.),265,"5,578",126,9.9
3,북부 대공의 미친 데릴사위,판타지,곰돌이는,(2024.04.21.),(2024.06.22.),179,"4,255",54,9.7
4,"교수님, 그 결혼 저랑 해요 [독점]",로맨스,루위,(2024.06.07.),(2024.06.07.),81,246,11,9.9
5,회귀자 생활백서(回歸者 生活白書),무협,넉울히,(2024.05.23.),(2024.06.23.),157,"1,524",12,9.2
6,괴력 난신(怪力 亂神),무협,한중월야,(2021.11.19.),(2023.07.25.),527,"22,292",259,9.7
7,재벌집 만렙 아들,현판,오소록,(2023.02.03.),(2024.06.20.),435,"7,416",70,9.6
8,회귀한 공작가의 막내도련님은 암살자 [개정판],판타지,커피라임,(2023.10.07.),(2024.06.22.),429,"1,606",82,9.3
9,광룡이계전생 [독점],판타지,시준,(2023.02.14.),(2024.06.24.),471,"4,068",19,8.8
10,북부 대공,로판,투머치텐션,(2024.01.10.),(2024.01.10.),162,"1,246",33,9.7
11,독종의 연애 [독점],로맨스,플라비,(2024.06.20.),(2024.06.20.),85,148,8,9.4
12,완벽한 청혼 [독점],로맨스,송민선,(2024.06.17.),(2024.06.22.),87,212,2,9.5
13,파티에서 추방된 영웅이 너무 뛰어남 [독점],현판,블루클리프,(2022.05.04.),(2023.08.04.),416,"4,706",30,8.7
14,전생검신,무협,구로수번,(2016.09.09.),(2024.06.23.),1820,"43,848","1,969",9.5
15,역대급 라이프 스타일,현판,에쮸드,(2024.06.21.),(2024.06.24.),147,102,4,8.3
16,귀농했는데 아포칼립스 터졌다,판타지,버머랜드,(2024.06.14.),(2024.06.24.),118,99,5,8.4
17,나 혼자 탑에서 농사,현판,sdcknight,(2022.09.10.),(2024.06.22.),736,"29,146",680,9.8
18,회귀수선전(回歸修仙傳),무협,엄청난,(2023.06.05.),(2024.06.23.),512,"49,979",348,9.6
19,아포칼립스에 집을 숨김,현판,로드워리어,(2023.04.17.),(2024.06.21.),465,"28,298",238,9.5
20,시장통 맛침명의 재벌처가 씹어먹다,현판,가프,(2024.06.19.),(2024.06.24.),118,85,1,9.2
21,흙수저 작곡천재의 곡이 너무 잘 팔림,현판,주파,(2024.06.21.),(2024.06.24.),108,56,1,8.5
22,EX급 창고를 얻었다,판타지,한손검,(2024.06.19.),(2024.06.24.),114,116,1,7.2
23,내가 죽은 후 남주들이 이상해졌다 [독점],로판,꿀끼,(2024.06.22.),(2024.06.24.),84,188,6,9.4
24,고인물의 스킬이 너무 화려하다,판타지,광산김가,(2024.06.19.),(2024.06.21.),116,174,좋아요,8.9
25,천재 무림 트레이너 [독점],무협,크루크루,(2021.10.27.),(2023.03.17.),425,"7,695",57,9.2
26,버려진 황자로 편하게 사는 법 [독점],판타지,오프신,(2024.04.02.),(2024.06.24.),121,761,16,9.5
27,마도전생기 [독점],무협,codezero,(2020.02.17.),(2024.06.24.),934,"40,425",740,9.2
28,게임 속 검술천재가 되었다 [독점],판타지,진서한,(2024.04.16.),(2024.06.24.),106,192,20,9.1
29,사랑하는 나의 억압자 [독점],로판,서사희,(2023.04.17.),(2024.02.24.),128,"11,155",926,9.9
30,제국 경비대의 망나니 소드마스터,판타지,사탕꽃,(2024.05.13.),(2024.06.22.),136,"1,089",7,9.3
31,기프티드 (GIFTED),현판,도서관식객,(2019.02.20.),(2020.10.19.),386,"4,382",72,9.6
32,괴물 음악천재가 되어 돌아왔다,현판,츠로프,(2024.06.21.),(2024.06.23.),108,13,2,9.4
33,디펜스 게임의 폭군이 되었다 [독점],판타지,류은가람,(2021.02.10.),(2024.06.22.),854,"37,210",772,9.8
34,탑아이돌의 막내 멤버가 되었다 [독점],현판,강서울,(2023.02.28.),(2024.06.23.),405,"10,036",280,9.9
35,살아남은 왕녀의 웃음 뒤에는 [선공개],로판,아미드,(2021.11.03.),(2023.09.01.),160,"4,066",116,9.9
36,일타강사 백사부 [독점],무협,간짜장,(2020.10.21.),(2024.06.24.),738,"72,530","1,204",9.8
37,광마회귀 [독점],무협,유진성,(2020.02.26.),(2022.08.03.),450,"171,271","3,437",9.9
38,마교 교주의 부군이 되었다 [독점],무협,쥬레이,(2023.09.19.),(2024.06.24.),314,"7,430",109,9.4
39,"언니, 이번 생엔 내가 왕비야 [독점]",로판,레팔진프,(2020.12.06.),(2024.06.22.),600,"72,344","2,373",7.5
40,흑마법사는 이렇게 생존합니다 [독점],현판,진대협,(2024.04.16.),(2024.06.24.),120,182,5,8.7
41,의사가 음악을 너무 잘함,현판,세끝,(2024.06.10.),(2024.06.23.),124,40,2,8.6
42,사랑은 없는 것처럼 [외전 추가][독점],로맨스,carbo(도효원),(2020.05.27.),(2023.01.22.),106,"6,095",376,9.7
43,레벨업 하는 로그,판타지,글쟁이라떼,(2024.06.05.),(2024.06.24.),113,892,7,9.6
44,파혼 후 역대급 투자 천재,현판,단골손놈,(2024.06.21.),(2024.06.23.),106,3,1,7.6
45,블랙기업조선,판타지,국뽕,(2020.03.20.),(2024.06.24.),1206,"34,736",202,9.6
46,1500억을 받았다,현판,먼지운,(2024.06.14.),(2024.06.24.),115,219,3,7.8
47,천화서고 대공자 [독점],무협,김현영,(2020.09.23.),(2024.05.15.),527,"18,206",330,9.7
48,근력 만렙 중세인,판타지,련습,(2024.06.17.),(2024.06.23.),113,117,1,9.0
49,짜장 한 그릇에 제갈세가 데릴사위,무협,에르훗,(2022.10.21.),(2024.06.24.),688,"17,134",99,9.6
50,천재의 신들린 게임방송 [독점],현판,믿고보는,(2022.03.30.),(2024.06.24.),727,"20,846",153,9.8
51,달아나지 않도록 더 세게 [독점],로판,도토리,(2023.06.28.),(2023.08.01.),166,"1,316",35,9.8
52,재벌의 품격 [독점],현판,서인하,(2022.11.16.),(2023.06.24.),303,"6,175",87,9.5
53,김 대리는 아이돌이 싫어 [독점],현판,퇴사연습생,(2023.11.07.),(2024.06.24.),270,"16,930",233,9.9
54,죽었는데 왜 집착하세요 [독점],로판,한윤설,(2023.02.05.),(2023.07.27.),206,831,45,9.3
55,시한부 천재가 살아남는 법,무협,청시소,(2021.02.10.),(2024.06.21.),725,"58,721",429,9.6
56,운명을 보는 회사원,현판,영완(映完),(2020.01.10.),(2023.06.26.),317,"16,239",863,9.8
57,못 잡아먹어서 안달 [독점],로맨스,플아다,(2022.10.20.),(2023.11.29.),157,"7,784",639,9.9
58,사랑이 아닐지라도 [독점],로맨스,차해솔,(2024.04.23.),(2024.06.10.),130,"2,222",26,9.2
59,"울어 봐, 빌어도 좋고 [독점]",로판,솔체,(2019.08.28.),(2019.10.29.),170,"52,793","5,010",9.7
60,약먹는 천재마법사,판타지,글근육,(2021.02.12.),(2024.06.22.),1143,"27,537",185,9.9
61,바스티안 [독점] [에디티드 버전],로판,솔체,(2023.01.13.),(2023.08.04.),237,"44,923","1,210",9.5
62,낱장의 여름 [독점],로맨스,박영,(2024.05.23.),(2024.05.23.),95,"1,188",35,9.5
63,천마신교 최강 막내제자 [독점],무협,리진,(2022.04.27.),(2022.12.15.),300,978,25,8.5
64,A.I. 닥터 [독점],현판,한산이가,(2020.04.29.),(2024.06.24.),1534,"54,024","1,192",9.8
65,눈먼 짐승의 목줄을 쥐었다 [독점],로판,카예,(2022.01.05.),(2022.11.02.),231,"1,576",54,9.1
66,환생한 음악천재가 재능을 못 숨김,현판,아몬드빵,(2024.05.22.),(2024.06.21.),118,402,9,9.0
67,사천당가의 검신급 소가주가 되었다,무협,화계火鷄,(2022.10.15.),(2024.06.20.),341,"5,324",66,7.5
68,예술병 영화감독이 돌아왔다 [시즌1-2][미니노블],현판,이하루비,(2023.11.17.),(2024.06.21.),200,151,12,9.1
69,뒷결혼 [독점],로맨스,김노라,(2024.05.30.),(2024.05.30.),89,919,3,9.5
70,당문전,무협,제이허빈,(2023.07.12.),(2024.06.24.),436,"14,703",91,9.4
71,문제적 왕자님 [독점],로판,솔체,(2020.06.12.),(2020.10.01.),180,"34,734","2,445",9.8
72,할배무사와 지존 손녀 [독점],무협,일향(一向),(2022.03.16.),(2024.06.04.),556,"9,844",238,9.7
73,두 번째 집착 [독점],로맨스,강춘,(2023.05.24.),(2023.05.24.),101,"1,044",24,9.9
74,괴물 천재선수들이 날 너무 좋아함,현판,혜인태,(2024.02.20.),(2024.06.24.),232,"2,500",19,9.7
75,스위트룸 [독점],로맨스,고슬밥,(2024.06.19.),(2024.06.19.),78,"1,255",좋아요,9.9
76,별을 품은 소드마스터,판타지,Q10,(2021.06.29.),(2022.04.18.),285,"17,475",568,9.8
77,은퇴한 초인의 슬로우라이프,판타지,ROHRAN노란,(2023.11.22.),(2024.05.14.),225,"2,117",18,9.7
78,재벌을 넘어 귀족으로,현판,푸달,(2024.05.24.),(2024.05.24.),200,64,좋아요,9.2
79,변경의 죄수는 검성을 꿈꾼다,판타지,Cadilet,(2024.05.27.),(2024.06.23.),130,484,6,9.6
80,절대 검감(絶對 劍感) [외전포함],무협,한중월야,(2019.06.19.),(2020.05.12.),356,"23,494",417,9.4
