,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
1,화산귀환 [독점],무협,비가,(2019.04.25.),(2024.06.21.),1737,"1,279,634","18,135",9.2
2,등선하는 무공 천재 [독점],무협,무동이,(2024.05.07.),(2024.06.25.),112,541,8,9.6
3,농어촌 에이스 [독점],현판,이블라인,(2024.05.07.),(2024.06.24.),102,"2,802",42,9.6
4,대기업 말단이 일을 잘함 [독점],현판,동면거북이,(2023.06.13.),(2024.06.24.),371,"8,192",101,9.7
5,"꿇어보세요, 대공님! [독점]",로판,재겸,(2024.06.24.),(2024.06.25.),86,115,13,9.7
6,환생천마,무협,장영훈,(2017.04.03.),(2017.09.27.),300,"8,920",880,9.6
7,게임 속 바바리안으로 살아남기 [독점],판타지,정윤강,(2021.03.31.),(2024.06.25.),734,"170,761","1,534",9.4
8,멜팅 슬로우 [독점],로맨스,이른꽃,(2023.02.07.),(2023.04.01.),92,"3,922",101,9.8
9,뒤바뀐 신부,로판,사라유,(2024.06.21.),(2024.06.21.),109,158,3,7.8
10,"고양이인데, 늑대 가문에 입양당했다? [독점]",로판,윤달(YounDal),(2020.12.16.),(2022.03.04.),165,"2,452",54,9.5
11,오늘만 사는 기사 [독점],판타지,소울풍,(2023.02.14.),(2024.06.25.),463,"22,509",323,9.8
12,임신한 척했는데 남편이 돌아왔다 [독점],로판,별별토,(2024.06.18.),(2024.06.22.),84,783,28,9.7
13,사천의 가주 [독점],무협,codezero,(2023.12.26.),(2024.06.24.),253,"1,906",28,9.2
14,절대회귀 [독점],무협,장영훈,(2022.10.19.),(2024.06.24.),449,"50,736",601,9.8
15,하녀와의 계약결혼 [독점],로판,달새울,(2021.09.02.),(2024.06.21.),295,"11,810",327,9.9
16,차가운 재회 [선공개],로맨스,은세리,(2024.06.21.),(2024.06.21.),73,37,1,8.3
17,그 남자를 주웠다 [선공개],로맨스,하빕티,(2024.06.21.),(2024.06.21.),65,560,좋아요,9.9
18,2레벨로 회귀한 무신,판타지,염비,(2024.05.27.),(2024.05.27.),671,"1,517",11,9.4
19,북부 대공의 미친 데릴사위,판타지,곰돌이는,(2024.04.21.),(2024.06.24.),180,"4,296",56,9.7
20,하남자의 탑 공략법,판타지,꾸찌꾸찌,(2024.06.16.),(2024.06.25.),124,"1,318",13,9.3
21,전지적 독자 시점,현판,싱숑,(2018.05.21.),(2024.06.24.),766,"815,770","20,454",9.9
22,전생이 천재였다,현판,나일함,(2021.07.20.),(2022.06.30.),320,"8,383",110,9.8
23,날 닮은 아이 [독점],로맨스,플아다,(2021.05.01.),(2022.03.16.),183,"16,004",837,9.9
24,영업 천재가 되었다,현판,댄킴,(2021.01.05.),(2021.09.03.),265,"5,583",128,9.9
25,괴력 난신(怪力 亂神),무협,한중월야,(2021.11.19.),(2023.07.25.),527,"22,300",260,9.7
