,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
1,괴력 난신(怪力 亂神),무협,한중월야,(2021.11.19.),(2023.07.25.),527,"22,292",259,9.7
2,차라리 빌런으로 살겠다,현판,서인하,(2024.06.20.),(2024.06.24.),125,418,9,9.6
3,"교수님, 그 결혼 저랑 해요 [독점]",로맨스,루위,(2024.06.07.),(2024.06.07.),81,246,11,9.9
4,독종의 연애 [독점],로맨스,플라비,(2024.06.20.),(2024.06.20.),85,148,8,9.4
5,북부 대공,로판,투머치텐션,(2024.01.10.),(2024.01.10.),162,"1,246",33,9.7
6,이상한 나라의 흰 토끼,로판,명윤,(2017.11.10.),(2017.11.10.),85,119,40,9.8
7,회귀자 생활백서(回歸者 生活白書),무협,넉울히,(2024.05.23.),(2024.06.24.),158,"1,524",12,9.2
8,환생천마,무협,장영훈,(2017.04.03.),(2017.09.27.),300,"8,886",880,9.6
9,하녀와의 계약결혼 [독점],로판,달새울,(2021.09.02.),(2024.06.21.),295,"11,798",327,9.9
10,농어촌 에이스 [독점],현판,이블라인,(2024.05.07.),(2024.06.24.),102,"2,684",41,9.6
11,버려진 황자로 편하게 사는 법 [독점],판타지,오프신,(2024.04.02.),(2024.06.24.),121,761,16,9.5
12,미쉐린 백작 영애의 파란 공단 리본 [선공개],로판,미녜,(2024.06.14.),(2024.06.14.),88,60,1,9.4
13,황제의 포로가 되었습니다 [선공개],로판,귀찮은 홍시,(2024.06.14.),(2024.06.14.),95,54,12,9.6
14,마교 교주의 부군이 되었다 [독점],무협,쥬레이,(2023.09.19.),(2024.06.24.),314,"7,430",109,9.4
15,날 닮은 아이 [독점],로맨스,플아다,(2021.05.01.),(2022.03.16.),183,"15,994",835,9.9
16,아포칼립스에 집을 숨김,현판,로드워리어,(2023.04.17.),(2024.06.21.),465,"28,298",238,9.5
17,파티에서 추방된 영웅이 너무 뛰어남 [독점],현판,블루클리프,(2022.05.04.),(2023.08.04.),416,"4,706",30,8.7
18,회귀수선전(回歸修仙傳),무협,엄청난,(2023.06.05.),(2024.06.23.),512,"49,980",348,9.6
19,나 혼자 탑에서 농사,현판,sdcknight,(2022.09.10.),(2024.06.22.),736,"29,146",680,9.8
20,응급 연애 동의서 [선공개],로맨스,배사비,(2024.06.14.),(2024.06.14.),105,11,1,8.9
21,설익은 재회 [선공개],로맨스,핼쯰,(2024.06.14.),(2024.06.14.),93,31,16,9.7
22,천마신교 최강 막내제자 [독점],무협,리진,(2022.04.27.),(2022.12.15.),300,978,25,8.5
23,카오스 [선공개],로맨스,홍지우,(2024.06.14.),(2024.06.14.),75,8,2,9.6
24,나의 다정한 무뢰한에게 [독점],로판,만다라,(2023.04.13.),(2023.12.01.),206,"1,912",43,9.7
25,김 대리는 아이돌이 싫어 [독점],현판,퇴사연습생,(2023.11.07.),(2024.06.24.),270,"16,930",233,9.9
26,귀농했는데 아포칼립스 터졌다,판타지,버머랜드,(2024.06.14.),(2024.06.24.),118,99,5,8.4
27,뺏긴 자리에 미련 없습니다 [독점],로판,최아리,(2023.06.13.),(2024.03.12.),220,"3,154",57,8.7
28,시장통 맛침명의 재벌처가 씹어먹다,현판,가프,(2024.06.19.),(2024.06.24.),118,85,1,9.2
29,역대급 라이프 스타일,현판,에쮸드,(2024.06.21.),(2024.06.24.),147,102,4,8.3
30,1500억을 받았다,현판,먼지운,(2024.06.14.),(2024.06.24.),115,219,3,7.8
31,마도전생기 [독점],무협,codezero,(2020.02.17.),(2024.06.24.),934,"40,426",740,9.2
32,영업 천재가 되었다,현판,댄킴,(2021.01.05.),(2021.09.03.),265,"5,578",126,9.9
33,EX급 창고를 얻었다,판타지,한손검,(2024.06.19.),(2024.06.24.),114,116,1,7.2
34,천재 무림 트레이너 [독점],무협,크루크루,(2021.10.27.),(2023.03.17.),425,"7,695",57,9.2
35,디펜스 게임의 폭군이 되었다 [독점],판타지,류은가람,(2021.02.10.),(2024.06.22.),854,"37,210",772,9.8
36,제국 경비대의 망나니 소드마스터,판타지,사탕꽃,(2024.05.13.),(2024.06.22.),136,"1,089",7,9.3
37,국세청 망나니 [독점],현판,동면거북이,(2020.07.08.),(2022.01.06.),500,"16,103",327,9.7
38,흙수저 작곡천재의 곡이 너무 잘 팔림,현판,주파,(2024.06.21.),(2024.06.24.),108,56,1,8.5
39,기프티드 (GIFTED),현판,도서관식객,(2019.02.20.),(2020.10.19.),386,"4,382",72,9.6
40,광마회귀 [독점],무협,유진성,(2020.02.26.),(2022.08.03.),450,"171,271","3,437",9.9
41,일타강사 백사부 [독점],무협,간짜장,(2020.10.21.),(2024.06.24.),738,"72,530","1,204",9.8
42,살아남은 왕녀의 웃음 뒤에는 [선공개],로판,아미드,(2021.11.03.),(2023.09.01.),160,"4,066",116,9.9
43,"언니, 이번 생엔 내가 왕비야 [독점]",로판,레팔진프,(2020.12.06.),(2024.06.22.),600,"72,344","2,373",7.5
44,못 잡아먹어서 안달 [독점],로맨스,플아다,(2022.10.20.),(2023.11.29.),157,"7,784",639,9.9
45,레벨업 하는 로그,판타지,글쟁이라떼,(2024.06.05.),(2024.06.24.),113,895,7,9.6
46,던전을 그리는 화가 [독점],현판,취미글주의,(2024.01.16.),(2024.06.24.),210,"10,686",61,9.9
47,마교전선 비룡십삼대 [독점],무협,겨울반디,(2021.10.06.),(2022.09.20.),359,"3,339",40,8.1
48,엄마 친구 아들 관찰기 [독점],로맨스,주해나,(2024.06.11.),(2024.06.15.),85,627,8,9.4
49,블랙기업조선,판타지,국뽕,(2020.03.20.),(2024.06.24.),1206,"34,737",202,9.6
50,원수의 아기를 가졌다 [독점],로판,미니바라기,(2023.02.19.),(2023.09.25.),300,"2,750",73,9.0
51,사천당가의 검신급 소가주가 되었다,무협,화계火鷄,(2022.10.15.),(2024.06.20.),341,"5,324",66,7.5
52,본능의 대가 [독점],로맨스,설우희,(2024.04.11.),(2024.06.17.),87,"2,039",38,9.6
53,나쁜 착각 [독점],로맨스,벚꽃그리고,(2023.05.17.),(2023.06.01.),110,"2,886",20,9.7
54,회귀한 공작가의 막내도련님은 암살자 [개정판],판타지,커피라임,(2023.10.07.),(2024.06.22.),429,"1,606",82,9.3
55,천재의 신들린 게임방송 [독점],현판,믿고보는,(2022.03.30.),(2024.06.24.),727,"20,846",153,9.8
56,짜장 한 그릇에 제갈세가 데릴사위,무협,에르훗,(2022.10.21.),(2024.06.24.),688,"17,134",99,9.6
57,사랑하는 나의 억압자 [독점],로판,서사희,(2023.04.17.),(2024.02.24.),128,"11,155",926,9.9
58,운명을 보는 회사원,현판,영완(映完),(2020.01.10.),(2023.06.26.),317,"16,239",863,9.8
59,칼라디아의 늑대 [독점],판타지,시연우,(2024.04.30.),(2024.06.24.),113,482,14,9.0
60,낱장의 여름 [독점],로맨스,박영,(2024.05.23.),(2024.05.23.),95,"1,188",35,9.5
61,짙게 각인된 밤 [독점],로맨스,임여리,(2024.06.05.),(2024.06.05.),73,"1,612",4,9.6
62,회귀한 재벌은 미국을 사기로했다,현판,연태량,(2024.06.12.),(2024.06.23.),118,181,2,9.3
63,고인물의 스킬이 너무 화려하다,판타지,광산김가,(2024.06.19.),(2024.06.21.),116,174,좋아요,8.9
64,A.I. 닥터 [독점],현판,한산이가,(2020.04.29.),(2024.06.24.),1534,"54,024","1,192",9.8
65,시한부 천재가 살아남는 법,무협,청시소,(2021.02.10.),(2024.06.21.),725,"58,721",429,9.6
66,절대 검감(絶對 劍感) [외전포함],무협,한중월야,(2019.06.19.),(2020.05.12.),356,"23,494",417,9.4
67,천화서고 대공자 [독점],무협,김현영,(2020.09.23.),(2024.05.15.),527,"18,206",330,9.7
68,할배무사와 지존 손녀 [독점],무협,일향(一向),(2022.03.16.),(2024.06.04.),556,"9,844",238,9.7
69,환생한 음악천재가 재능을 못 숨김,현판,아몬드빵,(2024.05.22.),(2024.06.21.),118,402,9,9.0
70,약먹는 천재마법사,판타지,글근육,(2021.02.12.),(2024.06.22.),1143,"27,537",185,9.9
71,전생검신,무협,구로수번,(2016.09.09.),(2024.06.23.),1820,"43,848","1,969",9.5
72,재벌의 품격 [독점],현판,서인하,(2022.11.16.),(2023.06.24.),303,"6,175",87,9.5
73,왕따 그만두고 천재합니다,현판,자론상이,(2024.01.05.),(2024.05.20.),221,"1,017",23,9.4
74,바스티안 [독점] [에디티드 버전],로판,솔체,(2023.01.13.),(2023.08.04.),237,"44,923","1,210",9.5
75,별을 품은 소드마스터,판타지,Q10,(2021.06.29.),(2022.04.18.),285,"17,475",568,9.8
76,응급 맞선,로맨스,강영주,(2024.05.23.),(2024.05.23.),83,110,2,9.8
77,귀향한 먼치킨의 여행방송,현판,배고픈신발,(2024.06.07.),(2024.06.23.),126,99,4,9.0
78,당문전,무협,제이허빈,(2023.07.12.),(2024.06.24.),436,"14,705",91,9.4
79,재벌을 넘어 귀족으로,현판,푸달,(2024.05.24.),(2024.05.24.),200,64,좋아요,9.2
80,탑아이돌의 막내 멤버가 되었다 [독점],현판,강서울,(2023.02.28.),(2024.06.23.),405,"10,037",280,9.9
