,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
1,화산귀환 [독점],무협,비가,(2019.04.25.),(2024.06.21.),1737,"1,279,635","18,135",9.2
2,대기업 말단이 일을 잘함 [독점],현판,동면거북이,(2023.06.13.),(2024.06.24.),371,"8,192",101,9.7
3,광룡이계전생 [독점],판타지,시준,(2023.02.14.),(2024.06.25.),472,"4,084",19,8.8
4,하남자의 탑 공략법,판타지,꾸찌꾸찌,(2024.06.16.),(2024.06.25.),124,"1,318",13,9.3
5,임신한 척했는데 남편이 돌아왔다 [독점],로판,별별토,(2024.06.18.),(2024.06.22.),84,783,28,9.7
6,뒤바뀐 신부,로판,사라유,(2024.06.21.),(2024.06.21.),109,158,3,7.8
7,적국의 황태자에게 납치당한 성녀입니다,로판,그고자자,(2024.06.21.),(2024.06.21.),120,43,좋아요,9.0
8,"고양이인데, 늑대 가문에 입양당했다? [독점]",로판,윤달(YounDal),(2020.12.16.),(2022.03.04.),165,"2,452",54,9.5
9,오늘만 사는 기사 [독점],판타지,소울풍,(2023.02.14.),(2024.06.25.),463,"22,509",323,9.8
10,게임 속 바바리안으로 살아남기 [독점],판타지,정윤강,(2021.03.31.),(2024.06.25.),734,"170,762","1,534",9.4
11,2레벨로 회귀한 무신,판타지,염비,(2024.05.27.),(2024.05.27.),671,"1,517",11,9.4
12,절대회귀 [독점],무협,장영훈,(2022.10.19.),(2024.06.24.),449,"50,736",601,9.8
13,재벌집 만렙 아들,현판,오소록,(2023.02.03.),(2024.06.24.),436,"7,426",70,9.6
14,북부 대공의 미친 데릴사위,판타지,곰돌이는,(2024.04.21.),(2024.06.24.),180,"4,296",56,9.7
15,완벽한 청혼 [독점],로맨스,송민선,(2024.06.17.),(2024.06.22.),87,223,2,9.5
16,버린 쓰레기는 다시 줍지 않는다,로판,배고픈밤,(2021.08.30.),(2021.08.30.),267,"1,589",33,9.7
17,차가운 재회 [선공개],로맨스,은세리,(2024.06.21.),(2024.06.21.),73,37,1,8.3
18,그 남자를 주웠다 [선공개],로맨스,하빕티,(2024.06.21.),(2024.06.21.),65,561,좋아요,9.9
