,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
1,구르미 그린 달빛 [독점],로맨스,윤이수,(2013.10.04.),(2014.10.10.),131,"6,519","14,999",9.3
2,허니허니 웨딩 [독점],로맨스,노승아,(2015.09.01.),(2016.02.16.),98,"8,869","9,231",9.5
3,장씨세가 호위무사 [독점],무협,조형근,(2014.11.05.),(2023.06.29.),360,"18,912","6,877",9.3
4,수라왕 [삽화본],무협,이대성,(2013.01.15.),(2015.02.02.),309,"5,258","3,291",8.5
5,원하는 건 너 하나 [독점],로맨스,달콤J,(2015.02.03.),(2015.09.26.),96,"3,254","6,418",9.3
6,낙향문사전 [독점],무협,최현우(언라이팅),(2013.09.03.),(2018.03.08.),494,"18,071","5,494",9.5
7,해시의 신루 [독점],로맨스,윤이수,(2015.04.02.),(2016.03.28.),150,"5,549","6,492",9.5
8,패왕연가 [독점],무협,장영훈,(2014.04.03.),(2015.09.03.),300,"4,659","3,704",9.1
9,마왕 [독점],무협,요도 김남재,(2015.03.02.),(2016.10.03.),350,"3,540","3,008",9.4
10,미치도록 너만을 [단독],로맨스,Lunar 이지연,(2016.02.02.),(2016.08.20.),102,"1,561","3,480",9.2
11,위험한 신혼부부 [독점],로맨스,박수정(방울마마),(2016.01.06.),(2016.07.20.),101,"1,827","3,271",9.3
12,너에게로 중독 [독점],로맨스,안테,(2015.08.03.),(2016.01.01.),92,"5,247","5,730",9.5
13,달빛조각사,판타지,남희성,(2018.08.17.),(2019.07.03.),1450,"8,935","2,385",9.1
14,닥터 최태수,현판,조석호,(2015.07.07.),(2021.05.31.),3851,"8,760","3,502",9.3
15,가르쳐 주세요 [독점],로맨스,플아다,(2016.02.29.),(2016.09.12.),96,"1,451","2,668",9.5
16,나쁜 관계 [독점],로맨스,안테,(2016.07.06.),(2017.02.22.),98,"3,235","4,472",9.5
17,천하제일,무협,장영훈,(2013.01.15.),(2014.01.29.),180,"2,750","1,238",8.9
18,위험한 신입사원 [독점],로맨스,박수정(방울마마),(2014.12.03.),(2015.06.03.),86,"2,510","2,698",9.3
19,삼국지 호접몽전,판타지,청빙 최영진,(2014.07.01.),(2018.05.23.),404,"8,823","2,513",9.2
20,강철의 열제 2부 - 서울 정벌기,판타지,가우리,(2014.01.28.),(2016.03.04.),307,"3,580","1,715",9.2
21,악마라고 불러다오 [독점],로판,안테,(2014.06.27.),(2022.01.21.),249,"11,604","6,057",9.6
22,우아한 짐승의 세계,로판,임혜,(2014.03.05.),(2014.09.05.),94,"8,059","4,311",9.4
23,이계진입 리로디드 [독점],판타지,임경배,(2015.02.03.),(2016.12.16.),302,"5,972","1,636",9.3
24,"열렬하게, 단하나 [독점]",로맨스,이른봄,(2016.04.03.),(2016.11.03.),94,"3,195","2,196",9.6
25,녹아들다,로맨스,Lunar 이지연,(2014.09.03.),(2015.01.25.),78,689,"1,524",8.9
26,꼬리 아홉 달린 곰 [독점],로맨스,정도령,(2015.10.06.),(2016.04.23.),88,"1,321","1,923",9.2
27,그 남자의 정원 [독점],로맨스,로즈빈,(2014.09.29.),(2015.03.23.),90,"3,317","2,833",9.7
28,보스의 노골적 취향,로맨스,시크크,(2015.03.04.),(2015.09.16.),87,987,"2,212",9.1
29,신사와의 기묘한 계약 [독점],로판,유세라,(2016.04.06.),(2017.08.23.),153,"2,501","3,059",9.7
30,조선연애실록 [독점],로맨스,로즈빈,(2016.06.02.),(2016.12.22.),104,"2,014","2,113",9.5
31,결혼은 운명이다 [독점],로맨스,Lunar 이지연,(2013.12.06.),(2019.06.05.),55,760,946,9.2
32,프렌시아의 꽃,로판,김레인,(2013.12.05.),(2014.11.07.),98,"2,549","2,350",9.5
33,키스의 여왕 [독점],로맨스,이재익,(2015.11.02.),(2016.08.08.),138,"1,421","1,480",9.3
34,영애의 경호관,로맨스,carbo(도효원),(2016.01.05.),(2019.07.26.),103,875,"1,402",9.5
35,"야행, 그들의 밤",로맨스,다인 김민경,(2015.11.03.),(2016.07.23.),87,743,"1,391",9.2
36,야한 남자,로맨스,은빈,(2015.02.05.),(2015.10.18.),96,420,"1,748",9.1
37,후회 끝엔 너 [독점],로맨스,임혜,(2016.02.02.),(2016.06.10.),67,"1,149","1,532",9.0
38,"10도, 우리 연애의 온도차 [독점]",로맨스,설래인,(2015.11.04.),(2016.04.17.),80,434,"1,263",9.3
39,아르세니아의 마법사 [독점],판타지,박성호,(2014.09.01.),(2017.02.24.),321,"4,207","1,271",9.1
40,패왕의 별,무협,강호풍,(2014.03.20.),(2018.06.08.),538,"12,822","2,476",8.2
41,두 입술 사이 [독점],로판,손세희,(2016.07.04.),(2017.01.27.),109,"1,003","1,516",9.1
42,북검전기,무협,우각,(2014.11.10.),(2016.03.02.),400,"1,622",773,7.5
43,나를 사랑한 대륙남,로맨스,용감한 자매,(2015.03.03.),(2015.09.17.),89,585,"1,095",8.9
44,보보경심(步步驚心),로판,동화(桐華),(2016.08.18.),(2016.08.18.),151,379,929,8.6
45,백작과의 기묘한 산책 [독점],로판,유세라,(2015.03.05.),(2015.12.17.),105,"1,961","1,830",9.5
46,뱀파이어의 꽃,로판,하야시,(2013.11.04.),(2014.04.18.),82,"1,701","1,542",9.4
47,환생좌,현판,ALLA,(2016.03.25.),(2024.03.22.),533,"7,582","1,392",9.5
48,우리 집에 스타가 산다,로맨스,김로아(진저더캣),(2016.02.04.),(2016.11.20.),92,296,696,8.9
49,사자왕 [삽화본],무협,이대성,(2015.03.04.),(2016.03.02.),139,402,521,7.1
