	제목	장르	작가	지수	장르1	장르2
1	하남자의 탑 공략법	현대판타지, 퓨전	꾸찌꾸찌	6314780	현대판타지	퓨전
2	용사의 발라드	판타지	도동파	3634340	판타지	
3	회귀수선전(回歸修仙傳)	무협, 퓨전	엄청난	2965750	무협	퓨전
4	범상한 변호사의 아공간	현대판타지	서칸더브이	2635070	현대판타지	
5	미혼부 AI로 세상을 지배하다	현대판타지, 퓨전	소보로설	2410030	현대판타지	퓨전
6	방구석 저격수.	현대판타지, 퓨전	캡슐호텔	2206270	현대판타지	퓨전
7	탑 매니지먼트	현대판타지	장우산	2122310	현대판타지	
8	로큰롤, 발 없는 새가 되다	현대판타지, 판타지	경우勁雨	2075010	현대판타지	판타지
9	차라리 빌런으로 살겠다	현대판타지, 드라마	서인하	2044070	현대판타지	드라마
10	이상적 연출생활백서	현대판타지, 드라마	자경(蔗境)	1879370	현대판타지	드라마
11	약먹는 천재마법사	현대판타지, 판타지	글근육	1802580	현대판타지	판타지
12	북부 대공의 미친 데릴사위	판타지, 퓨전	곰돌이는	1516160	판타지	퓨전
13	시간을 달리는 소설가	현대판타지, 판타지	피아조아	1453640	현대판타지	판타지
14	화약고 제국의 천재 대공	대체역사, 판타지	시작의바다	1416730	대체역사	판타지
15	세상에 나쁜 영애는 없다	판타지, 로맨스	코리타	1362320	판타지	로맨스
16	회사원이 너무 강함	현대판타지, 스포츠	블루티풀	1314540	현대판타지	스포츠
17	글러먹은 빙의	퓨전, 판타지	목마	1300980	퓨전	판타지
18	호콴의 도서관	판타지, 퓨전	쿠우울	1295650	판타지	퓨전
19	아포칼립스에 집을 숨김	현대판타지, 퓨전	로드워리어	1273380	현대판타지	퓨전
20	블랙기업조선	대체역사, 퓨전	국뽕	1196450	대체역사	퓨전
21	화학천재의 비밀 투자 공식	현대판타지, 판타지	율려(律呂)	1163900	현대판타지	판타지
22	EX급 창고를 얻었다	판타지, 게임	한손검	1162660	판타지	게임
23	탐관오리가 상태창을 숨김	대체역사, 퓨전	코락스	1147420	대체역사	퓨전
24	웰컴 투 NBA	스포츠, 현대판타지	필리포스	1138850	스포츠	현대판타지
25	세계권력급 아공간 헌터	현대판타지	슬리버	1127650	현대판타지	
26	공물 바치고 대마법사	판타지, 퓨전	낭선	1125470	판타지	퓨전
27	삼국지 : 내가 영웅의 그릇인가.	대체역사, 퓨전	엠보돌	1112810	대체역사	퓨전
28	러스트 [ RUST ]	현대판타지, 판타지	글라딘	1097980	현대판타지	판타지
29	시장통 맛침명의 재벌처가 씹어먹다	판타지,현대판타지	가프	1083570	판타지	현대판타지
30	EX급 절대반지를 얻었다	퓨전,현대판타지	김현준™	1073460	퓨전	현대판타지
31	천만년만에 귀환한 무신님	퓨전,현대판타지	맛깔란	1045750	퓨전	현대판타지
32	회귀자 생활백서(回歸者 生活白書)	무협,판타지	넉울히	1041070	무협	판타지
33	회귀했는데 세상이 안 망함	현대판타지,판타지	선우(仙宇)	1037130	현대판타지	판타지
34	방출당한 투수가 금강불괴로 돌아옴	스포츠,현대판타지	단팥빵소년	1008540	스포츠	현대판타지
35	슈팅 궤적이 다 보임	스포츠,현대판타지	닥터암	994710	스포츠	현대판타지
36	미궁 속 천재공학자	퓨전,현대판타지	병장개미	982890	퓨전	현대판타지
37	내 조선에 세종은 없다	대체역사,퓨전	핏콩	970800	대체역사	퓨전
38	고귀한 헌터로 착각당했다	퓨전,현대판타지	글포터	957840	퓨전	현대판타지
39	당문전	무협	제이허빈	949690	무협	
40	턴제의 마법사	판타지,퓨전	정따블	933160	판타지	퓨전
41	조선에는 쿠데타가 필요해요	대체역사,전쟁·밀리터리	앙금고라니	912740	대체역사	전쟁·밀리터리
42	전천후 연예생활백서	현대판타지,드라마	자경(蔗境)	887440	현대판타지	드라마
43	전능의 혀를 얻었다	현대판타지,판타지	몽쉐르	848850	현대판타지	판타지
44	무한전생-아서 허트	판타지,퓨전	광악	842420	판타지	퓨전
45	축구부 방출 후 천재 투수가 되었다	스포츠,현대판타지	유선강	785960	스포츠	현대판타지
46	121세기에서 살아남기	판타지	컵라면.	761880	판타지	
47	내 분신이 거물이 되어간다	판타지,현대판타지	실험샘플	745410	판타지	현대판타지
48	동로마 황녀가 내 아이를 임신하셨다	대체역사	열이틀	742260	대체역사	
49	미국 레트로 소설가가 되었다.	현대판타지,판타지	뇌조	731940	현대판타지	판타지
50	절대독공으로 SSS급 헌터	현대판타지,퓨전	차성	727310	현대판타지	퓨전
